SURVEY:   WFIRST
SNID:     79
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.000     # estimate for LC fit codes

REDSHIFT_HELIO:   0.567172 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.567798 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56717  
SIM_REDSHIFT_CMB:    0.56780  
SIM_REDSHIFT_HOST:   0.56717  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5930   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.022     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.023
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.65  22.90  23.66  24.17  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 72
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 55014.0000 J MEDIUM  2.7123e+01  1.192e+00    0  1.000 31.688  0.91 7.642e+00  23.8989 
OBS: 55014.0000 H MEDIUM  1.4725e+01  8.296e-01    0  1.000 32.024  0.92 8.866e+00  24.5350 
OBS: 55014.0000 Y MEDIUM  6.3024e+01  1.713e+00    0  1.000 31.483  0.91 7.070e+00  23.0117 
OBS: 55014.0000 Z MEDIUM  8.5593e+01  1.979e+00    0  1.000 31.401  0.91 6.772e+00  22.7139 
OBS: 55017.0000 H MEDIUM  1.2534e+01  8.089e-01    0  1.000 32.024  0.92 8.866e+00  24.6369 
OBS: 55017.0000 Y MEDIUM  5.6933e+01  1.667e+00    0  1.000 31.483  0.91 7.070e+00  23.1225 
OBS: 55017.0000 J MEDIUM  2.5387e+01  1.176e+00    0  1.000 31.688  0.91 7.642e+00  23.9931 
OBS: 55017.0000 Z MEDIUM  7.3975e+01  1.897e+00    0  1.000 31.401  0.91 6.772e+00  22.7908 
OBS: 55020.0000 Y MEDIUM  4.8079e+01  1.598e+00    0  1.000 31.483  0.91 7.070e+00  23.2640 
OBS: 55020.0000 J MEDIUM  2.4208e+01  1.166e+00    0  1.000 31.688  0.91 7.642e+00  24.0905 
OBS: 55020.0000 Z MEDIUM  6.8501e+01  1.857e+00    0  1.000 31.401  0.91 6.772e+00  22.8984 
OBS: 55020.0000 H MEDIUM  1.2575e+01  8.093e-01    0  1.000 32.024  0.92 8.866e+00  24.6791 
OBS: 55023.0000 H MEDIUM  1.3495e+01  8.180e-01    0  1.000 32.024  0.92 8.866e+00  24.6799 
OBS: 55023.0000 Z MEDIUM  6.4817e+01  1.829e+00    0  1.000 31.401  0.91 6.772e+00  23.0163 
OBS: 55023.0000 Y MEDIUM  4.2691e+01  1.554e+00    0  1.000 31.483  0.91 7.070e+00  23.4129 
OBS: 55023.0000 J MEDIUM  2.2861e+01  1.153e+00    0  1.000 31.688  0.91 7.642e+00  24.1549 
OBS: 55026.0000 J MEDIUM  2.2122e+01  1.147e+00    0  1.000 31.688  0.91 7.642e+00  24.1969 
OBS: 55026.0000 H MEDIUM  1.4208e+01  8.248e-01    0  1.000 32.024  0.92 8.866e+00  24.6270 
OBS: 55026.0000 Y MEDIUM  3.8815e+01  1.522e+00    0  1.000 31.483  0.91 7.070e+00  23.5334 
OBS: 55026.0000 Z MEDIUM  5.7440e+01  1.773e+00    0  1.000 31.401  0.91 6.772e+00  23.1360 
OBS: 55029.0000 Z MEDIUM  5.0415e+01  1.717e+00    0  1.000 31.401  0.91 6.772e+00  23.2476 
OBS: 55029.0000 J MEDIUM  2.1592e+01  1.142e+00    0  1.000 31.688  0.91 7.642e+00  24.1745 
OBS: 55029.0000 H MEDIUM  1.5691e+01  8.386e-01    0  1.000 32.024  0.92 8.866e+00  24.5405 
OBS: 55029.0000 Y MEDIUM  3.7156e+01  1.508e+00    0  1.000 31.483  0.91 7.070e+00  23.5975 
