SURVEY:   CSP 
SNID:     2007A 
FILTERS:  ugriBnmoJjYyH 
RA:         6.319417  # deg 
DEC:       12.886806  # deg 
REDSHIFT_HELIO: 0.0177 +- 0.0001  # Helio 
REDSHIFT_FINAL: 0.0165 +- 0.0001  # CMB 
MWEBV:     0.063 +-  0.011        # SFD98 * 0.86 
PEAKMJD: 54113.3
HOSTGAL_LOGMASS: 10.094 +- 0.001

# ----------------------------------- 
NOBS: 76 
NVAR: 7 
VARLIST: MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54108.540  u NULL  2.51189e+04 3.25992e+02   16.500  0.014 
OBS: 54112.540  u NULL  2.67424e+04 3.97008e+02   16.432  0.016 
OBS: 54119.530  u NULL  1.72982e+04 3.37833e+02   16.905  0.021 
OBS: 54121.540  u NULL  1.41775e+04 5.32060e+02   17.121  0.040 
OBS: 54123.530  u NULL  1.12305e+04 4.21464e+02   17.374  0.040 
OBS: 54108.540  g NULL  3.93731e+04 2.54668e+02   16.012  0.007 
OBS: 54110.550  g NULL  4.44222e+04 2.87326e+02   15.881  0.007 
OBS: 54112.540  g NULL  4.63447e+04 2.56819e+02   15.835  0.006 
OBS: 54123.530  g NULL  3.29913e+04 5.51510e+02   16.204  0.018 
OBS: 54128.530  g NULL  2.39221e+04 3.55140e+02   16.553  0.016 
OBS: 54133.530  g NULL  1.56459e+04 4.67995e+02   17.014  0.032 
OBS: 54108.540  r NULL  4.54151e+04 2.51668e+02   15.857  0.006 
OBS: 54110.550  r NULL  5.01649e+04 3.24470e+02   15.749  0.007 
OBS: 54112.540  r NULL  5.32108e+04 2.94868e+02   15.685  0.006 
OBS: 54119.530  r NULL  4.88427e+04 2.70662e+02   15.778  0.006 
OBS: 54121.540  r NULL  4.49573e+04 2.49131e+02   15.868  0.006 
OBS: 54123.530  r NULL  3.88687e+04 2.87453e+02   16.026  0.008 
OBS: 54128.530  r NULL  2.90001e+04 2.41390e+02   16.344  0.009 
OBS: 54133.530  r NULL  2.66195e+04 3.20643e+02   16.437  0.013 
OBS: 54108.540  i NULL  3.70851e+04 2.39869e+02   16.077  0.007 
OBS: 54110.550  i NULL  3.79839e+04 4.92954e+02   16.051  0.014 
OBS: 54112.540  i NULL  3.60413e+04 2.33117e+02   16.108  0.007 
OBS: 54119.530  i NULL  2.88403e+04 2.40060e+02   16.350  0.009 
OBS: 54121.540  i NULL  2.54449e+04 2.11797e+02   16.486  0.009 
OBS: 54123.530  i NULL  2.19989e+04 2.64985e+02   16.644  0.013 
OBS: 54127.530  i NULL  1.67958e+04 2.33652e+02   16.937  0.015 
OBS: 54128.530  i NULL  1.64589e+04 2.44343e+02   16.959  0.016 
OBS: 54131.530  i NULL  1.67649e+04 2.01940e+02   16.939  0.013 
OBS: 54133.530  i NULL  1.77337e+04 2.79852e+02   16.878  0.017 
OBS: 54108.540  B NULL  3.71193e+04 4.81733e+02   16.076  0.014 
OBS: 54110.550  B NULL  3.89404e+04 3.96525e+02   16.024  0.011 
OBS: 54112.540  B NULL  4.11908e+04 3.42862e+02   15.963  0.009 
OBS: 54119.530  B NULL  3.38221e+04 1.87425e+02   16.177  0.006 
OBS: 54121.540  B NULL  2.99226e+04 1.93542e+02   16.310  0.007 
OBS: 54123.530  B NULL  2.64484e+04 3.18582e+02   16.444  0.013 
OBS: 54127.530  B NULL  1.93019e+04 3.04599e+02   16.786  0.017 
OBS: 54131.530  B NULL  1.27526e+04 4.78586e+02   17.236  0.040 
OBS: 54108.540  n NULL  4.18794e+04 2.70878e+02   15.945  0.007 
OBS: 54110.550  n NULL  4.66015e+04 3.01422e+02   15.829  0.007 
OBS: 54112.540  n NULL  5.04429e+04 4.19874e+02   15.743  0.009 
OBS: 54119.530  n NULL  4.58353e+04 2.11566e+02   15.847  0.005 
OBS: 54121.540  n NULL  4.34110e+04 2.40562e+02   15.906  0.006 
OBS: 54127.530  n NULL  3.09030e+04 3.72239e+02   16.275  0.013 
OBS: 54131.530  n NULL  2.44343e+04 4.31355e+02   16.530  0.019 
OBS: 54133.530  n NULL  2.32702e+04 3.67222e+02   16.583  0.017 
OBS: 54107.530 Y NULL 43974.24106 8.44699e+02 15.910 0.021
OBS: 54107.540 Y NULL 44300.18757 7.28372e+02 15.902 0.018
OBS: 54109.540 Y NULL 45934.77034 1.13619e+03 15.864 0.027
OBS: 54109.550 Y NULL 45891.93831 1.26302e+03 15.865 0.030
OBS: 54111.540 Y NULL 41349.88846 7.21165e+02 15.972 0.019
OBS: 54111.550 Y NULL 40146.80543 7.37415e+02 16.004 0.020
OBS: 54115.540 Y NULL 26981.52008 6.70594e+02 16.395 0.026
OBS: 54115.550 Y NULL 27328.45868 6.00083e+02 16.381 0.023
OBS: 54120.530 Y NULL 20409.79385 8.70107e+02 16.667 0.043
OBS: 54120.540 Y NULL 18892.07097 5.39618e+02 16.751 0.029
OBS: 54122.530 Y NULL 18179.48719 1.15094e+03 16.823 0.065
OBS: 54122.530 Y NULL 16733.32960 1.02583e+03 16.913 0.063
OBS: 54124.530 Y NULL 17325.81978 1.63921e+03 16.947 0.102
OBS: 54124.530 Y NULL 16947.06668 9.56591e+02 16.971 0.062
OBS: 54126.520 Y NULL 18629.40021 8.88291e+02 16.977 0.058
OBS: 54126.530 Y NULL 20362.48296 1.02203e+03 16.881 0.061
OBS: 54132.520 Y NULL 33564.78823 1.59024e+03 16.705 0.080
OBS: 54132.520 Y NULL 37006.96645 1.12492e+03 16.599 0.052
OBS: 54107.530 J NULL 49003.57370 1.23098e+03 15.777 0.027
OBS: 54107.540 J NULL 47492.87666 1.05900e+03 15.811 0.024
OBS: 54109.540 J NULL 53286.60117 1.38882e+03 15.686 0.028
OBS: 54109.550 J NULL 52265.77571 1.36222e+03 15.707 0.028
OBS: 54115.540 J NULL 37058.35257 1.60793e+03 16.075 0.046
OBS: 54115.550 J NULL 39019.49364 3.93256e+03 16.019 0.104
OBS: 54120.530 J NULL 25470.22871 1.35679e+03 16.478 0.056
OBS: 54120.540 J NULL 22679.63515 1.31905e+03 16.604 0.061
OBS: 54124.530 J NULL 12286.11682 1.58022e+03 17.282 0.132
OBS: 54124.530 J NULL 13360.28262 1.25559e+03 17.191 0.098
OBS: 54111.540 H NULL 39906.23739 1.61426e+03 15.996 0.043
OBS: 54111.550 H NULL 36361.61122 1.61067e+03 16.097 0.047
OBS: 54122.530 H NULL 27996.72255 4.73334e+03 16.385 0.170
END: 
