# SN z phase m_Y m_Y_err mu_snpy mu_snpy_err mu_lcdm
2004ey 0.01470 1.881 16.078 0.009 34.107 0.013 34.020
2004ey 0.01470 1.881 16.064 0.009 34.107 0.013 34.020
2004ey 0.01470 6.725 16.400 0.011 34.107 0.013 34.020
2004ey 0.01470 6.725 16.425 0.011 34.107 0.013 34.020
2004ey 0.01470 22.515 16.016 0.009 34.107 0.013 34.020
2004ey 0.01470 22.525 16.014 0.008 34.107 0.013 34.020
2004ey 0.01470 33.334 15.495 0.009 34.107 0.013 34.020
2004ey 0.01470 33.334 15.498 0.009 34.107 0.013 34.020
2005ag 0.08030 4.460 19.716 0.045 37.769 0.034 37.810
2005ag 0.08030 11.897 20.111 0.057 37.769 0.034 37.810
2005ag 0.08030 12.795 20.027 0.052 37.769 0.034 37.810
2005ag 0.08030 12.786 20.110 0.060 37.769 0.034 37.810
2005ag 0.08030 13.749 20.206 0.070 37.769 0.034 37.810
2004gu 0.04700 11.551 18.963 0.046 36.577 0.025 36.596
2004gu 0.04700 11.560 18.973 0.098 36.577 0.025 36.596
2004gu 0.04700 23.005 18.448 0.035 36.577 0.025 36.596
2004gu 0.04700 22.995 18.454 0.037 36.577 0.025 36.596
2004gu 0.04700 34.488 17.864 0.034 36.577 0.025 36.596
2004gu 0.04700 34.517 17.915 0.035 36.577 0.025 36.596
2007jg 0.03660 10.455 18.649 0.053 36.207 0.013 36.036
2007jg 0.03660 10.445 18.645 0.051 36.207 0.013 36.036
2007jg 0.03660 19.162 18.324 0.068 36.207 0.013 36.036
2007jg 0.03660 19.191 18.342 0.034 36.207 0.013 36.036
2007jg 0.03660 28.708 17.848 0.022 36.207 0.013 36.036
2007jg 0.03660 28.737 17.864 0.026 36.207 0.013 36.036
2007jg 0.03660 31.649 17.942 0.028 36.207 0.013 36.036
2007jg 0.03660 31.678 17.932 0.031 36.207 0.013 36.036
2006ax 0.01790 -9.779 16.258 0.022 34.361 0.007 34.453
2006ax 0.01790 -9.770 16.282 0.025 34.361 0.007 34.453
2006ax 0.01790 -6.789 15.871 0.016 34.361 0.007 34.453
2006ax 0.01790 -6.779 15.860 0.020 34.361 0.007 34.453
2006ax 0.01790 -4.891 15.771 0.014 34.361 0.007 34.453
2006ax 0.01790 -1.065 15.878 0.017 34.361 0.007 34.453
2006ax 0.01790 -1.055 15.917 0.018 34.361 0.007 34.453
2006ax 0.01790 1.915 16.209 0.019 34.361 0.007 34.453
2006ax 0.01790 1.925 16.222 0.019 34.361 0.007 34.453
2006ax 0.01790 2.869 16.291 0.017 34.361 0.007 34.453
2006ax 0.01790 2.869 16.285 0.022 34.361 0.007 34.453
2006ax 0.01790 9.843 16.723 0.022 34.361 0.007 34.453
2006ax 0.01790 9.853 16.773 0.035 34.361 0.007 34.453
2006ax 0.01790 11.712 16.766 0.017 34.361 0.007 34.453
2006ax 0.01790 11.722 16.758 0.023 34.361 0.007 34.453
2006ax 0.01790 20.584 16.360 0.017 34.361 0.007 34.453
2006ax 0.01790 20.593 16.373 0.018 34.361 0.007 34.453
2006ax 0.01790 23.495 16.163 0.017 34.361 0.007 34.453
2006ax 0.01790 23.505 16.171 0.017 34.361 0.007 34.453
2006ax 0.01790 27.410 15.955 0.021 34.361 0.007 34.453
2006ax 0.01790 27.419 15.964 0.021 34.361 0.007 34.453
2006ax 0.01790 32.416 15.745 0.015 34.361 0.007 34.453
2006ax 0.01790 32.416 15.764 0.016 34.361 0.007 34.453
2006ax 0.01790 36.262 15.908 0.018 34.361 0.007 34.453
2006ax 0.01790 36.272 15.876 0.017 34.361 0.007 34.453
2006ax 0.01790 40.245 16.153 0.019 34.361 0.007 34.453
2006ax 0.01790 40.255 16.145 0.022 34.361 0.007 34.453
2006ax 0.01790 41.180 16.179 0.021 34.361 0.007 34.453
2006ax 0.01790 41.189 16.177 0.020 34.361 0.007 34.453
2006ax 0.01790 5.820 16.592 0.016 34.361 0.007 34.453
2006ax 0.01790 5.830 16.578 0.016 34.361 0.007 34.453
2006ax 0.01790 7.728 16.714 0.016 34.361 0.007 34.453
2006ax 0.01790 7.728 16.698 0.016 34.361 0.007 34.453
2006ax 0.01790 15.676 16.743 0.016 34.361 0.007 34.453
2006ax 0.01790 17.584 16.619 0.016 34.361 0.007 34.453
2005na 0.02680 15.319 17.676 0.019 35.182 0.019 35.344
2005na 0.02680 31.825 16.657 0.011 35.182 0.019 35.344
2005na 0.02680 42.494 17.242 0.014 35.182 0.019 35.344
2005na 0.02680 42.475 17.245 0.017 35.182 0.019 35.344
2005na 0.02680 43.459 17.318 0.013 35.182 0.019 35.344
2009ds 0.02050 0.593 16.500 0.016 34.908 0.015 34.751
2009ds 0.02050 0.603 16.488 0.016 34.908 0.015 34.751
2009ds 0.02050 1.584 16.588 0.016 34.908 0.015 34.751
2009ds 0.02050 1.594 16.590 0.019 34.908 0.015 34.751
2009ds 0.02050 4.507 16.901 0.022 34.908 0.015 34.751
2009ds 0.02050 4.507 16.931 0.021 34.908 0.015 34.751
2009ds 0.02050 6.450 17.108 0.030 34.908 0.015 34.751
2009ds 0.02050 6.460 17.053 0.021 34.908 0.015 34.751
2009ds 0.02050 10.394 17.281 0.051 34.908 0.015 34.751
2009ds 0.02050 10.404 17.186 0.059 34.908 0.015 34.751
2009ds 0.02050 14.387 17.273 0.024 34.908 0.015 34.751
2009ds 0.02050 -6.255 16.552 0.119 34.908 0.015 34.751
