# SN z phase m_Y m_Y_err mu_snpy mu_snpy_err mu_lcdm
PScA470110 0.34560 15.175 23.509 0.051 41.074 0.041 41.312
PScJ550202 0.42080 10.777 24.367 0.112 41.913 0.041 41.815
PScJ550202 0.42080 15.453 24.222 0.085 41.913 0.041 41.815
PScJ550202 0.42080 20.254 23.967 0.070 41.913 0.041 41.815
PScJ550202 0.42080 27.643 23.420 0.052 41.913 0.041 41.815
PScC490037 0.42310 4.851 23.926 0.153 41.826 0.106 41.829
PScC490037 0.42310 8.450 24.091 0.167 41.826 0.106 41.829
PScC490037 0.42310 14.574 24.291 0.231 41.826 0.106 41.829
PScA470240 0.43060 8.889 24.237 0.071 41.942 0.040 41.874
PScA470240 0.43060 12.467 24.277 0.055 41.942 0.040 41.874
PScA470240 0.43060 17.996 24.100 0.081 41.942 0.040 41.874
PScA470240 0.43060 29.752 23.351 0.054 41.942 0.040 41.874
PScJ440005 0.30560 8.493 23.175 0.071 40.703 0.049 41.002
PScJ440005 0.30560 12.930 23.222 0.075 40.703 0.049 41.002
PScJ440005 0.30560 18.733 22.929 0.070 40.703 0.049 41.002
PScJ560027 0.43920 13.043 24.435 0.124 42.107 0.042 41.925
PScJ560027 0.43920 17.284 24.135 0.090 42.107 0.042 41.925
PScJ560027 0.43920 22.768 23.766 0.082 42.107 0.042 41.925
PScJ560027 0.43920 29.871 23.409 0.049 42.107 0.042 41.925
DES16S1bno 0.47000 15.961 24.567 0.084 42.196 0.042 42.100
DES16S1bno 0.47000 20.507 24.141 0.074 42.196 0.042 42.100
DES16S1bno 0.47000 26.048 23.860 0.054 42.196 0.042 42.100
DES15X2kvt 0.40400 11.817 24.389 0.166 41.816 0.077 41.710
DES15X2kvt 0.40400 16.263 24.131 0.131 41.816 0.077 41.710
DES15X2kvt 0.40400 23.241 23.511 0.102 41.816 0.077 41.710
DES15X2nkz 0.46880 7.639 24.310 0.072 42.163 0.059 42.094
DES15X2nkz 0.46880 12.422 24.598 0.105 42.163 0.059 42.094
DES15X2nkz 0.46880 17.835 24.362 0.080 42.163 0.059 42.094
DES15X2mey 0.60800 9.292 24.996 0.090 42.990 0.057 42.774
DES15X2mey 0.60800 14.722 25.179 0.090 42.990 0.057 42.774
DES15X2mey 0.60800 20.240 24.939 0.081 42.990 0.057 42.774
DES16X3cry 0.61200 12.248 25.091 0.054 42.750 0.059 42.791
DES16X3cry 0.61200 17.096 24.825 0.080 42.750 0.059 42.791
DES15C3odz 0.50800 13.000 25.167 0.134 42.686 0.057 42.303
