# SNID phase Mabs Mabserr ebvhost sbv
2008gp 14.647 -17.706 0.034 0.000 0.000
2008gp 20.444 -18.001 0.034 0.000 0.000
2008gp 20.454 -18.097 0.027 0.000 0.000
2008gp 31.930 -18.580 0.019 0.000 0.000
2008gp 31.940 -18.532 0.028 0.000 0.000
2008gp 41.655 -18.138 0.021 0.000 0.000
2008gp 41.646 -18.078 0.025 0.000 0.000
2005kc -9.631 -17.805 0.022 0.000 0.000
2005kc -9.622 -17.825 0.021 0.000 0.000
2005kc -6.666 -18.178 0.014 0.000 0.000
2005kc -6.666 -18.190 0.017 0.000 0.000
2005kc -4.696 -18.276 0.016 0.000 0.000
2005kc -4.686 -18.332 0.018 0.000 0.000
2005kc -1.790 -18.200 0.018 0.000 0.000
2005kc -1.780 -18.220 0.013 0.000 0.000
2005kc 3.185 -17.816 0.027 0.000 0.000
2005kc 3.195 -17.814 0.020 0.000 0.000
2005kc 7.086 -17.557 0.022 0.000 0.000
2005kc 7.086 -17.565 0.024 0.000 0.000
2005kc 12.041 -17.523 0.023 0.000 0.000
2005kc 12.041 -17.487 0.023 0.000 0.000
2005kc 16.001 -17.712 0.019 0.000 0.000
2005kc 16.011 -17.676 0.017 0.000 0.000
2005kc 19.932 -17.932 0.014 0.000 0.000
2005kc 19.942 -17.944 0.015 0.000 0.000
2008bf -8.121 -18.448 0.035 0.000 0.000
2008bf -8.111 -18.361 0.037 0.000 0.000
2008bf -4.222 -18.585 0.013 0.000 0.000
2008bf -4.222 -18.589 0.012 0.000 0.000
2008bf 6.466 -17.745 0.027 0.000 0.000
2008bf 6.476 -17.805 0.024 0.000 0.000
2008bf 29.896 -18.459 0.018 0.000 0.000
2008bf 29.906 -18.505 0.017 0.000 0.000
2008bf 40.575 -18.241 0.017 0.000 0.000
2008bf 40.575 -18.282 0.018 0.000 0.000
2008bf -1.301 -18.436 0.026 0.000 0.000
2008bf -1.291 -18.469 0.026 0.000 0.000
2008bf -0.344 -18.355 0.020 0.000 0.000
2008bf -0.334 -18.357 0.021 0.000 0.000
2005al 2.840 -17.767 0.023 0.000 0.000
2005al 2.850 -17.835 0.021 0.000 0.000
2005al 24.561 -18.400 0.020 0.000 0.000
2005al 24.571 -18.394 0.020 0.000 0.000
2005al 25.549 -18.414 0.020 0.000 0.000
2005al 25.549 -18.415 0.020 0.000 0.000
2005al 31.386 -18.095 0.020 0.000 0.000
2005al 31.396 -18.088 0.021 0.000 0.000
2005hc -5.462 -18.594 0.054 0.000 0.000
2005hc -5.453 -18.660 0.050 0.000 0.000
2005hc -2.642 -18.444 0.043 0.000 0.000
2005hc -2.642 -18.551 0.038 0.000 0.000
2005hc 1.164 -18.337 0.044 0.000 0.000
2005hc 1.173 -18.304 0.049 0.000 0.000
2005hc 3.114 -18.110 0.079 0.000 0.000
2005hc 3.124 -18.191 0.062 0.000 0.000
2005hc 5.074 -17.937 0.077 0.000 0.000
2005hc 5.065 -17.999 0.070 0.000 0.000
2005hc 7.015 -17.877 0.067 0.000 0.000
2005hc 7.025 -17.697 0.101 0.000 0.000
2005hc 8.899 -17.713 0.074 0.000 0.000
2005hc 8.908 -17.825 0.082 0.000 0.000
2005hc 10.706 -17.783 0.092 0.000 0.000
2005hc 10.715 -17.750 0.109 0.000 0.000
2005hc 17.466 -17.830 0.062 0.000 0.000
2005hc 17.475 -17.812 0.073 0.000 0.000
2005hc 24.101 -18.252 0.062 0.000 0.000
2005hc 24.111 -18.335 0.053 0.000 0.000
2005hc 27.983 -18.381 0.050 0.000 0.000
2005hc 27.992 -18.428 0.052 0.000 0.000
2005hc 35.555 -18.709 0.045 0.000 0.000
2005hc 35.555 -18.707 0.047 0.000 0.000
2005hc 41.378 -18.320 0.084 0.000 0.000
2005hc 41.388 -18.507 0.057 0.000 0.000
2004ey -3.031 -18.473 0.008 0.000 0.000
2004ey -3.021 -18.491 0.008 0.000 0.000
2004ey 1.881 -18.029 0.009 0.000 0.000
2004ey 1.881 -18.043 0.009 0.000 0.000
2004ey 6.725 -17.707 0.011 0.000 0.000
2004ey 6.725 -17.682 0.011 0.000 0.000
2004ey 22.515 -18.091 0.009 0.000 0.000
2004ey 22.525 -18.093 0.008 0.000 0.000
2004ey 33.334 -18.612 0.009 0.000 0.000
2004ey 33.334 -18.609 0.009 0.000 0.000
2005ag 4.460 -18.054 0.045 0.000 0.000
2005ag 11.897 -17.659 0.057 0.000 0.000
2005ag 12.795 -17.743 0.052 0.000 0.000
2005ag 12.786 -17.660 0.060 0.000 0.000
2005ag 13.749 -17.564 0.070 0.000 0.000
2004gu 11.551 -17.614 0.046 0.000 0.000
2004gu 11.560 -17.604 0.098 0.000 0.000
2004gu 23.005 -18.129 0.035 0.000 0.000
2004gu 22.995 -18.123 0.037 0.000 0.000
2004gu 34.488 -18.713 0.034 0.000 0.000
2004gu 34.517 -18.662 0.035 0.000 0.000
2007jg 10.455 -17.558 0.053 0.000 0.000
2007jg 10.445 -17.562 0.051 0.000 0.000
2007jg 19.162 -17.883 0.068 0.000 0.000
2007jg 19.191 -17.865 0.034 0.000 0.000
2007jg 28.708 -18.359 0.022 0.000 0.000
2007jg 28.737 -18.343 0.026 0.000 0.000
2007jg 31.649 -18.265 0.028 0.000 0.000
2007jg 31.678 -18.275 0.031 0.000 0.000
2006ax -9.779 -18.103 0.022 0.000 0.000
2006ax -9.770 -18.079 0.025 0.000 0.000
2006ax -6.789 -18.490 0.016 0.000 0.000
2006ax -6.779 -18.501 0.020 0.000 0.000
2006ax -4.891 -18.590 0.014 0.000 0.000
2006ax -1.065 -18.483 0.017 0.000 0.000
2006ax -1.055 -18.444 0.018 0.000 0.000
2006ax 1.915 -18.152 0.019 0.000 0.000
2006ax 1.925 -18.139 0.019 0.000 0.000
2006ax 2.869 -18.070 0.017 0.000 0.000
2006ax 2.869 -18.076 0.022 0.000 0.000
2006ax 9.843 -17.638 0.022 0.000 0.000
2006ax 9.853 -17.588 0.035 0.000 0.000
2006ax 11.712 -17.595 0.017 0.000 0.000
2006ax 11.722 -17.603 0.023 0.000 0.000
2006ax 20.584 -18.001 0.017 0.000 0.000
2006ax 20.593 -17.988 0.018 0.000 0.000
2006ax 23.495 -18.198 0.017 0.000 0.000
2006ax 23.505 -18.190 0.017 0.000 0.000
2006ax 27.410 -18.406 0.021 0.000 0.000
2006ax 27.419 -18.397 0.021 0.000 0.000
2006ax 32.416 -18.616 0.015 0.000 0.000
2006ax 32.416 -18.597 0.016 0.000 0.000
2006ax 36.262 -18.453 0.018 0.000 0.000
2006ax 36.272 -18.485 0.017 0.000 0.000
2006ax 40.245 -18.208 0.019 0.000 0.000
2006ax 40.255 -18.216 0.022 0.000 0.000
2006ax 41.180 -18.182 0.021 0.000 0.000
2006ax 41.189 -18.184 0.020 0.000 0.000
2006ax 5.820 -17.769 0.016 0.000 0.000
2006ax 5.830 -17.783 0.016 0.000 0.000
2006ax 7.728 -17.647 0.016 0.000 0.000
2006ax 7.728 -17.663 0.016 0.000 0.000
2006ax 15.676 -17.618 0.016 0.000 0.000
2006ax 17.584 -17.742 0.016 0.000 0.000
2005na 15.319 -17.506 0.019 0.000 0.000
2005na 31.825 -18.525 0.011 0.000 0.000
2005na 42.494 -17.940 0.014 0.000 0.000
2005na 42.475 -17.937 0.017 0.000 0.000
2005na 43.459 -17.864 0.013 0.000 0.000
2009ds 0.593 -18.408 0.016 0.000 0.000
2009ds 0.603 -18.420 0.016 0.000 0.000
2009ds 1.584 -18.320 0.016 0.000 0.000
2009ds 1.594 -18.318 0.019 0.000 0.000
2009ds 4.507 -18.007 0.022 0.000 0.000
2009ds 4.507 -17.977 0.021 0.000 0.000
2009ds 6.450 -17.800 0.030 0.000 0.000
2009ds 6.460 -17.855 0.021 0.000 0.000
2009ds 10.394 -17.627 0.051 0.000 0.000
2009ds 10.404 -17.722 0.059 0.000 0.000
2009ds 14.387 -17.635 0.024 0.000 0.000
2009ds -6.255 -18.356 0.119 0.000 0.000
