# SNID z tmax tmaxerr st sterr AV AVerr Bmu Bmuerr gmu gmuerr rmu rmuerr imu imuerr Ymu Ymuerr Jmu Jmuerr Hmu Hmuerr
2007bd 0.03157 54207.34 0.05 0.8803 0.0045 0.0659 0.0096 35.63088 0.00851 35.62157 0.00819 35.63824 0.00691 35.63562 0.00928 35.60678 0.01151 35.63654 0.02364 35.67935 0.03504
2007ca 0.01448 54227.94 0.05 1.0370 0.0061 0.6022 0.0081 34.21992 0.01251 34.24639 0.01152 34.26044 0.00876 34.21434 0.00854 34.25818 0.01068 34.21745 0.01081 34.14672 0.01201
2007jg 0.03770 54366.96 0.08 0.9093 0.0050 0.1939 0.0114 36.18977 0.01935 36.20243 0.01754 36.19352 0.01336 36.22207 0.01184 36.17945 0.01336 36.17888 0.01703 36.01569 0.04318
2008ar 0.02863 54534.55 0.07 1.1708 0.0122 0.1119 0.0152 35.46509 0.00853 35.46577 0.00813 35.48157 0.00677 35.45889 0.00856 35.47431 0.01355 35.54749 0.02126 35.46719 0.04058
2008bc 0.01560 54549.96 0.05 1.0444 0.0071 0.0588 0.0176 33.97712 0.04531 33.99620 0.04143 34.00287 0.02991 34.06415 0.02360 34.18582 0.01553 34.18783 0.01421 34.23983 0.01541
2008bf 0.02479 54555.11 0.05 1.0335 0.0064 -0.0389 0.0059 35.11353 0.00709 35.09463 0.00670 35.08418 0.00540 35.07706 0.00643 35.14373 0.00992 35.09764 0.00941 35.34314 0.03447
2008bq 0.03363 54562.77 0.10 1.1299 0.0121 0.2103 0.0145 35.73347 0.01631 35.73706 0.01497 35.72488 0.01113 35.74155 0.01079 35.75177 0.01845 35.78098 0.03914 35.89281 0.08805
2008gl 0.03318 54768.59 0.08 0.8460 0.0044 0.0975 0.0085 35.78068 0.00685 35.78381 0.00627 35.74105 0.00533 35.73085 0.00630 35.97398 0.01414 35.69530 0.01980 35.78337 0.04614
2008gp 0.03398 54779.65 0.04 0.9618 0.0040 0.0417 0.0109 35.64108 0.02146 35.65575 0.01969 35.64449 0.01431 35.63287 0.01198 35.68097 0.01173 35.68298 0.01675 35.86658 0.03579
2008hj 0.03723 54801.59 0.07 1.0761 0.0098 0.0239 0.0064 36.11994 0.00745 36.10570 0.00690 36.05711 0.00573 36.06698 0.00690 36.22387 0.01184 36.21462 0.01955 36.20901 0.04612
2008hu 0.05058 54807.00 0.16 0.7760 0.0065 0.0583 0.0151 36.74214 0.02038 36.76137 0.01819 36.74251 0.01333 36.74519 0.01233 36.72897 0.01679 36.80429 0.02245 36.60802 0.05637
2008hv 0.01383 54817.62 0.03 0.8394 0.0027 0.0021 0.0071 33.83780 0.00701 33.84232 0.00663 33.83895 0.00547 33.84051 0.00575 33.83739 0.00754 33.80634 0.00902 33.88013 0.01053
2008ia 0.02269 54813.38 0.07 0.8592 0.0042 0.0705 0.0151 34.92177 0.03947 34.94543 0.03615 34.91841 0.02607 34.89312 0.02092 34.85283 0.01370 34.83681 0.01734 34.71383 0.01556
2009D 0.02421 54840.99 0.05 1.1615 0.0001 0.0080 0.0066 35.08413 0.01000 35.05621 0.00921 35.05642 0.00711 35.03736 0.00711 35.08982 0.01082 35.09854 0.01364 35.18590 0.01426
2009P 0.02646 54868.69 0.11 1.1061 0.3000 0.5990 0.0089 35.38477 0.01077 35.35622 0.00946 35.28445 0.00784 35.35296 0.00997 35.55680 0.01855 35.40664 0.02256 -99.00000 -99.00000
2009Y 0.00965 54876.21 0.05 1.1431 0.0001 0.1894 0.0096 33.04571 0.01815 33.04989 0.01689 32.94605 0.01244 33.03613 0.01067 33.11195 0.01058 33.23549 0.01157 33.22275 0.01306
2009aa 0.02874 54878.92 0.03 0.9055 0.0032 0.1318 0.0058 35.30571 0.00728 35.31840 0.00669 35.32487 0.00561 35.27853 0.00610 35.31214 0.00694 35.33170 0.00811 35.37600 0.01047
2009ab 0.01028 54883.98 0.04 0.8496 0.0038 0.2207 0.0190 33.45310 0.03736 33.48615 0.03415 33.50753 0.02467 33.45821 0.01968 33.40601 0.01567 33.44728 0.01421 33.53985 0.01383
2009ad 0.02834 54886.84 0.04 0.9954 0.0059 0.0962 0.0105 35.31121 0.02003 35.32657 0.01833 35.30824 0.01351 35.28553 0.01144 35.35554 0.01081 35.32612 0.01170 35.49972 0.02506
2009al 0.02332 54893.34 0.13 1.1708 0.0008 0.3001 0.0083 34.94435 0.00857 34.95877 0.00875 35.05934 0.00794 34.86674 0.01045 34.90577 0.01102 34.95364 0.01328 35.06963 0.01578
2009cz 0.02150 54943.37 0.07 1.0421 0.0099 0.1222 0.0072 34.83546 0.00696 34.83660 0.00692 34.81723 0.00591 34.80179 0.00748 34.82986 0.01287 34.81757 0.01251 34.95996 0.01891
2009ds 0.02037 54961.11 0.08 1.0923 0.0002 0.1133 0.0068 34.64701 0.00841 34.64828 0.00814 34.52806 0.00779 34.52993 0.01033 34.82637 0.01450 34.62208 0.01203 34.75529 0.02021
