
MUERR_INCLUDE: zERR 
MUERR_INCLUDE: zPECERR=0.0008 
MUERR_INCLUDE: SIGMA_LENS=0.055000*z 

NVAR: 53 
VARNAMES: CID CIDint IDSURVEY TYPE FIELD CUTFLAG_SNANA zCMB zCMBERR zHD zHDERR VPEC VPEC_ERR HOST_LOGMASS HOST_LOGMASS_ERR SNRMAX1 SNRMAX2 SNRMAX3 PKMJD PKMJDERR x1 x1ERR c cERR mB mBERR x0 x0ERR COV_x1_c COV_x1_x0 COV_c_x0 NDOF FITCHI2 FITPROB RA DECL TGAPMAX TrestMIN TrestMAX MWEBV MU MUMODEL MUERR MUERR_RAW MURES MUPULL ERRCODE biasCor_mu biasCorErr_mu biasCor_mB biasCor_x1 biasCor_c biasScale_muCOV IDSAMPLE 

# CUTWIN Selection: 
#	     0.0000 <=        x1ERR <=     1.0000 
#	     0.0000 <=     PKMJDERR <=     2.0000 
#	     0.0000 <=        MWEBV <=     0.2000 
#	     5.0000 <=     TrestMAX <= 10000.0000 
#	     1.0000 <= HOST_LOGMASS <=    20.0000 


# SALT2mu fit results: 
#  NSIM(5D-BIASCOR) = 4994394   (N_alpha x N_beta = 2 x 2) 
#  sigint(5D-BIASCOR) = 0.099 
#  NSNFIT   = 1048     
#  -2log(L) = 992.12 
#  chi2(Ia)/dof = 1004.23/1005 = 0.999  
#  sigint   = 0.0900  (4 iterations)
#  alpha0         =    0.15424 +-  0.00553   
#  beta0          =    3.02371 +-  0.06431   
#  gamma0         =    0.05271 +-  0.00917   
#  m0_00-<M0avg>  =    0.02351 +-  0.03140  (0.010 < z < 0.016, N=29) 
#  m0_01-<M0avg>  =   -0.03284 +-  0.02623  (0.016 < z < 0.023, N=31) 
#  m0_02-<M0avg>  =   -0.01713 +-  0.02268  (0.023 < z < 0.030, N=34) 
#  m0_03-<M0avg>  =   -0.01501 +-  0.02310  (0.030 < z < 0.037, N=32) 
#  m0_04-<M0avg>  =   -0.01512 +-  0.02839  (0.037 < z < 0.044, N=19) 
#  m0_05-<M0avg>  =   -0.02176 +-  0.03286  (0.044 < z < 0.051, N=15) 
#  m0_06-<M0avg>  =   -0.05308 +-  0.03243  (0.051 < z < 0.059, N=13) 
#  m0_07-<M0avg>  =   -0.02542 +-  0.04412  (0.059 < z < 0.067, N=7) 
#  m0_08-<M0avg>  =   -0.02259 +-  0.03921  (0.067 < z < 0.076, N=11) 
#  m0_09-<M0avg>  =    0.07284 +-  0.04178  (0.076 < z < 0.085, N=7) 
#  m0_10-<M0avg>  =    0.00268 +-  0.03673  (0.085 < z < 0.094, N=9) 
#  m0_11-<M0avg>  =    0.06905 +-  0.03566  (0.094 < z < 0.103, N=11) 
#  m0_12-<M0avg>  =    0.04566 +-  0.03445  (0.103 < z < 0.113, N=10) 
#  m0_13-<M0avg>  =   -0.01063 +-  0.02637  (0.113 < z < 0.124, N=19) 
#  m0_14-<M0avg>  =    0.01122 +-  0.02702  (0.124 < z < 0.134, N=18) 
#  m0_15-<M0avg>  =    0.06800 +-  0.02371  (0.134 < z < 0.146, N=25) 
#  m0_16-<M0avg>  =   -0.00832 +-  0.02429  (0.146 < z < 0.158, N=23) 
#  m0_17-<M0avg>  =   -0.06450 +-  0.02619  (0.158 < z < 0.171, N=22) 
#  m0_18-<M0avg>  =    0.00897 +-  0.01998  (0.171 < z < 0.184, N=40) 
#  m0_19-<M0avg>  =    0.01069 +-  0.02240  (0.184 < z < 0.198, N=32) 
#  m0_20-<M0avg>  =   -0.00772 +-  0.02159  (0.198 < z < 0.214, N=39) 
#  m0_21-<M0avg>  =    0.00063 +-  0.02362  (0.214 < z < 0.230, N=34) 
