SURVEY: NIR(CSP)
SNID:   PScA470240
FILTERS: YJHabcdefglmnop
RA:      130.722950  deg
DEC:     45.901364  deg
PIXSIZE:  0.5000  arcsec
CCDNUM: 0
FAKE:    2   (=> simulated LC with snlc_sim.exe)
MWEBV:       0.0240    MW E(B-V)
REDSHIFT_HELIO:   0.430000 +- 0.000010  (Helio, z_best)
REDSHIFT_FINAL:   0.430000 +- 0.000010  (CMB)
PEAKMJD: 56304.910
PEAKMJDERR: 0.410
FITPROB: 0.320

# ============================================
# TERSE LIGHT CURVE OUTPUT:
#
NVAR: 5
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR
					
OBS:  56320.574  J NULL   3.87972e+01 2.00108e+00
OBS:  56325.691  J NULL   3.38844e+01 1.74769e+00
OBS:  56333.598  J NULL   3.44191e+01 1.74357e+00
OBS:  56350.408  J NULL   4.08507e+01 1.69312e+00
OBS:  56320.578  H NULL   1.44544e+01 8.65344e-01
OBS:  56325.695  H NULL   1.32069e+01 1.15558e+00
OBS:  56333.602  H NULL   1.52195e+01 1.27561e+00
OBS:  56350.412  H NULL   3.03948e+01 1.51171e+00
END:
