SURVEY: NIR(CSP)
SNID:   PScA470041
FILTERS: YJHabcdefglmnop
RA:      131.337643  deg
DEC:     44.754776  deg
PIXSIZE:  0.5000  arcsec
CCDNUM: 0
FAKE:    2   (=> simulated LC with snlc_sim.exe)
MWEBV:       0.0240    MW E(B-V)
REDSHIFT_HELIO:   0.331000 +- 0.000010  (Helio, z_best)
REDSHIFT_FINAL:   0.331000 +- 0.000010  (CMB)
PEAKMJD: 56302.420
PEAKMJDERR: 0.120
FITPROB: 0.270

# ============================================
# TERSE LIGHT CURVE OUTPUT:
#
NVAR: 5
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR
					
OBS:  56320.507  J NULL   5.67545e+01 1.49500e+01
OBS:  56325.624  J NULL   8.98669e+01 2.35068e+01
OBS:  56333.532  J NULL   1.04040e+02 2.72141e+01
OBS:  56395.344  J NULL   2.41880e+01 6.59428e+00
OBS:  56320.511  H NULL   2.78484e+01 5.07856e+00
OBS:  56325.628  H NULL   5.83983e+01 1.03271e+01
OBS:  56333.536  H NULL   6.39735e+01 1.13719e+01
OBS:  56395.348  H NULL   3.62744e+01 6.78222e+00
END:
