#cosmological_parameters--omega_m    cosmological_parameters--h0    cosmological_parameters--omega_b    cosmological_parameters--n_s    cosmological_parameters--a_s    cosmological_parameters--omnuh2    cosmological_parameters--w    cosmological_parameters--tau    planck--a_planck    planck--a_cib_217    planck--xi_sz_cib    planck--a_sz    planck--ps_a_100_100    planck--ps_a_143_143    planck--ps_a_143_217    planck--ps_a_217_217    planck--ksz_norm    planck--gal545_a_100    planck--gal545_a_143    planck--gal545_a_143_217    planck--gal545_a_217    planck--calib_100t    planck--calib_217t    planck--galf_te_a_100    planck--galf_te_a_100_143    planck--galf_te_a_100_217    planck--galf_te_a_143    planck--galf_te_a_143_217    planck--galf_te_a_217
2.322081719823376397e-03 -3.072181076237518686e-03 3.504472614323610982e-04 -3.361914028206440492e-05 2.384487197568420063e-13 4.659579033912755820e-06 9.902183264789097064e-03 3.946073433572012577e-05 6.440513282951777153e-06 1.228765530654815988e-02 -9.130341275534952861e-05 -1.489125306049661306e-03 5.792105402191802255e-02 2.109030547135586769e-02 4.891789223876404948e-03 -4.955191373968940299e-03 4.598317547281766983e-03 7.276845484260112363e-04 1.556182309304151223e-03 3.714892949138153943e-03 -3.173503877112479154e-04 5.829948580661382926e-07 -6.181689149076438329e-08 -3.574884794006763524e-06 2.269931887757481800e-05 -4.814029494419839119e-06 -2.158372993648522778e-05 2.485915064606633438e-05 1.364234150383027621e-04
-3.072181076237518686e-03 4.215468346395740210e-03 -4.674227554833771899e-04 3.009630060441008531e-05 -3.043688740214362491e-13 -4.732430687128731786e-07 -1.385258608271350798e-02 -5.467387528610398900e-05 -8.620739177682249066e-06 -1.531867121705042176e-02 1.114364577415079006e-04 2.197509365450015136e-03 -7.707660957747351771e-02 -2.592447757873963393e-02 -5.627901362089362224e-03 5.637306926963714035e-03 -4.433697761164210119e-03 -1.203831102669332279e-03 -2.589564671626861693e-03 -4.462363309192153224e-03 1.507549011140130006e-03 -7.059878734200212428e-07 1.451562025305393226e-07 1.230293563737758439e-06 -2.351871075775975359e-05 9.078070791974729924e-06 3.443921745555453978e-05 -1.503144442380858155e-05 -1.136636046984931142e-04
3.504472614323610982e-04 -4.674227554833771899e-04 5.336639139287835669e-05 -3.294066593326952797e-06 3.629157179249024951e-14 7.985318826629981405e-08 1.549514535579187653e-03 6.697639015681044783e-06 9.685885062666529068e-07 1.610869792430284168e-03 -6.675713257810976035e-06 -2.167253435292746842e-04 7.688527567446346543e-03 2.459361845265749941e-03 3.910448334293561870e-04 -8.604491750519123114e-04 6.289809409258395340e-04 1.131274568039456792e-04 2.160900642392496072e-04 4.734425752791784859e-04 -1.217797789425945223e-04 9.001776541717393094e-08 -1.440553420882784736e-08 -3.527303165634859062e-07 3.283788110879836917e-06 1.881744893326054879e-07 -3.617588248682631086e-06 2.895867974582781285e-06 1.556751837529040766e-05
-3.361914028206440492e-05 3.009630060441008869e-05 -3.294066593326952797e-06 1.839354989281016868e-05 5.163184283568320436e-15 -1.183691630136781121e-06 4.395933353037569861e-05 6.210856457075680728e-06 3.541033887670072686e-07 -3.994990557632335619e-03 1.112938804808626239e-04 -1.901028343572363675e-04 -1.347818825607713551e-02 -4.743781012090999942e-03 6.795276529048537451e-04 4.282511918955660829e-03 -2.212745558856467083e-03 4.363306703802125150e-04 -2.033218506326158728e-04 -1.191117252880109214e-03 -1.167084415966817288e-04 -1.301941967450201676e-07 -8.492649178039866187e-08 -4.614640933827067723e-07 7.646881220664151823e-07 6.755135018509062246e-06 -3.173617674391446369e-07 -1.304403075783541255e-06 -1.440792279519895231e-05
2.384487197568420063e-13 -3.043688740214362491e-13 3.629157179249024951e-14 5.163184283568320436e-15 1.201391108196172019e-21 3.288688800722600946e-15 9.049436284912387130e-13 2.517119325213750858e-13 2.962805646094700733e-14 -9.243894208064548213e-12 3.804984798060719032e-13 -1.708741196591105022e-12 1.305832684454519456e-11 6.915627566143923958e-12 1.566691419787335251e-11 3.286970389654461355e-11 -9.572711684092955417e-12 9.525968735312968114e-13 -2.065385854611785133e-12 -4.107555910199200339e-12 1.386231832067049355e-12 7.526993031923402344e-16 -6.826095802623624554e-16 1.208050368672245323e-14 -1.082396525574473036e-14 -3.955310790919518190e-15 -1.393610781461956193e-14 -1.005385403688312135e-14 9.393478471919025661e-14
4.659579033912755820e-06 -4.732430687128732844e-07 7.985318826629974787e-08 -1.183691630136781121e-06 3.288688800722600158e-15 1.763421471074275459e-06 -8.251482974912688643e-05 6.289053751039224089e-07 1.724053075443639773e-07 3.117070227001810792e-04 -1.115644335073587718e-05 1.931764376787774930e-05 1.030937482528334779e-03 5.326962990435298853e-04 7.868362329755949924e-05 -1.711072751118703915e-04 2.032848492828889699e-04 4.944741640740651077e-05 7.336935597964817902e-05 1.775931447613154619e-04 2.039554012994953104e-04 1.293170246897036731e-09 6.533234570245927908e-09 -2.222180692269436290e-07 -3.043982225428381720e-07 -1.860789922560488170e-06 -2.159345997022022970e-06 -9.451220915007416819e-07 -1.152968762426203040e-06
9.902183264789097064e-03 -1.385258608271350798e-02 1.549514535579187653e-03 4.395933353037569184e-05 9.049436284912384101e-13 -8.251482974912688643e-05 5.070641062528955662e-02 2.045903767569845965e-04 2.486907136952328621e-05 3.191384309176111683e-02 1.619859579982397527e-04 -6.446281531948565811e-03 1.625696719506855015e-01 2.372741287428902987e-02 -1.058670984596215420e-02 -2.956610331988781051e-02 9.356003573500300957e-03 2.513946743303691576e-03 5.630424223537555846e-03 5.798905516719577748e-03 -1.335891870229814760e-02 2.282482928050129178e-06 -4.754250281515224743e-07 6.436487784628038363e-06 8.837246742219137974e-05 7.480923755054539129e-05 -5.153393030653027326e-05 7.948523501993193035e-05 1.823799245152116840e-04
3.946073433572011899e-05 -5.467387528610397545e-05 6.697639015681044783e-06 6.210856457075679881e-06 2.517119325213750858e-13 6.289053751039223031e-07 2.045903767569845965e-04 6.136872421228093722e-05 9.175604500526334725e-07 -1.885853569462194899e-03 6.253287553882959143e-05 8.703668968127355589e-05 -4.921296053717987874e-03 -2.076295737628796288e-03 7.289575638388241753e-04 2.668116052722963039e-03 -1.196458952458457443e-03 4.049931602183892590e-04 -5.871204959210719112e-05 -3.774096991959437555e-04 -6.162260564274259559e-05 1.090183355566561445e-07 -1.422684634205415343e-07 2.953139804378529405e-06 -3.070239152524689467e-06 7.306181823405628675e-07 -7.929143792866471995e-06 -5.589644371375015304e-06 -4.158830334779607455e-06
6.440513282951775459e-06 -8.620739177682250760e-06 9.685885062666533303e-07 3.541033887670072157e-07 2.962805646094700733e-14 1.724053075443639508e-07 2.486907136952329299e-05 9.175604500526336843e-07 6.261300254541287887e-06 3.120256932106483974e-04 1.831786368423507871e-06 -1.194075875199546199e-04 5.248671078803383849e-03 8.704241142711188935e-04 5.154598493303806693e-04 2.080122152491190902e-03 -8.214798343059711379e-05 3.712911952247193993e-05 -2.533092220817992430e-05 -1.358165849202193852e-04 7.145413397545625524e-04 -1.030212533185608240e-08 -1.347690965753361591e-08 -6.174635143230493796e-07 -5.710391264250042500e-07 -1.135085969230112776e-06 2.075780098845010770e-06 -7.022184488588822292e-07 1.349637995403665026e-05
1.228765530654816161e-02 -1.531867121705042349e-02 1.610869792430284168e-03 -3.994990557632334752e-03 -9.243894208064546598e-12 3.117070227001810792e-04 3.191384309176112377e-02 -1.885853569462194682e-03 3.120256932106482348e-04 4.615852242372552894e+01 -4.737107996778470165e-01 -1.082764592511860746e+00 4.518487512422520780e+01 4.045865498850241160e+00 -1.334379800243434921e+01 -5.482346182574772797e+01 -1.777409706615541651e+00 -4.940173410654964681e-02 5.863906676200756340e-01 -6.014441944478638113e+00 -3.406286595396352368e+01 -2.898225225609810498e-04 7.424140847523357347e-04 2.965393192545242099e-03 -2.091770541018086408e-03 -1.031754476324515772e-02 -1.098656364376066757e-02 -2.689757593242178557e-02 -1.532045656479511485e-02
-9.130341275534955572e-05 1.114364577415079006e-04 -6.675713257810971799e-06 1.112938804808626239e-04 3.804984798060719032e-13 -1.115644335073587888e-05 1.619859579982396713e-04 6.253287553882959143e-05 1.831786368423506812e-06 -4.737107996778470165e-01 8.177806328986469975e-02 -4.805449502457427580e-02 -8.315914499752521394e-01 1.061635777624133858e+00 1.997958604363488044e+00 7.688128061362911048e-01 5.765226556129141033e-02 -4.435237427414790053e-03 3.605964254811810780e-05 1.263109466320901098e-01 1.694478887824310831e-01 4.444174946815409937e-06 -2.573484142243512102e-06 -1.150743298524314369e-04 1.470422644865171391e-04 4.504839875708562588e-04 9.158974260641901844e-05 5.189530226811040143e-04 6.811922251160542219e-04
-1.489125306049661306e-03 2.197509365450015136e-03 -2.167253435292747384e-04 -1.901028343572363404e-04 -1.708741196591105426e-12 1.931764376787774252e-05 -6.446281531948569281e-03 8.703668968127348813e-05 -1.194075875199546741e-04 -1.082764592511860746e+00 -4.805449502457428274e-02 3.631850224826938867e+00 -3.428128221692524846e+01 -8.528503912977642543e+00 1.730352619172060624e+00 7.847216163096060182e-01 1.635356075272802467e-01 -1.186997559409748715e-01 1.176037843090523144e-01 2.319976767420763863e+00 3.109500356527352238e+00 1.007942644369799469e-04 -4.880161440909843676e-05 -3.238649133818757094e-04 3.270565616399554571e-04 -1.031661051564905897e-03 -2.033675566463588255e-03 1.685461838992463905e-03 5.648674629066066828e-03
5.792105402191801561e-02 -7.707660957747351771e-02 7.688527567446344808e-03 -1.347818825607713551e-02 1.305832684454519779e-11 1.030937482528335213e-03 1.625696719506854737e-01 -4.921296053717989609e-03 5.248671078803382982e-03 4.518487512422520780e+01 -8.315914499752522504e-01 -3.428128221692525557e+01 9.040476039595654356e+02 1.352370718956202609e+02 -1.034430885186015558e+01 -2.363765920537496612e+01 -1.729327163154353642e+01 -7.021085322099270165e+00 6.840156142604904232e+00 -1.275181011910822804e+01 -2.707865525705621934e+01 3.473107178682410465e-03 8.679672257210230149e-04 -1.136157488811932910e-02 -1.811615357655989994e-02 -9.059527883884390537e-03 3.177528142781427256e-02 7.922848063794561344e-04 -1.874866791419354736e-02
2.109030547135586076e-02 -2.592447757873962699e-02 2.459361845265749073e-03 -4.743781012090999942e-03 6.915627566143922342e-12 5.326962990435298853e-04 2.372741287428902987e-02 -2.076295737628796288e-03 8.704241142711186766e-04 4.045865498850241160e+00 1.061635777624133636e+00 -8.528503912977642543e+00 1.352370718956202609e+02 9.268446922434898738e+01 5.793470412425410387e+01 2.748488879753028158e+01 -1.341165770554390768e+01 -2.648605645143650711e-01 -1.254246735938446378e+00 1.001560449470275005e+00 6.322700332454163075e-01 -5.920151994085673115e-05 3.053458259778793525e-04 -1.518373795871746489e-03 3.802577152943454578e-04 8.318698410501319807e-03 1.554584140016288148e-02 3.834648176515232081e-03 2.552987107739615111e-02
4.891789223876401478e-03 -5.627901362089361356e-03 3.910448334293561328e-04 6.795276529048539620e-04 1.566691419787335251e-11 7.868362329755944503e-05 -1.058670984596215593e-02 7.289575638388241753e-04 5.154598493303808862e-04 -1.334379800243434921e+01 1.997958604363488266e+00 1.730352619172060402e+00 -1.034430885186015736e+01 5.793470412425411098e+01 9.216965715480402821e+01 5.443237234138631209e+01 -1.112475255083751513e+01 -3.111021619513676395e-01 -1.007430217703079833e+00 1.967223803147441608e+00 4.533509036711590667e+00 3.004379178317223239e-04 -2.579687397892180788e-04 -5.141231789138478100e-03 5.954848764556120236e-03 7.588736645187688437e-03 9.784535596700743090e-03 1.411192788645913507e-02 3.208623086766187321e-02
-4.955191373968942034e-03 5.637306926963712300e-03 -8.604491750519119861e-04 4.282511918955660829e-03 3.286970389654461355e-11 -1.711072751118704186e-04 -2.956610331988781051e-02 2.668116052722963039e-03 2.080122152491191336e-03 -5.482346182574774218e+01 7.688128061362912158e-01 7.847216163096062402e-01 -2.363765920537496257e+01 2.748488879753028158e+01 5.443237234138631209e+01 1.057845770914660619e+02 -1.001505429034015826e+01 8.589087481116570999e-02 -1.358921319297047292e+00 2.708556907343075082e+00 3.039111246909601860e+01 4.296425358498065744e-04 -1.283703797292745467e-03 -5.040426685829025276e-03 4.681832365202247270e-03 7.151267096963664742e-03 1.879604902844128622e-02 3.482387393935946346e-02 3.405630630235923634e-02
