#cosmological_parameters--omega_m    cosmological_parameters--h0    cosmological_parameters--omega_b    cosmological_parameters--n_s    cosmological_parameters--a_s    cosmological_parameters--omnuh2    cosmological_parameters--w    cosmological_parameters--tau    planck--a_planck    planck--a_cib_217    planck--xi_sz_cib    planck--a_sz    planck--ps_a_100_100    planck--ps_a_143_143    planck--ps_a_143_217    planck--ps_a_217_217    planck--ksz_norm    planck--gal545_a_100    planck--gal545_a_143    planck--gal545_a_143_217    planck--gal545_a_217    planck--calib_100t    planck--calib_217t    planck--galf_te_a_100    planck--galf_te_a_100_143    planck--galf_te_a_100_217    planck--galf_te_a_143    planck--galf_te_a_143_217    planck--galf_te_a_217
4.598317547281766983e-03 -4.433697761164208384e-03 6.289809409258393172e-04 -2.212745558856467083e-03 -9.572711684092955417e-12 2.032848492828889428e-04 9.356003573500304427e-03 -1.196458952458457009e-03 -8.214798343059714089e-05 -1.777409706615541873e+00 5.765226556129141033e-02 1.635356075272802745e-01 -1.729327163154353642e+01 -1.341165770554390768e+01 -1.112475255083751513e+01 -1.001505429034015826e+01 7.570888804331729283e+00 -1.140217850455694029e-02 -1.433660241149428416e-01 -1.838609441012969692e-01 1.902191060980359394e-01 -1.591488495217549837e-06 -3.522599281048057802e-05 6.909907867073875715e-05 -1.098259741021938773e-03 8.823077202201331333e-04 -3.157993951438813583e-03 -2.062549323274215449e-03 -9.166500822945082907e-03
7.276845484260115616e-04 -1.203831102669332713e-03 1.131274568039456656e-04 4.363306703802125692e-04 9.525968735312968114e-13 4.944741640740649721e-05 2.513946743303690709e-03 4.049931602183892590e-04 3.712911952247193993e-05 -4.940173410654963987e-02 -4.435237427414794389e-03 -1.186997559409748437e-01 -7.021085322099270165e+00 -2.648605645143650711e-01 -3.111021619513676950e-01 8.589087481116576550e-02 -1.140217850455693682e-02 3.415247881739774893e+00 4.323348260912353580e-01 1.677801906131404786e-01 1.692901837527670261e-01 1.880081579966182636e-04 -2.219453741731577595e-05 8.258412205237832720e-04 1.160741391328556275e-04 5.909639067695396765e-04 4.684161226380459137e-04 -3.260787062687099669e-03 -8.915872664287897292e-03
1.556182309304152524e-03 -2.589564671626861693e-03 2.160900642392496614e-04 -2.033218506326158728e-04 -2.065385854611785133e-12 7.336935597964817902e-05 5.630424223537554111e-03 -5.871204959210714368e-05 -2.533092220817991075e-05 5.863906676200755230e-01 3.605964254811691518e-05 1.176037843090523699e-01 6.840156142604904232e+00 -1.254246735938446378e+00 -1.007430217703079611e+00 -1.358921319297047292e+00 -1.433660241149427861e-01 4.323348260912353580e-01 3.126748953199992354e+00 2.713161954179054369e+00 2.786550955198020318e+00 -1.703655304097869869e-04 -4.528480245451540207e-05 4.422831318889534468e-04 4.486153163494337637e-04 -2.772715215005269046e-03 7.595103119814116495e-04 7.924677727860365926e-04 -5.171358671612394636e-04
3.714892949138153076e-03 -4.462363309192151489e-03 4.734425752791783775e-04 -1.191117252880109214e-03 -4.107555910199200339e-12 1.775931447613155161e-04 5.798905516719575146e-03 -3.774096991959439182e-04 -1.358165849202194395e-04 -6.014441944478638113e+00 1.263109466320901098e-01 2.319976767420763863e+00 -1.275181011910822448e+01 1.001560449470275005e+00 1.967223803147441608e+00 2.708556907343075526e+00 -1.838609441012969137e-01 1.677801906131404508e-01 2.713161954179054369e+00 1.058045821649004914e+01 1.923428638404864088e+01 -1.494230590641652263e-05 4.147326676213833742e-04 4.347996080338549095e-04 4.448156400453023374e-04 -3.652934898905653839e-04 2.677594991506862011e-03 5.933738471010316720e-03 2.243902195106057748e-02
-3.173503877112480781e-04 1.507549011140131741e-03 -1.217797789425943325e-04 -1.167084415966818101e-04 1.386231832067047941e-12 2.039554012994952562e-04 -1.335891870229815107e-02 -6.162260564274262269e-05 7.145413397545624440e-04 -3.406286595396352368e+01 1.694478887824311386e-01 3.109500356527353127e+00 -2.707865525705622289e+01 6.322700332454160854e-01 4.533509036711591556e+00 3.039111246909601149e+01 1.902191060980359949e-01 1.692901837527670261e-01 2.786550955198019874e+00 1.923428638404864088e+01 5.430656378423538655e+01 1.109179765819411371e-04 9.166258500490006038e-04 -1.747498220579632141e-03 1.537104647744857609e-03 7.743761709308735058e-03 1.448610908389477529e-02 1.933128811070974548e-02 4.220596589655208064e-02
5.829948580661382926e-07 -7.059878734200210311e-07 9.001776541717395741e-08 -1.301941967450201676e-07 7.526993031923401358e-16 1.293170246897034249e-09 2.282482928050127908e-06 1.090183355566561445e-07 -1.030212533185609068e-08 -2.898225225609809956e-04 4.444174946815409937e-06 1.007942644369799469e-04 3.473107178682410898e-03 -5.920151994085670404e-05 3.004379178317223239e-04 4.296425358498065202e-04 -1.591488495217552378e-06 1.880081579966182365e-04 -1.703655304097869869e-04 -1.494230590641651585e-05 1.109179765819411371e-04 3.731090976212839402e-07 -2.352404769215259765e-09 -1.987843127565891865e-07 -2.921180780183957166e-07 3.109679796028584541e-07 -7.576680565201520506e-07 -6.613112157532410392e-07 -3.537898576400359399e-07
-6.181689149076437005e-08 1.451562025305391637e-07 -1.440553420882784405e-08 -8.492649178039867510e-08 -6.826095802623624554e-16 6.533234570245924600e-09 -4.754250281515224213e-07 -1.422684634205415343e-07 -1.347690965753361426e-08 7.424140847523358431e-04 -2.573484142243511679e-06 -4.880161440909843676e-05 8.679672257210230149e-04 3.053458259778793525e-04 -2.579687397892180246e-04 -1.283703797292745684e-03 -3.522599281048057802e-05 -2.219453741731577595e-05 -4.528480245451539529e-05 4.147326676213834284e-04 9.166258500490006038e-04 -2.352404769215258937e-09 3.822028518772022360e-07 1.673150671871271188e-07 1.057347239085771183e-07 4.611610102219332127e-07 5.571022818146134443e-08 -8.820872776671947251e-07 1.761758820159137932e-06
-3.574884794006759289e-06 1.230293563737763945e-06 -3.527303165634886061e-07 -4.614640933827068782e-07 1.208050368672245008e-14 -2.222180692269438672e-07 6.436487784628043446e-06 2.953139804378526864e-06 -6.174635143230495913e-07 2.965393192545243400e-03 -1.150743298524314369e-04 -3.238649133818756552e-04 -1.136157488811933257e-02 -1.518373795871746272e-03 -5.141231789138476366e-03 -5.040426685829024409e-03 6.909907867073912307e-05 8.258412205237829467e-04 4.422831318889536636e-04 4.347996080338545843e-04 -1.747498220579631924e-03 -1.987843127565890806e-07 1.673150671871271188e-07 1.440206816511939306e-03 2.886727523929008207e-04 1.079126676298320807e-04 -3.419074824145980872e-04 -6.675781949344791191e-05 6.544837068051265270e-05
2.269931887757481123e-05 -2.351871075775974004e-05 3.283788110879836070e-06 7.646881220664152882e-07 -1.082396525574472405e-14 -3.043982225428379073e-07 8.837246742219137974e-05 -3.070239152524689467e-06 -5.710391264250042500e-07 -2.091770541018085541e-03 1.470422644865171120e-04 3.270565616399554571e-04 -1.811615357655989994e-02 3.802577152943456204e-04 5.954848764556121103e-03 4.681832365202246403e-03 -1.098259741021938556e-03 1.160741391328554107e-04 4.486153163494338179e-04 4.448156400453024458e-04 1.537104647744858259e-03 -2.921180780183956107e-07 1.057347239085771713e-07 2.886727523929009291e-04 8.746834573966933432e-04 1.537445410242672470e-05 7.123760093139701929e-04 -8.007952082318328381e-06 -6.825654701066154141e-04
-4.814029494419829802e-06 9.078070791974733313e-06 1.881744893326062291e-07 6.755135018509063940e-06 -3.955310790919517401e-15 -1.860789922560488381e-06 7.480923755054536418e-05 7.306181823405613852e-07 -1.135085969230113623e-06 -1.031754476324516293e-02 4.504839875708563130e-04 -1.031661051564906331e-03 -9.059527883884397476e-03 8.318698410501316337e-03 7.588736645187688437e-03 7.151267096963663875e-03 8.823077202201330248e-04 5.909639067695394597e-04 -2.772715215005269480e-03 -3.652934898905634865e-04 7.743761709308732456e-03 3.109679796028582953e-07 4.611610102219329480e-07 1.079126676298320400e-04 1.537445410242672809e-05 7.449586349870503457e-03 -2.883683732076456154e-04 5.491687700468139092e-04 4.228044285927941293e-03
-2.158372993648522439e-05 3.443921745555456011e-05 -3.617588248682628121e-06 -3.173617674391451663e-07 -1.393610781461954931e-14 -2.159345997022023393e-06 -5.153393030653025971e-05 -7.929143792866468607e-06 2.075780098845009499e-06 -1.098656364376066931e-02 9.158974260641915396e-05 -2.033675566463587388e-03 3.177528142781428644e-02 1.554584140016287801e-02 9.784535596700743090e-03 1.879604902844128622e-02 -3.157993951438812716e-03 4.684161226380455885e-04 7.595103119814118663e-04 2.677594991506860710e-03 1.448610908389477529e-02 -7.576680565201514153e-07 5.571022818146130472e-08 -3.419074824145981414e-04 7.123760093139701929e-04 -2.883683732076456154e-04 2.961139662205034950e-03 3.921996472499403069e-04 -9.675873790711658458e-04
2.485915064606634454e-05 -1.503144442380855275e-05 2.895867974582781709e-06 -1.304403075783541255e-06 -1.005385403688310873e-14 -9.451220915007412584e-07 7.948523501993205232e-05 -5.589644371375016152e-06 -7.022184488588823350e-07 -2.689757593242179598e-02 5.189530226811039058e-04 1.685461838992464339e-03 7.922848063794539659e-04 3.834648176515230347e-03 1.411192788645913507e-02 3.482387393935946346e-02 -2.062549323274218051e-03 -3.260787062687099669e-03 7.924677727860351831e-04 5.933738471010314118e-03 1.933128811070974548e-02 -6.613112157532414627e-07 -8.820872776671952545e-07 -6.675781949344791191e-05 -8.007952082318316522e-06 5.491687700468140176e-04 3.921996472499403069e-04 6.135725263207717634e-03 7.727848915180544030e-03
1.364234150383027350e-04 -1.136636046984930599e-04 1.556751837529040766e-05 -1.440792279519895570e-05 9.393478471919033234e-14 -1.152968762426203252e-06 1.823799245152118466e-04 -4.158830334779619314e-06 1.349637995403664856e-05 -1.532045656479511138e-02 6.811922251160536798e-04 5.648674629066067696e-03 -1.874866791419357859e-02 2.552987107739615458e-02 3.208623086766185933e-02 3.405630630235922940e-02 -9.166500822945075969e-03 -8.915872664287892088e-03 -5.171358671612398972e-04 2.243902195106057054e-02 4.220596589655208758e-02 -3.537898576400350399e-07 1.761758820159137508e-06 6.544837068051267981e-05 -6.825654701066154141e-04 4.228044285927941293e-03 -9.675873790711658458e-04 7.727848915180544898e-03 7.320457510412303748e-02
