#cosmological_parameters--omega_m    cosmological_parameters--h0    cosmological_parameters--omega_b    cosmological_parameters--n_s    cosmological_parameters--a_s    cosmological_parameters--omnuh2    cosmological_parameters--w    cosmological_parameters--tau    planck--a_planck    planck--a_cib_217    planck--xi_sz_cib    planck--a_sz    planck--ps_a_100_100    planck--ps_a_143_143    planck--ps_a_143_217    planck--ps_a_217_217    planck--ksz_norm    planck--gal545_a_100    planck--gal545_a_143    planck--gal545_a_143_217    planck--gal545_a_217    planck--calib_100t    planck--calib_217t    planck--galf_te_a_100    planck--galf_te_a_100_143    planck--galf_te_a_100_217    planck--galf_te_a_143    planck--galf_te_a_143_217    planck--galf_te_a_217    supernova_params--m
4.708014548982340520e-05 -4.830024403932045780e-05 6.313040996147333343e-06 -5.009288924059388549e-06 3.662070741244051623e-15 1.772282584148436371e-07 1.219313018324593172e-04 -1.063664588096459004e-06 -2.743628596996442095e-07 1.187687790018674815e-03 -1.182159796943242575e-05 -3.255029924495803502e-05 4.108732527154539994e-03 1.830368400931096018e-03 7.820048189120037355e-04 -9.133874590265283642e-04 1.769484235233763499e-04 5.709433856759338013e-05 2.839936933675138659e-04 1.656171887240737866e-04 -3.019635972056299283e-04 -6.632214801642063110e-08 -1.614954943219204731e-08 -2.238158876819705889e-06 9.091084373026619324e-07 -4.039535989636981516e-06 3.635517600590109287e-06 -1.474273479198567191e-05 -2.018351971055442086e-05 -1.053844545210550361e-04
-4.830024403932045780e-05 5.453716156411798335e-05 -7.314656650074035456e-06 4.901323461415408952e-07 -2.029060862517518513e-14 5.775631915252364482e-08 -1.752521735486020659e-04 -4.915986642145226827e-06 3.550753517863880195e-08 -7.411067676104715531e-04 9.914056669076121075e-06 4.654322200043328652e-05 -2.478824383268504739e-03 -9.072225711541203729e-04 -3.007775033364144422e-04 4.993767190918374510e-04 3.126877676139482602e-06 -9.040886474713695367e-05 -2.960307428257671751e-04 -7.816047820553697430e-05 3.256553066246421248e-04 7.361907893241356133e-08 5.853826695901841541e-08 3.656494567556378612e-06 -8.696801544183897725e-08 2.328417665334776684e-06 -2.535386627254326077e-06 1.783528781308601100e-05 2.537521886077283114e-05 1.135201813053270993e-04
6.313040996147333343e-06 -7.314656650074035456e-06 1.062739310340650483e-06 2.788643510038092702e-07 4.857029559748800695e-15 -9.465899335605229640e-09 2.636039439487222779e-05 1.178428280656069904e-06 2.695861836278192239e-08 -4.984331549399634911e-05 2.679587984647112599e-06 1.939512599654885521e-06 -1.725943093313348604e-04 -2.113013393480584444e-04 -5.292263239952647581e-05 1.919290488470310173e-06 -8.409036080462016548e-05 -4.470658540101378180e-06 2.483136227540661353e-05 -2.795560251911190659e-05 -5.582647138693906230e-05 -7.661042373982503097e-09 -1.038465962458247178e-08 -5.123165590151005685e-07 4.559135463194472094e-08 -6.761589843311497093e-07 -1.421063559784170014e-07 -3.191748720680697691e-06 -5.675082722817109702e-06 -1.468304765618849780e-05
-5.009288924059388549e-06 4.901323461415408952e-07 2.788643510038092702e-07 1.491818376598979784e-05 2.997578433281921429e-14 6.117768353556741339e-09 3.462038947204087834e-05 1.023771956628815158e-05 1.440670198813893497e-07 -4.461103500906591496e-03 1.319130287969938107e-04 -1.560820949371461851e-04 -1.393396291661124636e-02 -1.952768784883051690e-03 3.177028998241044656e-03 6.967206113051140591e-03 -3.079804580086461727e-03 2.967776789330007700e-04 -3.042570098101894964e-04 -7.893141925828560737e-04 6.437919983097123520e-04 -8.741350712166171402e-08 -9.472756069776966650e-08 2.112542723057804249e-06 -9.121305336121973278e-08 -5.073371883110156808e-06 -3.198012792729813696e-06 -2.757375499225376849e-07 -8.464788618110954374e-06 6.393590974208968691e-06
3.662070741244050045e-15 -2.029060862517518513e-14 4.857029559748800695e-15 2.997578433281921429e-14 9.688868302200393755e-22 1.373475156631230315e-15 1.763638128694577390e-13 2.189550913683842745e-13 1.970620238669536955e-14 -9.400582110091935796e-12 1.659848743338320855e-13 -7.979065360675353262e-13 -3.392029725381084976e-12 -8.021997615625814745e-12 -5.179190955834562890e-13 1.756004615646535785e-11 -6.051597818986439093e-12 -1.131367883792913796e-12 -6.860598031173707879e-13 -2.495778878943669450e-12 3.293401642130148142e-12 3.190425969951391074e-16 -3.849610343260702701e-16 -9.362060037688336708e-15 -1.000295868747145840e-14 -3.952037885114644018e-14 -2.908811561015820983e-14 -1.202434529515699584e-14 -1.875021362339711240e-13 -2.430232525116952167e-14
1.772282584148436107e-07 5.775631915252363158e-08 -9.465899335605232949e-09 6.117768353556738030e-09 1.373475156631230512e-15 1.190783045601452507e-07 -3.654533673880298450e-06 3.240408283497329368e-07 2.290327650217699757e-08 1.749548196528990734e-05 1.401002412798118197e-07 -5.478929640786511719e-06 1.565072342150790644e-04 9.466896456826335150e-05 4.339984799779447738e-05 1.667940574674292350e-05 -2.792179249087800187e-06 2.693231889083469439e-06 4.669358119271590040e-06 1.060980525587135692e-05 6.975738506780115334e-06 2.552562050090752420e-09 -1.875623696773379954e-10 2.786787095072368727e-07 1.694743390531223445e-07 -1.837376222395273708e-07 -2.511546759299330994e-09 -4.778909988285444086e-07 -8.204038773770098080e-07 -4.685406084233849393e-07
1.219313018324593172e-04 -1.752521735486020388e-04 2.636039439487222779e-05 3.462038947204088511e-05 1.763638128694577390e-13 -3.654533673880298450e-06 8.973203287334435233e-04 5.418944597263609827e-05 1.762417118093981167e-06 -3.655216533219063715e-03 6.294000806869958875e-05 2.152128923768961179e-04 -1.853308942841072615e-02 -1.232392502064859167e-02 -4.957184129902668379e-03 1.519973127898136944e-03 -2.656652924951612496e-03 1.195308262352024370e-04 5.650690951812322197e-04 -1.128346590716171631e-03 -1.445036949267689648e-03 -2.586696296007437219e-07 -4.411318896593512548e-07 -2.227667594408542801e-05 -7.306144508346037849e-06 -4.892506123815684720e-06 -1.381830719756964413e-05 -7.282687434558132570e-05 -1.281464711834613506e-04 -3.113458400188598451e-04
-1.063664588096459427e-06 -4.915986642145226827e-06 1.178428280656069904e-06 1.023771956628815158e-05 2.189550913683842745e-13 3.240408283497329368e-07 5.418944597263608472e-05 5.734633765384901610e-05 -1.333905916731805463e-06 -3.268919532734064232e-03 3.623685106101793391e-05 -3.579116215798624058e-05 -6.590072155930782813e-03 -4.173781064034783224e-03 -1.498029008796232736e-03 2.399329792344969542e-03 -8.872294362188273484e-04 -1.216105303431881982e-04 6.455378165966497658e-05 -3.759008591340297898e-04 5.674043764184351357e-04 4.034238685558769761e-08 -1.068728426712032303e-07 -3.027964310627522222e-06 6.051366460980258563e-09 -9.309310683139866171e-06 -2.990461315222549818e-06 -1.346666691201734173e-06 -4.068188393895546423e-05 -4.247497090853598957e-06
-2.743628596996443154e-07 3.550753517863885489e-08 2.695861836278191246e-08 1.440670198813893233e-07 1.970620238669536639e-14 2.290327650217700087e-08 1.762417118093980955e-06 -1.333905916731805463e-06 6.175375951498654962e-06 1.318652034584858433e-03 -1.280895701815020121e-05 3.422771690472653787e-05 4.453410156809578004e-03 6.683981113312954803e-04 -4.495540049047164297e-05 3.120940565223751699e-04 -2.329955829802200486e-05 1.469260831417410596e-05 4.361685140978856836e-05 1.172880165178039763e-04 5.275289374048909965e-04 -2.693989517032967468e-08 2.322318014526696195e-09 8.185090583412605344e-08 -3.172480649485667637e-06 8.704775446264219799e-07 -5.312809425527482115e-06 -2.721002238960527042e-06 -8.892380235515825451e-06 1.516817986962868673e-07
1.187687790018674382e-03 -7.411067676104714447e-04 -4.984331549399634911e-05 -4.461103500906592363e-03 -9.400582110091935796e-12 1.749548196528989718e-05 -3.655216533219063715e-03 -3.268919532734064232e-03 1.318652034584858433e-03 4.481405091558391263e+01 -4.950306100458973235e-01 -1.367850887823194306e+00 4.618396280867438008e+01 4.339997172732728004e+00 -1.400607704614956361e+01 -5.309218389105375735e+01 -1.500692891316728561e+00 3.378606660145989093e-01 5.625461669445728230e-01 -6.070446873796771392e+00 -3.314640559031517597e+01 -1.953048682010987541e-04 6.840734507649098763e-04 -2.977499374196609667e-03 -1.920779791743873434e-03 -6.258313328520173462e-03 1.480893459365364376e-03 -8.415177316265687497e-04 -2.759309390267286610e-02 -2.850897222381606859e-03
-1.182159796943243083e-05 9.914056669076121075e-06 2.679587984647112599e-06 1.319130287969938107e-04 1.659848743338321612e-13 1.401002412798118462e-07 6.294000806869956164e-05 3.623685106101793391e-05 -1.280895701815020460e-05 -4.950306100458973235e-01 8.061506671757694142e-02 -2.194063594257009142e-02 -9.518916631514569016e-01 1.028450554004365358e+00 2.020753936590893307e+00 7.792012927772954400e-01 4.779151907924169412e-02 -9.837149958161468463e-03 5.534160828007199037e-03 1.496523314218368150e-01 2.269568518988512029e-01 5.360197077581168184e-06 -1.582698881110132145e-07 9.838953401571318299e-05 3.499283106914802889e-05 2.848444161799396578e-04 1.186197223984760101e-04 5.903234356564674096e-04 3.122621691410667338e-03 3.372452721249791945e-06
-3.255029924495802146e-05 4.654322200043331363e-05 1.939512599654882556e-06 -1.560820949371462393e-04 -7.979065360675355282e-13 -5.478929640786506637e-06 2.152128923768958468e-04 -3.579116215798628801e-05 3.422771690472653109e-05 -1.367850887823194528e+00 -2.194063594257008795e-02 3.435028592071256881e+00 -3.186774310224604889e+01 -7.485678520593196161e+00 2.620867316584178486e+00 1.854827247746575036e+00 -6.397940872940090229e-02 -2.777557574141186203e-01 3.771745907130589354e-02 2.058019283760191609e+00 2.765111556399053594e+00 8.728852088689418654e-05 -5.905727541081357419e-05 7.540465902014727335e-04 -3.986648736250021641e-04 5.648980339147420928e-04 -2.005426793608799214e-04 1.579861963586486539e-03 7.810073665279124167e-03 2.253409953447843843e-04
4.108732527154540862e-03 -2.478824383268504739e-03 -1.725943093313346978e-04 -1.393396291661124636e-02 -3.392029725381086591e-12 1.565072342150791186e-04 -1.853308942841071921e-02 -6.590072155930781078e-03 4.453410156809578004e-03 4.618396280867439430e+01 -9.518916631514570126e-01 -3.186774310224605244e+01 8.585957270278721580e+02 1.203232561190626484e+02 -1.664354786353661808e+01 -3.055604767358701679e+01 -1.429474587004719588e+01 -5.150662479613514755e+00 7.586679090841508710e+00 -9.454015096060173207e+00 -2.273906325888225410e+01 3.460337612866752101e-03 9.564666911155008744e-04 -4.925023355444789648e-03 8.688921360628517557e-04 -1.237100506737274716e-02 1.093367020676325012e-02 -3.025375302172847100e-02 -1.704964230123960645e-01 -1.265247972957372381e-02
1.830368400931096234e-03 -9.072225711541205898e-04 -2.113013393480583902e-04 -1.952768784883051690e-03 -8.021997615625816361e-12 9.466896456826332440e-05 -1.232392502064858994e-02 -4.173781064034783224e-03 6.683981113312956971e-04 4.339997172732728004e+00 1.028450554004365358e+00 -7.485678520593197938e+00 1.203232561190626626e+02 8.927936321897230698e+01 5.792773761276308164e+01 2.690204853988738876e+01 -1.358518852332707283e+01 7.324101845772190700e-02 -1.196879097744198761e+00 1.446377027240097757e+00 5.515207134889538176e-01 -6.079867400886511462e-05 2.388982938578830160e-04 -7.167190998356715156e-04 -2.744050106880692712e-03 -9.392434308610496385e-03 7.804614542152985349e-03 7.478764222822602975e-03 4.795240648867801075e-02 -5.708917470789024069e-03
