# snid z logmass logsfr logssfr SDSSu PS1g umg chi2 nbands
17500 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
17568 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
17605 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
17629 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
17784 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18241 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18415 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18602 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18612 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18650 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18697 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18809 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18835 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
18855 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
19543 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
19775 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1972E -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1980N -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1981B -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1981D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1986G -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
19899 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1989B -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1990N -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1990O -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1990T -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1990Y -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1991M -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1991S -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1991T -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1991U -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992A -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992G -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992J -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992K -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1992P -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993B -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993H -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993L -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1993O -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
19940 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1994D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1994M -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1994Q -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1994S -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1994T -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
19953 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1995D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1995E -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
19968 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996C -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996X -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1996Z -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997E -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1997Y -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1998V -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
1999X -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000B -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2000E -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001C -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001G -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001N -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2001V -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2002G -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2003D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2003K -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2003U -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2003W -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2004L -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2005A -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2005M 0.023 9.63583 0.453874 -9.18196 16.455 -20.785 37.239999999999995 9148.69 24 
2005W -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
20064 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2006B -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2006D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2006H -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2006S -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2006X -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2007A 0.017 10.0937 0.95554 -9.13814 14.494 -21.032 35.525999999999996 7684.31 24 
2007F -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2007N -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2007O -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2007R -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2007S 0.015 9.71285 0.530894 -9.18196 15.252 -20.24 35.492 6172.06 24 
20084 -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008A -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008C -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008L -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008O -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008Q -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008R -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2008Y -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2009D -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2009F -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2009I -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2009P -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
2009Y -99.000 -99.0 -99.0 0.0 -99.99 -99.99 0.0 10000000000.0 24 
