Name    |             z|Survey|        RAdeg         DEdeg|       umagg|       gmagg|       rmagg|       imagg|       zmagg|     e_umagg|     e_gmagg|     e_rmagg|     e_imagg|     e_zmagg|       umagl|       gmagl|       rmagl|       imagl|       zmagl|     e_umagl|     e_gmagl|     e_rmagl|     e_imagl|     e_zmagl|         Ful|         Fgl|         Frl|         Fil|         Fzl|       e_Ful|       e_Fgl|       e_Frl|       e_Fil|       e_Fzl|          U-Vl|        e_U-Vl|          U-Vg|        e_U-Vg|          logMs|        e_logMs|      Dist
--------|--------------|------|---------------------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|------------|--------------|--------------|--------------|--------------|---------------|---------------|----------
03D1ar  |0.406880144583|SNLS5 | 36.811120833  -4.317986111|   21.378613|   21.233832|   20.062361|   19.495614|   19.130857|    0.017883|    0.009800|    0.008129|    0.007821|    0.011935|   24.105731|   23.948920|   22.767482|   22.180271|   21.822832|    0.008325|    0.002960|    0.001784|    0.001816|    0.003456|  227.880816|  263.288549|  781.640600| 1342.429266| 1865.808654|    2.776949|    1.370160|    3.336189|    5.697423|   12.774263| 0.38436899650| 0.02216950350| 0.40158753730| 0.02247130720|  10.5762707106|   0.0714306955|  5.790385
03D1au  |0.503083694013|SNLS5 | 36.043208333  -4.037469444|   23.432849|   23.528775|   22.373590|   21.769186|   21.486704|    0.070316|    0.030100|    0.018944|    0.017066|    0.030264|   25.814598|   25.734633|   24.501689|   23.826503|   23.496819|    0.034042|    0.012650|    0.006990|    0.006596|    0.013343|   47.223806|   50.833132|  158.242890|  294.712788|  399.275239|    2.115244|    0.761965|    1.600409|    2.884180|    7.245118| 0.35546315610| 0.02635454010| 0.26641884040| 0.03389231900|   9.7256746899|   0.0678670432|  3.899994
03D1aw  |0.580724112365|SNLS5 | 36.061633333  -4.517158333|   23.707144|   23.949058|   23.021987|   22.445923|   22.320907|    0.112179|    0.056341|    0.042099|    0.038591|    0.081531|   27.183319|   27.479847|   26.611549|   26.068972|   26.099748|    0.110696|    0.059914|    0.046054|    0.049807|    0.144275|   13.386661|   10.187352|   22.666279|   37.360364|   36.316217|    1.876015|    0.672759|    1.375647|    2.529526|    6.693748|-0.15233461500| 0.06867846980|-0.01178003350| 0.04711467790|   9.3298651170|   0.1083276515|  6.875328
03D1ax  |0.494795455231|SNLS5 | 36.097287500  -4.720775000|   22.487401|   21.239944|   19.469382|   18.418951|   17.932295|    0.184201|    0.026692|    0.011312|    0.008771|    0.012992|   27.187823|   26.128937|   24.337041|   23.274220|   22.748242|    0.127032|    0.021074|    0.007112|    0.004955|    0.008325|   13.331243|   35.352921|  184.155111|  490.130840|  795.615388|    2.230652|    0.869714|    1.898355|    3.768949|    9.543980| 1.17799698440| 0.03936715030| 1.08442797940| 0.00748951470|  11.5225911174|   0.0582877933| 10.046604
03D1bf  |0.701627811783|SNLS5 | 36.009962500  -4.932530556|   23.447339|   23.459251|   22.424153|   21.344700|   20.898753|    0.097380|    0.040055|    0.026939|    0.016902|    0.025699|   26.409123|   26.249702|   25.121617|   23.937527|   23.483345|    0.066306|    0.024063|    0.014251|    0.008715|    0.015355|   27.311835|   31.631444|   89.403209|  266.066005|  404.261143|    2.206846|    0.807847|    1.641587|    3.177048|    7.981045| 0.59417514300| 0.03441796240| 0.48376881110| 0.03935737270|  10.6039780673|   0.0373423491|  4.187877
03D1bk  |0.863512325197|SNLS5 | 36.614225000  -4.536700000|   23.727931|   23.408079|   21.593541|   20.141894|   19.442192|    0.116663|    0.036753|    0.014052|    0.008727|    0.012493|   28.334577|   27.672527|   25.952304|   24.535668|   23.819014|    0.265806|    0.062489|    0.022341|    0.010961|    0.016229|    4.636273|    8.530788|   41.598557|  153.367293|  296.752526|    1.451771|    0.538819|    1.147887|    2.215757|    6.046789| 1.07796012420| 0.06913213490| 0.99957160080| 0.00875432100|  11.5703834825|   0.0408821957|  7.529269
03D1bp  |0.345927973263|SNLS5 | 36.657233333  -4.838780556|   21.658737|   20.910624|   19.444966|   18.685374|   18.267542|    0.036533|    0.010751|    0.008089|    0.007621|    0.011515|   24.679750|   23.976917|   22.478499|   21.723678|   21.276170|    0.016400|    0.003509|    0.001621|    0.001458|    0.002614|  134.307468|  256.586059| 1020.000942| 2044.225063| 3086.968094|    3.283659|    1.519918|    4.289653|    8.154629|   19.124195| 0.97226473650| 0.02757057670| 0.96298338300| 0.02334208420|  11.0509748877|   0.0181433911|  6.089017
03D1co  |0.677661973919|SNLS5 | 36.567745833  -4.935050000|   25.095608|   25.522346|   24.578484|   23.767222|   23.412934|    0.217704|    0.118659|    0.088002|    0.068198|    0.117386|   27.024722|   27.276521|   26.225205|   25.311628|   24.953351|    0.092725|    0.045425|    0.029473|    0.023327|    0.046027|   15.492129|   12.285459|   32.353243|   75.049696|  104.390148|    1.761036|    0.592418|    1.220133|    2.330148|    6.027186| 0.29959838070| 0.05729078700| 0.13471754960| 0.08861663900|   9.1381172030|   0.1611489834|  1.477867
03D1dt  |0.610711684371|SNLS5 | 36.629966667  -4.052341667|   23.225031|   23.455713|   22.541991|   21.836014|   21.545223|    0.045812|    0.023028|    0.018080|    0.015578|    0.026788|   24.977441|   25.130824|   24.151629|   23.380270|   23.201806|    0.014940|    0.006899|    0.004835|    0.004276|    0.009525|  102.099511|   88.648295|  218.448191|  444.520684|  523.935405|    1.946084|    0.740765|    1.562018|    2.949216|    6.839476| 0.13165130630| 0.02267655270| 0.10092258520| 0.02258977390|   9.7115624092|   0.0578110554|  1.588582
03D1ew  |0.866494409132|SNLS5 | 36.058795833  -4.665852778|   24.403323|   24.701528|   24.226821|   23.321547|   23.018486|    0.159954|    0.086034|    0.098393|    0.067963|    0.119935|   29.441726|   28.952110|   28.598448|   27.606327|   26.864639|    0.716322|    0.195670|    0.245033|    0.177272|    0.244578|    1.672282|    2.625161|    3.635974|    9.067114|   17.953301|    1.410438|    0.518098|    1.091644|    2.061974|    5.346154| 0.05182508070| 0.13745107970|-0.05753885930| 0.05238396020|   9.3586106792|   0.1034921808| 17.677975
