SURVEY:   WFIRST
SNID:     929
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.012     # estimate for LC fit codes

REDSHIFT_HELIO:   0.563802 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.564427 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56380  
SIM_REDSHIFT_CMB:    0.56443  
SIM_REDSHIFT_HOST:   0.56380  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5773   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.109     # host extinction at 5510 A
SIM_RV:            1.518     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         0.860
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.59  # days 
SIM_TRESTMAX:        39.63  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.12  23.41  23.89  24.38  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 84
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 55006.0000 Z MEDIUM  5.6213e+01  1.763e+00    0  1.000 31.401  0.91 6.772e+00  23.1173 
OBS: 55006.0000 H MEDIUM  1.6376e+01  8.449e-01    0  1.000 32.024  0.92 8.866e+00  24.4438 
OBS: 55006.0000 Y MEDIUM  4.2046e+01  1.549e+00    0  1.000 31.483  0.91 7.070e+00  23.4122 
OBS: 55006.0000 J MEDIUM  2.7726e+01  1.197e+00    0  1.000 31.688  0.91 7.642e+00  23.9273 
OBS: 55009.0000 H MEDIUM  1.3106e+01  8.144e-01    0  1.000 32.024  0.92 8.866e+00  24.6281 
OBS: 55009.0000 J MEDIUM  2.3361e+01  1.158e+00    0  1.000 31.688  0.91 7.642e+00  24.0423 
OBS: 55009.0000 Y MEDIUM  4.0803e+01  1.538e+00    0  1.000 31.483  0.91 7.070e+00  23.4488 
OBS: 55009.0000 Z MEDIUM  5.7219e+01  1.771e+00    0  1.000 31.401  0.91 6.772e+00  23.1331 
OBS: 55012.0000 Y MEDIUM  3.8422e+01  1.519e+00    0  1.000 31.483  0.91 7.070e+00  23.5301 
OBS: 55012.0000 H MEDIUM  1.2089e+01  8.046e-01    0  1.000 32.024  0.92 8.866e+00  24.8027 
OBS: 55012.0000 J MEDIUM  2.1177e+01  1.138e+00    0  1.000 31.688  0.91 7.642e+00  24.1727 
OBS: 55012.0000 Z MEDIUM  5.4222e+01  1.748e+00    0  1.000 31.401  0.91 6.772e+00  23.1935 
OBS: 55015.0000 H MEDIUM  1.1039e+01  7.944e-01    0  1.000 32.024  0.92 8.866e+00  24.9531 
OBS: 55015.0000 J MEDIUM  1.9822e+01  1.125e+00    0  1.000 31.688  0.91 7.642e+00  24.3013 
OBS: 55015.0000 Y MEDIUM  3.3108e+01  1.473e+00    0  1.000 31.483  0.91 7.070e+00  23.6542 
OBS: 55015.0000 Z MEDIUM  4.7839e+01  1.697e+00    0  1.000 31.401  0.91 6.772e+00  23.2873 
OBS: 55018.0000 H MEDIUM  8.2414e+00  7.667e-01    0  1.000 32.024  0.92 8.866e+00  25.0302 
OBS: 55018.0000 J MEDIUM  1.6887e+01  1.097e+00    0  1.000 31.688  0.91 7.642e+00  24.4064 
OBS: 55018.0000 Y MEDIUM  2.9117e+01  1.438e+00    0  1.000 31.483  0.91 7.070e+00  23.8023 
OBS: 55018.0000 Z MEDIUM  4.2902e+01  1.656e+00    0  1.000 31.401  0.91 6.772e+00  23.4093 
OBS: 55021.0000 Z MEDIUM  3.6980e+01  1.606e+00    0  1.000 31.401  0.91 6.772e+00  23.5456 
OBS: 55021.0000 Y MEDIUM  2.4596e+01  1.398e+00    0  1.000 31.483  0.91 7.070e+00  23.9427 
OBS: 55021.0000 H MEDIUM  9.6700e+00  7.810e-01    0  1.000 32.024  0.92 8.866e+00  25.0204 
OBS: 55021.0000 J MEDIUM  1.5919e+01  1.088e+00    0  1.000 31.688  0.91 7.642e+00  24.4578 
OBS: 55024.0000 Y MEDIUM  2.5259e+01  1.404e+00    0  1.000 31.483  0.91 7.070e+00  24.0529 
