SURVEY:   WFIRST
SNID:     165
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55004.996     # estimate for LC fit codes

REDSHIFT_HELIO:   0.523708 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.524316 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.52371  
SIM_REDSHIFT_CMB:    0.52432  
SIM_REDSHIFT_HOST:   0.52371  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.3842   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.070     # host extinction at 5510 A
SIM_RV:            1.519     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.015
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_TRESTMIN:        -9.84  # days 
SIM_TRESTMAX:        40.02  # days 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.76  23.16  23.66  24.21  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 64
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 54990.0000 Y MEDIUM  3.0218e+01  1.448e+00    0  1.000 31.483  0.91 7.070e+00  23.8101 
OBS: 54990.0000 Z MEDIUM  3.1733e+01  1.561e+00    0  1.000 31.401  0.91 6.772e+00  23.6355 
OBS: 54990.0000 H MEDIUM  1.7311e+01  8.534e-01    0  1.000 32.024  0.92 8.866e+00  24.3622 
OBS: 54990.0000 J MEDIUM  2.2021e+01  1.146e+00    0  1.000 31.688  0.91 7.642e+00  24.1134 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 54995.0000 Y MEDIUM  4.7268e+01  1.591e+00    0  1.000 31.483  0.91 7.070e+00  23.3291 
OBS: 54995.0000 H MEDIUM  2.4532e+01  9.167e-01    0  1.000 32.024  0.92 8.866e+00  24.0301 
OBS: 54995.0000 J MEDIUM  3.5470e+01  1.264e+00    0  1.000 31.688  0.91 7.642e+00  23.7032 
OBS: 54995.0000 Z MEDIUM  5.6219e+01  1.763e+00    0  1.000 31.401  0.91 6.772e+00  23.1147 
OBS: 55000.0000 J MEDIUM  3.7295e+01  1.279e+00    0  1.000 31.688  0.91 7.642e+00  23.5736 
OBS: 55000.0000 H MEDIUM  2.5845e+01  9.277e-01    0  1.000 32.024  0.92 8.866e+00  23.9858 
OBS: 55000.0000 Y MEDIUM  5.4063e+01  1.645e+00    0  1.000 31.483  0.91 7.070e+00  23.1683 
OBS: 55000.0000 Z MEDIUM  7.0535e+01  1.872e+00    0  1.000 31.401  0.91 6.772e+00  22.8750 
OBS: 55005.0000 Y MEDIUM  5.4549e+01  1.648e+00    0  1.000 31.483  0.91 7.070e+00  23.1605 
OBS: 55005.0000 Z MEDIUM  8.0873e+01  1.946e+00    0  1.000 31.401  0.91 6.772e+00  22.7629 
OBS: 55005.0000 H MEDIUM  2.0917e+01  8.856e-01    0  1.000 32.024  0.92 8.866e+00  24.2068 
OBS: 55005.0000 J MEDIUM  3.3129e+01  1.244e+00    0  1.000 31.688  0.91 7.642e+00  23.6577 
OBS: 55010.0000 H MEDIUM  1.6894e+01  8.496e-01    0  1.000 32.024  0.92 8.866e+00  24.4763 
OBS: 55010.0000 Y MEDIUM  5.2230e+01  1.630e+00    0  1.000 31.483  0.91 7.070e+00  23.2067 
OBS: 55010.0000 Z MEDIUM  7.8203e+01  1.927e+00    0  1.000 31.401  0.91 6.772e+00  22.7697 
OBS: 55010.0000 J MEDIUM  3.1209e+01  1.227e+00    0  1.000 31.688  0.91 7.642e+00  23.8040 
OBS: 55015.0000 H MEDIUM  1.3784e+01  8.208e-01    0  1.000 32.024  0.92 8.866e+00  24.7076 
OBS: 55015.0000 J MEDIUM  2.4964e+01  1.172e+00    0  1.000 31.688  0.91 7.642e+00  23.9542 
OBS: 55015.0000 Y MEDIUM  4.3989e+01  1.565e+00    0  1.000 31.483  0.91 7.070e+00  23.3452 
OBS: 55015.0000 Z MEDIUM  7.3898e+01  1.896e+00    0  1.000 31.401  0.91 6.772e+00  22.8659 
OBS: 55020.0000 Y MEDIUM  3.7343e+01  1.509e+00    0  1.000 31.483  0.91 7.070e+00  23.5797 
OBS: 55020.0000 J MEDIUM  2.3713e+01  1.161e+00    0  1.000 31.688  0.91 7.642e+00  24.1027 
OBS: 55020.0000 Z MEDIUM  5.7861e+01  1.776e+00    0  1.000 31.401  0.91 6.772e+00  23.0437 
OBS: 55020.0000 H MEDIUM  1.1935e+01  8.031e-01    0  1.000 32.024  0.92 8.866e+00  24.8331 
OBS: 55025.0000 Y MEDIUM  3.0799e+01  1.453e+00    0  1.000 31.483  0.91 7.070e+00  23.8190 
OBS: 55025.0000 H MEDIUM  1.2262e+01  8.063e-01    0  1.000 32.024  0.92 8.866e+00  24.7832 
OBS: 55025.0000 J MEDIUM  2.1874e+01  1.144e+00    0  1.000 31.688  0.91 7.642e+00  24.1661 
OBS: 55025.0000 Z MEDIUM  5.0299e+01  1.716e+00    0  1.000 31.401  0.91 6.772e+00  23.2509 
OBS: 55030.0000 Z MEDIUM  4.3942e+01  1.665e+00    0  1.000 31.401  0.91 6.772e+00  23.4257 
OBS: 55030.0000 H MEDIUM  1.3641e+01  8.194e-01    0  1.000 32.024  0.92 8.866e+00  24.6358 
OBS: 55030.0000 J MEDIUM  2.1959e+01  1.145e+00    0  1.000 31.688  0.91 7.642e+00  24.0937 
OBS: 55030.0000 Y MEDIUM  2.4449e+01  1.396e+00    0  1.000 31.483  0.91 7.070e+00  23.8886 
OBS: 55035.0000 J MEDIUM  2.7033e+01  1.191e+00    0  1.000 31.688  0.91 7.642e+00  23.9884 
OBS: 55035.0000 Y MEDIUM  2.6945e+01  1.419e+00    0  1.000 31.483  0.91 7.070e+00  23.8590 
OBS: 55035.0000 H MEDIUM  1.5489e+01  8.367e-01    0  1.000 32.024  0.92 8.866e+00  24.5095 
OBS: 55035.0000 Z MEDIUM  3.8773e+01  1.621e+00    0  1.000 31.401  0.91 6.772e+00  23.5434 
OBS: 55040.0000 H MEDIUM  1.6817e+01  8.489e-01    0  1.000 32.024  0.92 8.866e+00  24.4082 
OBS: 55040.0000 Y MEDIUM  2.8096e+01  1.429e+00    0  1.000 31.483  0.91 7.070e+00  23.8336 
OBS: 55040.0000 J MEDIUM  2.7632e+01  1.196e+00    0  1.000 31.688  0.91 7.642e+00  23.9427 
OBS: 55040.0000 Z MEDIUM  3.0383e+01  1.549e+00    0  1.000 31.401  0.91 6.772e+00  23.6761 
OBS: 55045.0000 H MEDIUM  2.1275e+01  8.887e-01    0  1.000 32.024  0.92 8.866e+00  24.1647 
OBS: 55045.0000 Z MEDIUM  2.6533e+01  1.514e+00    0  1.000 31.401  0.91 6.772e+00  23.8598 
OBS: 55045.0000 J MEDIUM  2.9973e+01  1.217e+00    0  1.000 31.688  0.91 7.642e+00  23.8358 
OBS: 55045.0000 Y MEDIUM  2.8571e+01  1.433e+00    0  1.000 31.483  0.91 7.070e+00  23.8386 
OBS: 55050.0000 Y MEDIUM  2.5309e+01  1.404e+00    0  1.000 31.483  0.91 7.070e+00  23.9138 
OBS: 55050.0000 Z MEDIUM  2.6082e+01  1.510e+00    0  1.000 31.401  0.91 6.772e+00  24.0509 
OBS: 55050.0000 J MEDIUM  2.8893e+01  1.207e+00    0  1.000 31.688  0.91 7.642e+00  23.8655 
