SURVEY:   CSP 
SNID:     2009cz 
FILTERS:  ugriBnmoJjYyH 
RA:       138.750083  # deg 
DEC:       29.735306  # deg 
REDSHIFT_HELIO: 0.0211 +- 0.0001  # Helio 
REDSHIFT_FINAL: 0.0220 +- 0.0001  # CMB 
MWEBV:     0.022 +-  0.004        # SFD98 * 0.86 
PEAKMJD: 54943.3
HOSTGAL_LOGMASS:  11.06 +-  0.13  #  

# ----------------------------------- 
NOBS: 83 
NVAR: 7 
VARLIST: MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54948.530 H NULL 19339.80213 1.27953e+03 16.791 0.070
OBS: 54949.520 H NULL 18387.69886 1.14469e+03 16.846 0.066
OBS: 54949.530 H NULL 17755.16337 1.03640e+03 16.884 0.062
OBS: 54961.510 H NULL 16939.78476 1.79537e+03 16.892 0.106
OBS: 54962.510 H NULL 17806.97696 1.41209e+03 16.834 0.080
OBS: 54962.520 H NULL 19741.24603 1.12345e+03 16.722 0.058
OBS: 54965.510 H NULL 24484.03078 2.21739e+03 16.477 0.090
OBS: 54955.470 H NULL 14906.59051 7.51614e+02 17.058 0.053
OBS: 54955.490 H NULL 14932.78206 2.93969e+02 17.056 0.021
END: 
