SURVEY: WFIRST   
SNID:   35   
IAUC:    NULL 
PHOTOMETRY_VERSION: ROMAN_NIR 
SNTYPE:  1 
FILTERS: ZYJH 
RA:      189.354401  deg 
DEC:     62.221527  deg 
PIXSIZE:  0.1100  arcsec 
CCDNUM: 0  
FAKE:    2   (=> simulated LC with snlc_sim.exe) 
MWEBV:       0.0000    MW E(B-V) 
MWEBV_ERR:   0.0000    error on MWEBV 
REDSHIFT_HELIO:   0.548587 +- 0.000000  (Helio, z_best) 
REDSHIFT_FINAL:   0.549206 +- 0.000000  (CMB) 

VPEC:         0.00  # v_pec correction
VPEC_ERR:     0.00  # error on above  
PEAKMJD:   55005.031 

HOSTGAL_NMATCH:    0  
HOSTGAL_NMATCH2:   0  
 

SIM_MODEL_NAME:  snoopy.B18 
SIM_MODEL_INDEX:  4 
SIM_TYPE_INDEX:   1 
SIM_TYPE_NAME:    UNKNOWN 
SIM_TEMPLATE_INDEX: 0   
SIM_COMMENT:  SN Type = UNKNOWN , MODEL = snoopy.B18  
SIM_LIBID:  43  
SIM_NGEN_LIBID:  1  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.54859  
SIM_REDSHIFT_CMB:    0.54921  
SIM_REDSHIFT_HOST:   0.54859  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:  0.0 (km/sec) 
SIM_HOSTLIB_GALID:  0 
SIM_HOSTLIB_NPAR: 0 
SIM_DLMU:      42.5056  mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:   0.0000  mag 
SIM_RA:        189.354401 deg  
SIM_DEC:       62.221527 deg  
SIM_MWRV:    3.100   (MilkyWay RV) 
SIM_MWEBV:   0.0000   (MilkyWay E(B-V)) 
SIMOPT_MWCOLORLAW:  94   (MW color-law option) 
SIMOPT_MWEBV:       0   (modify MWEBV_SFD)
SIM_AVTAU:        0.000   (dN/dAV = exp(-AV/AVTAU)) 
SIM_AV:         0.324  mag  (host extinction at 5510 A)
SIM_RV:         3.100   (CCM89 extinction parameter) 
SIM_MAGSMEAR_COH:      0.000  
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  (ZYJH F_gal/F_SNpeak for PSF=1'')
SIM_PEAKMAG:   23.37  23.74  23.88  24.33  (ZYJH obs)
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  (ZYJH obs)
SIM_PEAKMJD:   55005.000000  days 
SIM_STRETCH:    1.148  
SIM_SEARCHEFF_MASK:  3  (bits 1,2=> found by software,spec) 
SIM_SEARCHEFF_SPEC:  1.0000  (spectro-search efficiency (ignores pipelines)) 
SIM_RISETIME_SHIFT:   0.0 days 
SIM_FALLTIME_SHIFT:   0.0 days 



# ============================================ 
# TERSE LIGHT CURVE OUTPUT: 
#
NOBS: 312 
NVAR: 14 
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR PHOTFLAG   ZPT  PSF  SIM_MAGOBS  FLT_REST  SIM_MAGREST AVWARP KCOR
OBS:  54996.000  Y MEDIUM   2.7505e+01   1.424e+00    0  31.483   0.91  23.8601  r -18.2870 0.162 -0.359
OBS:  54996.000  J MEDIUM   2.7119e+01   1.192e+00    0  31.688   0.91  23.9117  i -18.2434 -0.714 -0.350
OBS:  54996.000  Z MEDIUM   3.4418e+01   1.584e+00    0  31.401   0.91  23.6298  r -18.4039 0.418 -0.472
OBS:  54997.000  J MEDIUM   2.9238e+01   1.210e+00    0  31.688   0.91  23.8769  i -18.2757 -0.779 -0.353
OBS:  54997.000  Y MEDIUM   2.9790e+01   1.444e+00    0  31.483   0.91  23.8202  r -18.3335 0.204 -0.352
OBS:  54997.000  Z MEDIUM   3.5239e+01   1.591e+00    0  31.401   0.91  23.5837  r -18.4504 0.443 -0.472
OBS:  54997.000  H MEDIUM   2.1409e+01   8.899e-01    0  32.024   0.92  24.1962  Y -18.3582 -0.673 0.049
OBS:  54998.000  Y MEDIUM   2.8900e+01   1.436e+00    0  31.483   0.91  23.7928  r -18.3712 0.265 -0.342
OBS:  54998.000  Z MEDIUM   3.7297e+01   1.609e+00    0  31.401   0.91  23.5425  r -18.4882 0.437 -0.475
OBS:  54998.000  J MEDIUM   2.9509e+01   1.213e+00    0  31.688   0.91  23.8526  i -18.2966 -0.853 -0.356
OBS:  54998.000  H MEDIUM   2.1071e+01   8.869e-01    0  32.024   0.92  24.1809  Y -18.3609 -0.842 0.036
OBS:  54999.000  J MEDIUM   2.7858e+01   1.198e+00    0  31.688   0.91  23.8349  i -18.3111 -0.928 -0.360
OBS:  54999.000  Y MEDIUM   3.1236e+01   1.457e+00    0  31.483   0.91  23.7721  r -18.4045 0.331 -0.329
OBS:  54999.000  Z MEDIUM   4.3038e+01   1.657e+00    0  31.401   0.91  23.5042  r -18.5214 0.415 -0.480
OBS:  54999.000  H MEDIUM   2.1314e+01   8.891e-01    0  32.024   0.92  24.1732  Y -18.3571 -1.003 0.025
OBS:  55000.000  J MEDIUM   2.8183e+01   1.201e+00    0  31.688   0.91  23.8289  i -18.3158 -1.004 -0.361
OBS:  55000.000  H MEDIUM   2.1275e+01   8.887e-01    0  32.024   0.92  24.1785  Y -18.3429 -1.165 0.016
OBS:  55000.000  Y MEDIUM   3.0289e+01   1.449e+00    0  31.483   0.91  23.7607  r -18.4314 0.391 -0.314
OBS:  55000.000  Z MEDIUM   4.0726e+01   1.638e+00    0  31.401   0.91  23.4703  r -18.5484 0.371 -0.487
OBS:  55001.000  J MEDIUM   2.8892e+01   1.207e+00    0  31.688   0.91  23.8304  i -18.3134 -1.075 -0.362
OBS:  55001.000  H MEDIUM   2.0274e+01   8.799e-01    0  32.024   0.92  24.1943  Y -18.3204 -1.305 0.009
OBS:  55001.000  Y MEDIUM   2.8419e+01   1.432e+00    0  31.483   0.91  23.7528  r -18.4542 0.430 -0.299
OBS:  55001.000  Z MEDIUM   4.0305e+01   1.634e+00    0  31.401   0.91  23.4416  r -18.5711 0.338 -0.493
