# sn tmax z_cmb mu muerr mu_mu+delM muerr_mu+delM mu_mu+eta muerr_mu+eta
2004eo 53279.11 0.0147 33.9375 0.1069 34.1416 0.0902 34.0905 0.0959
2004ey 53304.71 0.0147 34.0652 0.1060 34.0992 0.0851 34.0949 0.0937
2004gu 53362.85 0.0470 36.5207 0.1231 36.5558 0.0891 36.5132 0.1028
2005M 53406.07 0.0230 34.9960 0.1158 35.1209 0.0860 35.1082 0.0962
2005ag 53414.09 0.0803 37.6006 0.1531 37.7400 0.0895 37.7114 0.1215
2005al 53430.55 0.0133 33.8758 0.1246 34.2161 0.0880 34.1637 0.1024
2005el 53644.86 0.0149 33.9112 0.1297 34.1786 0.0888 34.1881 0.0965
2005eq 53655.07 0.0284 35.4266 0.1142 35.4659 0.0886 35.4110 0.0971
2005hc 53667.46 0.0450 36.3845 0.1241 36.5048 0.0876 36.4879 0.1004
2005hj 53674.27 0.0564 36.7217 0.1646 36.8492 0.0917 36.8376 0.1059
2005iq 53688.34 0.0329 35.7833 0.1487 35.9774 0.0891 36.0205 0.0956
2005kc 53698.31 0.0139 33.8927 0.1121 34.0444 0.0867 34.0131 0.0966
2005ki 53706.06 0.0204 34.5899 0.1086 34.7764 0.0859 34.7591 0.1001
2005na 53740.84 0.0268 35.1849 0.1415 35.2166 0.0872 35.2059 0.1066
2006ax 53827.73 0.0179 34.2693 0.1024 34.3572 0.0891 34.3432 0.0974
2006et 53994.59 0.0216 34.7577 0.1118 34.7665 0.0904 34.7683 0.0947
2006hx 54022.07 0.0444 36.1640 0.1479 36.5060 0.0911 36.3801 0.1061
2006is 54009.59 0.0311 35.5564 0.1493 35.5778 0.0888 35.6644 0.0982
2007A 54113.20 0.0165 34.3302 0.1216 34.3965 0.0894 34.3732 0.1033
2007S 54144.93 0.0151 33.7631 0.1371 34.0194 0.0917 33.9550 0.0938
2007ai 54173.73 0.0320 35.4999 0.1407 35.6532 0.0901 35.6179 0.1020
2007as 54180.88 0.0179 34.3775 0.1141 34.4950 0.0859 34.5214 0.0967
2007bc 54200.86 0.0219 34.7962 0.1103 34.8862 0.0864 34.9162 0.0965
2007bd 54207.41 0.0318 35.5943 0.1143 35.7559 0.0896 35.7132 0.0987
2007ca 54227.84 0.0151 34.0183 0.1563 34.3215 0.0889 34.2339 0.0946
2007jg 54367.04 0.0366 35.8617 0.2487 36.2770 0.0871 36.1846 0.1018
2008ar 54535.04 0.0272 35.2713 0.1197 35.4146 0.0901 35.3795 0.1000
2008bc 54550.09 0.0157 34.1660 0.1167 34.0932 0.0873 34.1430 0.0936
2008bf 54555.13 0.0246 34.9995 0.1105 35.0701 0.0877 35.0887 0.0985
2008bq 54562.70 0.0345 35.6569 0.1327 35.7755 0.0886 35.7403 0.1050
2008gl 54768.21 0.0330 35.7459 0.1514 36.0528 0.0862 35.9904 0.0993
2008gp 54779.68 0.0328 35.6639 0.1114 35.7331 0.0861 35.7365 0.0954
2008hj 54801.76 0.0368 36.0129 0.1225 36.1527 0.0869 36.0861 0.0964
2008hv 54817.59 0.0136 33.7730 0.1251 34.0143 0.0854 34.0344 0.0939
2008ia 54811.93 0.0225 34.4955 0.1461 35.1050 0.0857 34.9182 0.0979
2009D 54841.26 0.0247 34.9460 0.1096 34.9759 0.0899 34.9760 0.0965
2009P 54869.13 0.0263 35.1203 0.2326 35.6647 0.0870 35.4915 0.1033
2009Y 54876.49 0.0102 33.0178 0.1124 33.0844 0.0916 33.0454 0.0950
2009aa 54878.95 0.0285 35.2948 0.1049 35.4213 0.0880 35.3774 0.0937
2009ab 54884.11 0.0109 33.5113 0.1069 33.6429 0.0873 33.6030 0.0982
2009ad 54886.89 0.0283 35.3844 0.1115 35.3445 0.0849 35.3656 0.0959
2009al 54894.11 0.0233 34.8841 0.1118 34.9230 0.0860 34.9603 0.0981
2009cz 54943.26 0.0220 34.7816 0.1094 34.8238 0.0859 34.8254 0.1002
2009ds 54961.87 0.0205 34.7313 0.1264 34.7360 0.0923 34.7278 0.1025
