# sn tmax z_cmb mu muerr mu_mu+delM muerr_mu+delM mu_mu+eta muerr_mu+eta
DES15C1nhv 57375.47 0.4210 41.1319 0.1768 41.1688 0.0896 41.2475 0.1350
DES15C3odz 57396.14 0.5080 42.6773 0.1934 42.7203 0.1024 42.7358 0.1749
DES15E2mhy 57348.11 0.4391 41.4887 0.1547 41.6442 0.1000 41.5593 0.1379
DES15E2nlz 57376.22 0.4100 41.7020 0.1702 41.8218 0.0964 41.7748 0.1562
DES15E2uc 57268.59 0.5660 42.8336 0.1664 42.9456 0.0951 42.9485 0.1369
DES15X2kvt 57305.37 0.4040 41.8379 0.1959 41.8727 0.1234 41.8833 0.1768
DES15X2mey 57343.05 0.6080 42.7144 0.1686 42.9553 0.1025 42.8005 0.1487
DES15X2nkz 57374.06 0.4688 41.9816 0.1608 42.1445 0.1024 42.0579 0.1389
DES16C1cim 57685.81 0.5310 42.4772 0.1762 42.5372 0.0945 42.5591 0.1639
DES16C2cva 57698.35 0.4029 41.7455 0.1938 41.8084 0.0992 41.8347 0.1618
DES16C3cmy 57696.49 0.5564 42.3621 0.1604 42.4888 0.0971 42.4577 0.1354
DES16E1dcx 57707.79 0.4530 41.7312 0.1573 41.8902 0.0966 41.9386 0.1183
DES16E2clk 57694.29 0.3670 41.4690 0.1556 41.5613 0.0942 41.5400 0.1350
DES16E2cqq 57695.58 0.4260 42.0016 0.1588 42.0518 0.0939 42.0893 0.1383
DES16E2cxw 57701.57 0.2930 40.7360 0.1786 40.8160 0.1334 40.8011 0.1683
DES16E2rd 57641.69 0.4940 41.4901 0.2206 41.5869 0.1501 41.5632 0.2002
DES16S1agd 57645.84 0.5040 42.0147 0.1681 42.0813 0.0990 42.1002 0.1485
DES16S1bno 57662.27 0.4700 42.2409 0.1735 42.3220 0.0976 42.3473 0.1539
DES16S2afz 57649.48 0.4830 41.7383 0.1591 41.8400 0.0999 41.8367 0.1321
DES16X1cpf 57695.92 0.4360 40.9135 0.2105 40.9713 0.1522 40.9890 0.1938
DES16X3cry 57701.29 0.6120 42.6392 0.1519 42.7874 0.0961 42.7335 0.1145
DES16X3zd 57644.91 0.4950 41.9760 0.1980 42.0619 0.1109 42.0558 0.1565
PScA470041 56302.42 0.3316 40.6467 0.2334 40.7345 0.1374 40.7630 0.1762
PScA470110 56313.53 0.3456 41.1456 0.1323 41.2556 0.0887 41.2179 0.1175
PScA470240 56304.91 0.4306 41.8296 0.1484 41.9313 0.0946 41.8718 0.1163
PScB480464 56342.10 0.2212 40.3299 0.1371 40.3722 0.0931 40.3886 0.1293
PScB480794 56348.43 0.3342 41.0877 0.1399 41.1802 0.0956 41.1316 0.1151
PScC490037 56370.46 0.4231 41.6291 0.1448 41.7077 0.1026 41.6939 0.1194
PScC490521 56370.38 0.3412 41.0647 0.1661 41.1781 0.0943 41.2286 0.1298
PScD500100 56391.83 0.3106 41.1334 0.1337 41.2421 0.0920 41.2312 0.1228
PScD500301 56405.68 0.3254 40.8079 0.1879 40.9279 0.1075 40.9462 0.1418
PScF510457 56431.56 0.5027 42.7112 0.1649 42.8084 0.1044 42.8016 0.1410
PScF520062 56456.52 0.3080 41.1989 0.1365 41.3792 0.0989 41.2677 0.1312
PScF520107 56456.02 0.5197 41.6832 0.1487 41.8118 0.0920 41.7740 0.1354
PScF520188 56482.66 0.2804 40.3587 0.1310 40.5090 0.0927 40.4766 0.1136
PScG530251 56492.70 0.4118 41.8283 0.1485 41.9453 0.0988 41.9280 0.1211
PScH540087 56520.51 0.2750 40.6812 0.1363 40.7880 0.0958 40.7924 0.1159
PScH540118 56519.36 0.4766 41.9689 0.1603 42.0783 0.1070 42.0904 0.1334
PScJ440005 56219.29 0.3056 40.8381 0.1515 40.9641 0.0976 40.9563 0.1258
PScJ440236 56208.32 0.4292 41.8907 0.1362 42.0205 0.0918 42.0107 0.1249
PScJ550202 56571.65 0.4208 41.7532 0.1457 41.8685 0.0911 41.8318 0.1236
PScJ560027 56553.06 0.4392 42.1471 0.1425 42.2233 0.0923 42.0805 0.1212
PScJ560054 56575.36 0.4804 41.9325 0.1665 42.0743 0.1014 41.9930 0.1263
PScK450082 56246.93 0.2488 40.8373 0.1728 40.8815 0.1354 40.8881 0.1677
PScK450339 56251.36 0.4096 41.7128 0.1442 41.8229 0.0885 41.8018 0.1306
