# sn tmax z_cmb mu muerr mu_mu+delM muerr_mu+delM mu_mu+eta muerr_mu+eta
DES15C1nhv 57375.47 0.4210 41.1319 0.1768 41.1688 0.0912 41.2518 0.1369
DES15C3odz 57396.14 0.5080 42.6773 0.1934 42.7357 0.1021 42.7408 0.1816
DES15E2mhy 57348.11 0.4391 41.4887 0.1547 41.6459 0.0962 41.5558 0.1346
DES15E2nlz 57376.22 0.4100 41.7020 0.1702 41.8302 0.0979 41.7710 0.1503
DES15E2uc 57268.59 0.5660 42.8336 0.1664 42.9501 0.0945 42.9416 0.1456
DES15X2kvt 57305.37 0.4040 41.8379 0.1959 41.8786 0.1091 41.8920 0.1710
DES15X2mey 57343.05 0.6080 42.7144 0.1686 42.9595 0.0978 42.8060 0.1467
DES15X2nkz 57374.06 0.4688 41.9816 0.1608 42.1538 0.0972 42.0580 0.1379
DES16C1cim 57685.81 0.5310 42.4772 0.1762 42.5448 0.0958 42.5701 0.1658
DES16C2cva 57698.35 0.4029 41.7455 0.1938 41.8117 0.1014 41.8267 0.1591
DES16C3cmy 57696.49 0.5564 42.3621 0.1604 42.4852 0.0962 42.4495 0.1312
DES16E1dcx 57707.79 0.4530 41.7312 0.1573 41.8871 0.0959 41.9230 0.1148
DES16E2clk 57694.29 0.3670 41.4690 0.1556 41.5708 0.0927 41.5435 0.1373
DES16E2cqq 57695.58 0.4260 42.0016 0.1588 42.0627 0.0972 42.0814 0.1438
DES16E2cxw 57701.57 0.2930 40.7360 0.1786 40.8394 0.1403 40.8091 0.1655
DES16E2rd 57641.69 0.4940 41.4901 0.2206 41.5824 0.1469 41.5638 0.1979
DES16S1agd 57645.84 0.5040 42.0147 0.1681 42.0880 0.0956 42.0897 0.1499
DES16S1bno 57662.27 0.4700 42.2409 0.1735 42.3172 0.0949 42.3404 0.1538
DES16S2afz 57649.48 0.4830 41.7383 0.1591 41.8359 0.0987 41.8363 0.1333
DES16X1cpf 57695.92 0.4360 40.9135 0.2105 40.9931 0.1498 40.9922 0.1969
DES16X3cry 57701.29 0.6120 42.6392 0.1519 42.7742 0.0918 42.7185 0.1125
DES16X3zd 57644.91 0.4950 41.9760 0.1980 42.0599 0.1082 42.0571 0.1594
PScA470041 56302.42 0.3316 40.6467 0.2334 40.7319 0.1422 40.7672 0.1648
PScA470110 56313.53 0.3456 41.1456 0.1323 41.2492 0.0898 41.2065 0.1208
PScA470240 56304.91 0.4306 41.8296 0.1484 41.9230 0.0933 41.8390 0.1091
PScB480464 56342.10 0.2212 40.3299 0.1371 40.3769 0.0927 40.3943 0.1261
PScB480794 56348.43 0.3342 41.0877 0.1399 41.1691 0.0893 41.1251 0.1162
PScC490037 56370.46 0.4231 41.6291 0.1448 41.6972 0.1041 41.6844 0.1246
PScC490521 56370.38 0.3412 41.0647 0.1661 41.1772 0.0937 41.2198 0.1298
PScD500100 56391.83 0.3106 41.1334 0.1337 41.2423 0.0930 41.2303 0.1201
PScD500301 56405.68 0.3254 40.8079 0.1879 40.9288 0.1113 40.9415 0.1453
PScF510457 56431.56 0.5027 42.7112 0.1649 42.8048 0.1016 42.7990 0.1411
PScF520062 56456.52 0.3080 41.1989 0.1365 41.3789 0.1002 41.2544 0.1261
PScF520107 56456.02 0.5197 41.6832 0.1487 41.8241 0.0902 41.7632 0.1333
PScF520188 56482.66 0.2804 40.3587 0.1310 40.4926 0.0901 40.4649 0.1088
PScG530251 56492.70 0.4118 41.8283 0.1485 41.9372 0.0960 41.9120 0.1210
PScH540087 56520.51 0.2750 40.6812 0.1363 40.7708 0.0978 40.7697 0.1167
PScH540118 56519.36 0.4766 41.9689 0.1603 42.0833 0.0947 42.0785 0.1377
PScJ440005 56219.29 0.3056 40.8381 0.1515 40.9632 0.0926 40.9475 0.1325
PScJ440236 56208.32 0.4292 41.8907 0.1362 42.0270 0.0901 41.9946 0.1176
PScJ550202 56571.65 0.4208 41.7532 0.1457 41.8695 0.0945 41.8203 0.1210
PScJ560027 56553.06 0.4392 42.1471 0.1425 42.1950 0.0917 42.0433 0.1221
PScJ560054 56575.36 0.4804 41.9325 0.1665 42.0779 0.0930 41.9816 0.1198
PScK450082 56246.93 0.2488 40.8373 0.1728 40.8898 0.1386 40.8801 0.1685
PScK450339 56251.36 0.4096 41.7128 0.1442 41.8251 0.0908 41.7996 0.1307
