SURVEY:   WFIRST
SNID:     629
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55003.559     # estimate for LC fit codes

REDSHIFT_HELIO:   0.566906 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.567532 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.56691  
SIM_REDSHIFT_CMB:    0.56753  
SIM_REDSHIFT_HOST:   0.56691  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5918   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.188     # host extinction at 5510 A
SIM_RV:            3.098     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.124
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   23.22  23.46  23.90  24.37  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 312
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 54990.0000 Y MEDIUM  2.5728e+01  1.408e+00    0  1.000 31.483  0.91 7.070e+00  24.0527 
OBS: 54990.0000 Z MEDIUM  2.7644e+01  1.524e+00    0  1.000 31.401  0.91 6.772e+00  23.9678 
OBS: 54990.0000 H MEDIUM  1.5691e+01  8.386e-01    0  1.000 32.024  0.92 8.866e+00  24.5927 
OBS: 54990.0000 J MEDIUM  1.9315e+01  1.120e+00    0  1.000 31.688  0.91 7.642e+00  24.3075 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 54991.0000 J MEDIUM  2.2169e+01  1.147e+00    0  1.000 31.688  0.91 7.642e+00  24.2162 
OBS: 54991.0000 H MEDIUM  1.5994e+01  8.414e-01    0  1.000 32.024  0.92 8.866e+00  24.5111 
OBS: 54991.0000 Z MEDIUM  2.8238e+01  1.529e+00    0  1.000 31.401  0.91 6.772e+00  23.8433 
OBS: 54991.0000 Y MEDIUM  2.7650e+01  1.425e+00    0  1.000 31.483  0.91 7.070e+00  23.9372 
OBS: 54992.0000 Y MEDIUM  2.9729e+01  1.444e+00    0  1.000 31.483  0.91 7.070e+00  23.8454 
OBS: 54992.0000 J MEDIUM  2.0527e+01  1.132e+00    0  1.000 31.688  0.91 7.642e+00  24.1390 
OBS: 54992.0000 H MEDIUM  1.7273e+01  8.531e-01    0  1.000 32.024  0.92 8.866e+00  24.4419 
OBS: 54992.0000 Z MEDIUM  3.3095e+01  1.573e+00    0  1.000 31.401  0.91 6.772e+00  23.7466 
OBS: 54993.0000 Z MEDIUM  3.6981e+01  1.606e+00    0  1.000 31.401  0.91 6.772e+00  23.6609 
OBS: 54993.0000 H MEDIUM  1.7810e+01  8.580e-01    0  1.000 32.024  0.92 8.866e+00  24.3798 
OBS: 54993.0000 Y MEDIUM  3.3643e+01  1.478e+00    0  1.000 31.483  0.91 7.070e+00  23.7645 
OBS: 54993.0000 J MEDIUM  2.2583e+01  1.151e+00    0  1.000 31.688  0.91 7.642e+00  24.0700 
OBS: 54994.0000 Y MEDIUM  3.3359e+01  1.475e+00    0  1.000 31.483  0.91 7.070e+00  23.6930 
OBS: 54994.0000 J MEDIUM  2.5545e+01  1.178e+00    0  1.000 31.688  0.91 7.642e+00  24.0078 
OBS: 54994.0000 Z MEDIUM  3.4306e+01  1.583e+00    0  1.000 31.401  0.91 6.772e+00  23.5851 
OBS: 54994.0000 H MEDIUM  1.8222e+01  8.617e-01    0  1.000 32.024  0.92 8.866e+00  24.3239 
OBS: 54995.0000 Y MEDIUM  3.4588e+01  1.486e+00    0  1.000 31.483  0.91 7.070e+00  23.6378 
OBS: 54995.0000 H MEDIUM  1.8155e+01  8.611e-01    0  1.000 32.024  0.92 8.866e+00  24.2852 
OBS: 54995.0000 J MEDIUM  2.6162e+01  1.183e+00    0  1.000 31.688  0.91 7.642e+00  23.9613 
OBS: 54995.0000 Z MEDIUM  4.0154e+01  1.633e+00    0  1.000 31.401  0.91 6.772e+00  23.5257 
OBS: 54996.0000 H MEDIUM  2.0403e+01  8.811e-01    0  1.000 32.024  0.92 8.866e+00  24.2522 
OBS: 54996.0000 Y MEDIUM  3.7864e+01  1.514e+00    0  1.000 31.483  0.91 7.070e+00  23.5887 
OBS: 54996.0000 J MEDIUM  2.8371e+01  1.203e+00    0  1.000 31.688  0.91 7.642e+00  23.9203 
OBS: 54996.0000 Z MEDIUM  4.0700e+01  1.638e+00    0  1.000 31.401  0.91 6.772e+00  23.4721 
OBS: 54997.0000 J MEDIUM  2.7564e+01  1.196e+00    0  1.000 31.688  0.91 7.642e+00  23.8868 
OBS: 54997.0000 Y MEDIUM  3.6383e+01  1.501e+00    0  1.000 31.483  0.91 7.070e+00  23.5482 
OBS: 54997.0000 Z MEDIUM  4.4169e+01  1.667e+00    0  1.000 31.401  0.91 6.772e+00  23.4260 
OBS: 54997.0000 H MEDIUM  2.0056e+01  8.780e-01    0  1.000 32.024  0.92 8.866e+00  24.2271 
OBS: 54998.0000 Y MEDIUM  3.9029e+01  1.524e+00    0  1.000 31.483  0.91 7.070e+00  23.5210 
OBS: 54998.0000 Z MEDIUM  4.3693e+01  1.663e+00    0  1.000 31.401  0.91 6.772e+00  23.3855 
OBS: 54998.0000 J MEDIUM  2.6051e+01  1.182e+00    0  1.000 31.688  0.91 7.642e+00  23.8651 
OBS: 54998.0000 H MEDIUM  2.0268e+01  8.799e-01    0  1.000 32.024  0.92 8.866e+00  24.2156 
OBS: 54999.0000 J MEDIUM  2.8711e+01  1.206e+00    0  1.000 31.688  0.91 7.642e+00  23.8496 
OBS: 54999.0000 Y MEDIUM  4.0732e+01  1.538e+00    0  1.000 31.483  0.91 7.070e+00  23.4997 
OBS: 54999.0000 Z MEDIUM  4.6990e+01  1.690e+00    0  1.000 31.401  0.91 6.772e+00  23.3478 
OBS: 54999.0000 H MEDIUM  1.9963e+01  8.772e-01    0  1.000 32.024  0.92 8.866e+00  24.2116 
OBS: 55000.0000 J MEDIUM  2.9901e+01  1.216e+00    0  1.000 31.688  0.91 7.642e+00  23.8454 
OBS: 55000.0000 H MEDIUM  2.1492e+01  8.906e-01    0  1.000 32.024  0.92 8.866e+00  24.2209 
OBS: 55000.0000 Y MEDIUM  4.0643e+01  1.537e+00    0  1.000 31.483  0.91 7.070e+00  23.4870 
OBS: 55000.0000 Z MEDIUM  4.6906e+01  1.689e+00    0  1.000 31.401  0.91 6.772e+00  23.3146 
OBS: 55001.0000 J MEDIUM  2.8910e+01  1.207e+00    0  1.000 31.688  0.91 7.642e+00  23.8485 
OBS: 55001.0000 H MEDIUM  1.9916e+01  8.768e-01    0  1.000 32.024  0.92 8.866e+00  24.2396 
OBS: 55001.0000 Y MEDIUM  4.0489e+01  1.536e+00    0  1.000 31.483  0.91 7.070e+00  23.4778 
OBS: 55001.0000 Z MEDIUM  4.8937e+01  1.706e+00    0  1.000 31.401  0.91 6.772e+00  23.2865 
OBS: 55002.0000 H MEDIUM  1.9817e+01  8.759e-01    0  1.000 32.024  0.92 8.866e+00  24.2639 
OBS: 55002.0000 J MEDIUM  3.0146e+01  1.218e+00    0  1.000 31.688  0.91 7.642e+00  23.8552 
OBS: 55002.0000 Y MEDIUM  4.0140e+01  1.533e+00    0  1.000 31.483  0.91 7.070e+00  23.4704 
OBS: 55002.0000 Z MEDIUM  4.8356e+01  1.701e+00    0  1.000 31.401  0.91 6.772e+00  23.2620 
OBS: 55003.0000 H MEDIUM  1.9528e+01  8.733e-01    0  1.000 32.024  0.92 8.866e+00  24.2977 
OBS: 55003.0000 J MEDIUM  2.7845e+01  1.198e+00    0  1.000 31.688  0.91 7.642e+00  23.8653 
OBS: 55003.0000 Z MEDIUM  4.9771e+01  1.712e+00    0  1.000 31.401  0.91 6.772e+00  23.2431 
OBS: 55003.0000 Y MEDIUM  4.0458e+01  1.536e+00    0  1.000 31.483  0.91 7.070e+00  23.4660 
OBS: 55004.0000 Y MEDIUM  3.9694e+01  1.529e+00    0  1.000 31.483  0.91 7.070e+00  23.4631 
OBS: 55004.0000 H MEDIUM  1.7680e+01  8.568e-01    0  1.000 32.024  0.92 8.866e+00  24.3349 
OBS: 55004.0000 J MEDIUM  2.7334e+01  1.194e+00    0  1.000 31.688  0.91 7.642e+00  23.8800 
OBS: 55004.0000 Z MEDIUM  5.0145e+01  1.715e+00    0  1.000 31.401  0.91 6.772e+00  23.2286 
OBS: 55005.0000 Y MEDIUM  4.0276e+01  1.534e+00    0  1.000 31.483  0.91 7.070e+00  23.4614 
