SURVEY:   WFIRST
SNID:     255
IAUC:     NULL
SNTYPE:   1
RA:       189.354401  # deg
DEC:      62.221527  # deg
FILTERS:  ZYJH
PIXSIZE:  0.1100  # arcsec 
FAKE:     2  # simulated with snlc_sim.exe 
MWEBV:    0.0000 +- 0.0000  # MW E(B-V) 
PEAKMJD:  55005.004     # estimate for LC fit codes

REDSHIFT_HELIO:   0.557024 +- 0.000000  # Helio 
REDSHIFT_FINAL:   0.557646 +- 0.000000  # CMB (no VPEC corr) 
VPEC:                 0.00 +- 0.00      # v_pec correction

HOSTGAL_NMATCH:      0  
HOSTGAL_NMATCH2:     0  

# SIM-truth values
SIM_MODEL_NAME:      snoopy.B18  
SIM_MODEL_INDEX:     4  # grep MODEL_ sntools.h | grep def
SIM_TYPE_INDEX:      1  # true GENTYPE 
SIM_TYPE_NAME:       UNKNOWN 
SIM_TEMPLATE_INDEX:  0   # template index for SIMSED,NONIa
SIM_LIBID:           43    # LIBID index in SIMLIB file
SIM_NGEN_LIBID:      1  
SIMLIB_MSKOPT:       0  
SIM_NOBS_UNDEFINED:  0  
SIM_REDSHIFT_HELIO:  0.55702  
SIM_REDSHIFT_CMB:    0.55765  
SIM_REDSHIFT_HOST:   0.55702  
SIM_REDSHIFT_FLAG:   1  # SNSPEC
SIM_VPEC:            -0.0   # km/sec) 
SIM_HOSTLIB_GALID:   -9 
SIM_HOSTLIB_NPAR:    0 
SIM_DLMU:            42.5456   # mag   [ -5*log10(10pc/dL) ]
SIM_LENSDMU:         0.0000   # mag 
SIM_RA:              189.354401     # deg  
SIM_DEC:             62.221527      # deg  
SIM_MWRV:            3.100    # MilkyWay RV 
SIM_MWEBV:           0.0000   # MilkyWay E(B-V) 
SIMOPT_MWCOLORLAW:   94   # MW color-law option 
SIMOPT_MWEBV:        0   # MWEBV option 
SIM_AVTAU:         0.000     # dN/dAV = exp(-AV/AVTAU) 
SIM_AV:            0.180     # host extinction at 5510 A
SIM_RV:            3.100     # CCM89 extinction param 
SIM_MAGSMEAR_COH:    0.000     # coh model scatter 
SIM_PEAKMJD:         55005.000    #  true PEAKMJD, days 
SIM_STRETCH:         1.071
SIM_SEARCHEFF_MASK:  3  # bits 1,2=> found by software,spec 
SIM_SEARCHEFF_SPEC:  1.0000  # spectro-search efficiency 
SIM_RISETIME_SHIFT:  0.0   # days 
SIM_FALLTIME_SHIFT:  0.0   # days 

# ZYJH filter-dependent quantities vs. 
SIM_GALFRAC:  -9.000 -9.000 -9.000 -9.000  # F_gal/F_SNpeak for PSF=1''
SIM_PEAKMAG:   22.99  23.24  23.83  24.36  # 
SIM_EXPOSURE:     1.0    1.0    1.0    1.0  # 


# ============================================ 
# TEXT LIGHT CURVE OUTPUT: 
#
NOBS: 312
NVAR: 11 
VARLIST: MJD BAND FIELD FLUXCAL FLUXCALERR PHOTFLAG GAIN ZPT PSF SKY_SIG SIM_MAGOBS 
OBS: 54990.0000 Y MEDIUM  2.9943e+01  1.446e+00    0  1.000 31.483  0.91 7.070e+00  23.8437 
OBS: 54990.0000 Z MEDIUM  3.0795e+01  1.552e+00    0  1.000 31.401  0.91 6.772e+00  23.7739 
OBS: 54990.0000 H MEDIUM  1.3513e+01  8.182e-01    0  1.000 32.024  0.92 8.866e+00  24.5286 
OBS: 54990.0000 J MEDIUM  1.9744e+01  1.124e+00    0  1.000 31.688  0.91 7.642e+00  24.2458 
TRIGGER:  trigger logic satisfied at MJD_TRIGGER=54990.0000
OBS: 54991.0000 J MEDIUM  2.1197e+01  1.138e+00    0  1.000 31.688  0.91 7.642e+00  24.1481 
OBS: 54991.0000 H MEDIUM  1.5582e+01  8.376e-01    0  1.000 32.024  0.92 8.866e+00  24.4443 
OBS: 54991.0000 Z MEDIUM  3.7175e+01  1.608e+00    0  1.000 31.401  0.91 6.772e+00  23.6417 
OBS: 54991.0000 Y MEDIUM  3.4817e+01  1.488e+00    0  1.000 31.483  0.91 7.070e+00  23.7222 
OBS: 54992.0000 Y MEDIUM  3.5580e+01  1.494e+00    0  1.000 31.483  0.91 7.070e+00  23.6273 
OBS: 54992.0000 J MEDIUM  2.3243e+01  1.157e+00    0  1.000 31.688  0.91 7.642e+00  24.0672 
OBS: 54992.0000 H MEDIUM  1.7183e+01  8.523e-01    0  1.000 32.024  0.92 8.866e+00  24.3734 
OBS: 54992.0000 Z MEDIUM  4.0878e+01  1.639e+00    0  1.000 31.401  0.91 6.772e+00  23.5405 
OBS: 54993.0000 Z MEDIUM  4.2506e+01  1.653e+00    0  1.000 31.401  0.91 6.772e+00  23.4498 
OBS: 54993.0000 H MEDIUM  2.0682e+01  8.835e-01    0  1.000 32.024  0.92 8.866e+00  24.3093 
OBS: 54993.0000 Y MEDIUM  3.8919e+01  1.523e+00    0  1.000 31.483  0.91 7.070e+00  23.5424 
OBS: 54993.0000 J MEDIUM  2.5170e+01  1.174e+00    0  1.000 31.688  0.91 7.642e+00  23.9934 
OBS: 54994.0000 Y MEDIUM  3.6574e+01  1.503e+00    0  1.000 31.483  0.91 7.070e+00  23.4692 
OBS: 54994.0000 J MEDIUM  2.8417e+01  1.203e+00    0  1.000 31.688  0.91 7.642e+00  23.9282 
OBS: 54994.0000 Z MEDIUM  4.5051e+01  1.674e+00    0  1.000 31.401  0.91 6.772e+00  23.3715 
OBS: 54994.0000 H MEDIUM  2.0043e+01  8.779e-01    0  1.000 32.024  0.92 8.866e+00  24.2528 
OBS: 54995.0000 Y MEDIUM  4.3808e+01  1.563e+00    0  1.000 31.483  0.91 7.070e+00  23.4122 
OBS: 54995.0000 H MEDIUM  2.1715e+01  8.925e-01    0  1.000 32.024  0.92 8.866e+00  24.2138 
OBS: 54995.0000 J MEDIUM  2.8120e+01  1.201e+00    0  1.000 31.688  0.91 7.642e+00  23.8793 
