SURVEY:   CfAIR2 
SNID:      sn2004S 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    101.444500  # deg 
DEC:       -31.230389  # deg 
REDSHIFT_HELIO: 0.009300 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.009795 +- 0.000100   # CMB 
MWEBV:      0.086 +-  0.014        # SFD98 * 0.86 
VPEC:      282.828 
VPEC_ERR:   250.000 
PEAKMJD:  53042.22             # at brightest obs 
HOSTGAL_LOGMASS:  10.00 +- 3.00  #  

# ----------------------------------- 
NOBS: 33 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 53042.220  L NULL  9.42758e+04 1.92977e+03 15.064  0.022 
OBS: 53045.250  L NULL  9.20450e+04 1.79764e+03 15.090  0.021 
OBS: 53048.260  L NULL  8.10588e+04 1.96453e+03 15.228  0.026 
OBS: 53052.220  L NULL  8.62979e+04 1.68540e+03 15.160  0.021 
OBS: 53052.930  L NULL  8.70162e+04 9.67073e+02 15.151  0.012 
OBS: 53056.180  L NULL  9.06150e+04 1.76971e+03 15.107  0.021 
OBS: 53060.090  L NULL  9.62942e+04 1.88062e+03 15.041  0.021 
OBS: 53070.100  L NULL  9.54993e+04 2.13450e+03 15.050  0.024 
OBS: 53074.070  L NULL  7.87046e+04 1.98176e+03 15.260  0.027 
OBS: 53087.100  L NULL  3.91922e+04 1.69616e+03 16.017  0.046 
OBS: 53090.050  L NULL  3.24788e+04 1.71914e+03 16.221  0.056 
OBS: 53102.050  L NULL  1.94267e+04 1.58200e+03 16.779  0.085 
OBS: 53109.010  L NULL  1.81803e+04 1.33616e+03 16.851  0.077 
OBS: 53116.000  L NULL  1.54170e+04 1.47184e+03 17.030  0.099 
OBS: 53130.010  L NULL  4.33711e+03 1.48661e+03 18.407  0.320 
OBS: 53341.310  L NULL  5.91562e+02 1.06671e+02 20.570  0.180 
OBS: 53415.120  L NULL  5.59758e+02 5.15793e-01 20.630  0.001 
OBS: 53042.220  M NULL  1.05196e+05 2.05448e+03 14.945  0.021 
OBS: 53045.250  M NULL  8.03156e+04 1.79513e+03 15.238  0.024 
OBS: 53048.260  M NULL  5.54115e+04 1.49998e+03 15.641  0.029 
OBS: 53052.220  M NULL  3.44826e+04 1.16251e+03 16.156  0.036 
OBS: 53052.930  M NULL  3.55140e+04 3.28607e+02 16.124  0.010 
OBS: 53056.180  M NULL  3.13906e+04 1.17804e+03 16.258  0.040 
OBS: 53060.090  M NULL  3.22998e+04 1.21216e+03 16.227  0.040 
OBS: 53070.100  M NULL  4.50402e+04 1.51844e+03 15.866  0.036 
OBS: 53074.070  M NULL  4.23838e+04 1.38855e+03 15.932  0.035 
OBS: 53087.100  M NULL  1.56603e+04 1.40053e+03 17.013  0.093 
OBS: 53090.050  M NULL  1.27879e+04 1.22085e+03 17.233  0.099 
OBS: 53102.050  M NULL  5.24807e+03 1.46312e+03 18.200  0.267 
OBS: 53109.010  M NULL  3.67451e+03 9.89930e+02 18.587  0.259 
OBS: 53116.000  M NULL  3.46099e+03 8.20553e+02 18.652  0.231 
OBS: 53342.300  M NULL  2.88403e+02 1.63863e+01 21.350  0.060 
OBS: 53414.210  M NULL  3.10456e+02 3.94892e+01 21.270  0.130 
END: 
