SURVEY:   CfAIR2 
SNID:      sn2009al 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    162.842000  # deg 
DEC:         8.578528  # deg 
REDSHIFT_HELIO: 0.022105 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.023291 +- 0.000100   # CMB 
MWEBV:      0.021 +-  0.004        # SFD98 * 0.86 
VPEC:       6.426 
VPEC_ERR:   250.000 
PEAKMJD:  54893.20             # at brightest obs 
HOSTGAL_LOGMASS:  10.8490 +- 0.477  #  

# ----------------------------------- 
NOBS: 124 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54907.200  m NULL  2.42773e+04 4.66124e+02 16.537 16.537 
OBS: 54909.300  m NULL  2.18978e+04 5.75912e+02 16.649 16.649 
OBS: 54913.300  m NULL  1.80385e+04 1.04623e+03 16.860 16.860 
OBS: 54914.300  m NULL  1.71633e+04 5.42359e+02 16.913 16.913 
OBS: 54915.300  m NULL  1.63682e+04 5.67976e+02 16.965 16.965 
OBS: 54918.300  m NULL  1.35269e+04 4.65327e+02 17.172 17.172 
OBS: 54920.200  m NULL  1.22405e+04 2.80308e+02 17.280 17.280 
OBS: 54922.200  m NULL  1.05439e+04 2.78358e+02 17.442 17.442 
OBS: 54931.100  m NULL  6.08135e+03 2.21361e+02 18.040 18.040 
OBS: 54945.200  m NULL  4.37724e+03 1.13808e+02 18.397 18.397 
OBS: 54946.200  m NULL  4.35913e+03 1.53441e+02 18.401 18.401 
OBS: 54948.200  m NULL  4.01976e+03 1.53153e+02 18.489 18.489 
OBS: 54950.200  m NULL  3.78442e+03 2.54692e+02 18.555 18.555 
OBS: 54890.400  n NULL  2.28665e+04 1.62352e+03 16.602 16.602 
OBS: 54891.300  n NULL  2.53513e+04 9.63096e+03 16.490 16.490 
OBS: 54894.400  n NULL  2.92146e+04 3.99364e+03 16.336 16.336 
OBS: 54896.400  n NULL  2.97167e+04 4.83194e+03 16.317 16.317 
OBS: 54898.200  n NULL  2.85365e+04 4.24622e+03 16.361 16.361 
OBS: 54905.300  n NULL  2.56685e+04 5.97049e+03 16.477 16.477 
OBS: 54906.400  n NULL  2.41324e+04 8.83244e+02 16.544 16.544 
OBS: 54907.200  n NULL  2.32274e+04 1.06149e+03 16.585 16.585 
OBS: 54909.300  n NULL  2.15973e+04 4.94579e+02 16.664 16.664 
OBS: 54913.300  n NULL  1.99067e+04 5.97202e+02 16.753 16.753 
OBS: 54914.300  n NULL  1.93375e+04 5.60787e+02 16.784 16.784 
OBS: 54915.300  n NULL  1.91602e+04 6.16958e+02 16.794 16.794 
