SURVEY:   CfAIR2 
SNID:      2011ao 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    178.463000  # deg 
DEC:        33.362900  # deg 
REDSHIFT_HELIO: 0.010707 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.011633 +- 0.000100   # CMB 
MWEBV:      0.017 +-  0.003        # SFD98 * 0.86 
VPEC:      160.021 
VPEC_ERR:   250.000 
PEAKMJD:  55637.25             # at brightest obs 
HOSTGAL_LOGMASS:  10.00 +- 3.00  #  

# ----------------------------------- 
NOBS: 73 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 55628.250  M NULL  6.18871e+04 5.97075e+03 15.521  0.100 
OBS: 55631.210  M NULL  9.79941e+04 1.36323e+03 15.022  0.015 
OBS: 55637.250  M NULL  1.00092e+05 2.42582e+03 14.999  0.026 
OBS: 55639.290  M NULL  8.79023e+04 6.98328e+03 15.140  0.083 
OBS: 55640.240  M NULL  8.45668e+04 6.63426e+03 15.182  0.082 
OBS: 55641.270  M NULL  7.62781e+04 5.90828e+03 15.294  0.081 
OBS: 55643.250  M NULL  7.55092e+04 1.95513e+04 15.305  0.250 
OBS: 55645.260  M NULL  6.86752e+04 1.77818e+04 15.408  0.250 
OBS: 55647.250  M NULL  7.31813e+04 1.49798e+03 15.339  0.022 
OBS: 55648.220  M NULL  7.50931e+04 4.48618e+03 15.311  0.063 
OBS: 55650.270  M NULL  6.62522e+04 3.63543e+03 15.447  0.058 
OBS: 55654.270  M NULL  7.66302e+04 3.39006e+03 15.289  0.047 
OBS: 55655.230  M NULL  7.87046e+04 3.55756e+03 15.260  0.048 
OBS: 55656.230  M NULL  8.31764e+04 6.03084e+03 15.200  0.076 
OBS: 55663.270  M NULL  8.04637e+04 1.40729e+04 15.236  0.175 
OBS: 55665.240  M NULL  8.46447e+04 6.80869e+03 15.181  0.084 
OBS: 55669.140  M NULL  8.78213e+04 6.02127e+03 15.141  0.072 
OBS: 55673.120  M NULL  1.00925e+05 2.92316e+03 14.990  0.031 
OBS: 55677.180  M NULL  6.87385e+04 6.14740e+03 15.407  0.093 
OBS: 55681.190  M NULL  5.35057e+04 4.51728e+03 15.679  0.088 
OBS: 55685.290  M NULL  5.03037e+04 2.66264e+03 15.746  0.056 
OBS: 55689.210  M NULL  4.48745e+04 3.34244e+03 15.870  0.078 
OBS: 55693.210  M NULL  3.30522e+04 3.02230e+03 16.202  0.095 
OBS: 55695.210  M NULL  3.31436e+04 1.85089e+03 16.199  0.059 
OBS: 55697.180  M NULL  2.92415e+04 5.43216e+03 16.335  0.185 
OBS: 55699.170  M NULL  2.72396e+04 4.41236e+03 16.412  0.163 
OBS: 55705.160  M NULL  1.83316e+04 2.56138e+03 16.842  0.142 
OBS: 55707.200  M NULL  1.46016e+04 3.84857e+03 17.089  0.254 
OBS: 55711.190  M NULL  1.23823e+04 4.71002e+03 17.268  0.350 
OBS: 55628.250  L NULL  4.18794e+04 3.66137e+03 15.945  0.091 
OBS: 55629.310  L NULL  6.91831e+04 5.15304e+03 15.400  0.078 
OBS: 55631.210  L NULL  8.03896e+04 7.91837e+03 15.237  0.102 
OBS: 55637.250  L NULL  1.16520e+05 3.48531e+03 14.834  0.032 
OBS: 55639.290  L NULL  9.92659e+04 6.51325e+03 15.008  0.069 
OBS: 55640.240  L NULL  9.33254e+04 6.12347e+03 15.075  0.069 
OBS: 55641.270  L NULL  9.04482e+04 3.30799e+03 15.109  0.039 
OBS: 55644.260  L NULL  7.51623e+04 5.30141e+03 15.310  0.074 
OBS: 55645.260  L NULL  6.96947e+04 1.21894e+04 15.392  0.175 
OBS: 55647.250  L NULL  5.22396e+04 3.63312e+03 15.705  0.073 
OBS: 55649.240  L NULL  4.11529e+04 2.90263e+03 15.964  0.074 
OBS: 55650.270  L NULL  3.41979e+04 3.54189e+03 16.165  0.107 
OBS: 55652.310  L NULL  2.86550e+04 2.16271e+03 16.357  0.079 
OBS: 55654.270  L NULL  2.44794e+04 6.85350e+03 16.528  0.268 
OBS: 55655.230  L NULL  2.37465e+04 6.14858e+03 16.561  0.250 
OBS: 55656.230  L NULL  2.15377e+04 3.86029e+03 16.667  0.179 
OBS: 55663.270  L NULL  1.78813e+04 3.43929e+03 16.869  0.191 
OBS: 55667.170  L NULL  3.30217e+04 3.48726e+03 16.203  0.109 
OBS: 55669.140  L NULL  4.37724e+04 4.22308e+03 15.897  0.100 
OBS: 55673.120  L NULL  4.59198e+04 1.18898e+04 15.845  0.250 
OBS: 55677.180  L NULL  3.64754e+04 1.75423e+03 16.095  0.051 
OBS: 55681.190  L NULL  2.69401e+04 6.97549e+03 16.424  0.250 
OBS: 55685.290  L NULL  1.72504e+04 4.72817e+03 16.908  0.263 
OBS: 55687.210  L NULL  1.53603e+04 4.22814e+03 17.034  0.264 
OBS: 55693.210  L NULL  9.47982e+03 2.25834e+03 17.558  0.232 
OBS: 55697.180  L NULL  6.98232e+03 1.22119e+03 17.890  0.175 
OBS: 55699.170  L NULL  4.93856e+03 1.27872e+03 18.266  0.250 
OBS: 55705.160  L NULL  4.07380e+03 3.72510e+02 18.475  0.095 
OBS: 55628.250  N NULL  6.60693e+04 4.85576e+03 15.450  0.077 
OBS: 55629.310  N NULL  6.98232e+04 9.60958e+03 15.390  0.140 
OBS: 55639.290  N NULL  9.05316e+04 1.58337e+04 15.108  0.175 
OBS: 55640.240  N NULL  9.95405e+04 1.53806e+04 15.005  0.156 
OBS: 55641.270  N NULL  1.03086e+05 1.09914e+04 14.967  0.110 
OBS: 55644.260  N NULL  1.05003e+05 7.50971e+03 14.947  0.075 
OBS: 55645.260  N NULL  9.96323e+04 5.17708e+03 15.004  0.055 
OBS: 55650.270  N NULL  9.62055e+04 8.41093e+03 15.042  0.091 
OBS: 55651.230  N NULL  1.03276e+05 4.17227e+03 14.965  0.043 
OBS: 55655.230  N NULL  9.17065e+04 4.49905e+03 15.094  0.052 
OBS: 55663.270  N NULL  6.80456e+04 8.37317e+03 15.418  0.126 
OBS: 55677.180  N NULL  5.46009e+04 9.54957e+03 15.657  0.175 
OBS: 55681.190  N NULL  4.14954e+04 5.10611e+03 15.955  0.126 
OBS: 55693.210  N NULL  2.78740e+04 4.87510e+03 16.387  0.175 
OBS: 55699.170  N NULL  2.72396e+04 7.05301e+03 16.412  0.250 
OBS: 55702.190  N NULL  2.47742e+04 4.33295e+03 16.515  0.175 
END: 
