SURVEY:   CfAIR2 
SNID:      2011by 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    178.940000  # deg 
DEC:        55.326100  # deg 
REDSHIFT_HELIO: 0.002842 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.003404 +- 0.000100   # CMB 
MWEBV:      0.012 +-  0.002        # SFD98 * 0.86 
VPEC:      -75.428 
VPEC_ERR:   250.000 
PEAKMJD:  55688.19             # at brightest obs 
HOSTGAL_LOGMASS:  10.00 +- 3.00  #  

# ----------------------------------- 
NOBS: 68 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 55679.180  M NULL  1.86037e+05 9.84718e+03 14.326  0.056 
OBS: 55680.190  M NULL  2.21411e+05 8.73277e+03 14.137  0.042 
OBS: 55685.220  M NULL  3.95185e+05 4.45595e+04 13.508  0.116 
OBS: 55686.220  M NULL  4.06256e+05 5.80452e+04 13.478  0.145 
OBS: 55687.190  M NULL  4.47095e+05 1.29495e+04 13.374  0.031 
OBS: 55688.190  M NULL  4.15719e+05 3.75958e+04 13.453  0.094 
OBS: 55689.190  M NULL  4.11908e+05 5.62584e+04 13.463  0.139 
OBS: 55690.170  M NULL  3.40722e+05 5.95914e+04 13.669  0.175 
OBS: 55693.190  M NULL  3.37909e+05 3.60292e+04 13.678  0.110 
OBS: 55694.190  M NULL  3.25087e+05 3.86602e+04 13.720  0.122 
OBS: 55695.180  M NULL  3.01439e+05 4.68979e+04 13.802  0.157 
OBS: 55696.140  M NULL  3.07044e+05 1.98452e+04 13.782  0.068 
OBS: 55697.150  M NULL  3.01162e+05 1.62331e+04 13.803  0.057 
OBS: 55698.160  M NULL  2.92954e+05 7.58533e+04 13.833  0.250 
OBS: 55699.190  M NULL  2.68164e+05 2.42515e+04 13.929  0.094 
OBS: 55702.170  M NULL  2.70894e+05 3.11008e+04 13.918  0.118 
OBS: 55703.160  M NULL  2.81579e+05 1.79234e+04 13.876  0.067 
OBS: 55705.140  M NULL  3.27491e+05 2.14881e+04 13.712  0.069 
OBS: 55706.250  M NULL  3.21514e+05 8.32482e+04 13.732  0.250 
OBS: 55707.170  M NULL  3.59749e+05 6.09773e+04 13.610  0.170 
OBS: 55708.160  M NULL  3.45144e+05 2.43440e+04 13.655  0.074 
OBS: 55709.160  M NULL  3.65090e+05 9.45311e+04 13.594  0.250 
OBS: 55710.160  M NULL  3.66100e+05 6.40300e+04 13.591  0.175 
OBS: 55711.170  M NULL  3.77051e+05 2.92053e+04 13.559  0.081 
OBS: 55715.190  M NULL  3.53509e+05 1.80266e+04 13.629  0.054 
OBS: 55734.200  M NULL  1.70923e+05 8.88147e+03 14.418  0.055 
OBS: 55735.190  M NULL  1.74421e+05 1.02501e+04 14.396  0.062 
OBS: 55679.180  L NULL  2.06824e+05 2.48092e+04 14.211  0.123 
OBS: 55680.190  L NULL  2.44343e+05 2.93098e+04 14.030  0.123 
OBS: 55685.220  L NULL  4.82614e+05 2.32106e+04 13.291  0.051 
OBS: 55686.220  L NULL  4.94766e+05 6.34469e+04 13.264  0.131 
OBS: 55687.190  L NULL  5.28689e+05 6.28730e+04 13.192  0.122 
OBS: 55688.190  L NULL  5.41003e+05 7.61598e+04 13.167  0.143 
OBS: 55689.190  L NULL  5.12389e+05 9.35094e+04 13.226  0.182 
OBS: 55690.170  L NULL  4.90682e+05 5.23184e+04 13.273  0.110 
OBS: 55693.190  L NULL  3.85478e+05 5.02341e+04 13.535  0.133 
OBS: 55694.190  L NULL  3.30826e+05 4.13940e+04 13.701  0.128 
OBS: 55695.180  L NULL  3.06761e+05 2.37608e+04 13.783  0.081 
OBS: 55696.140  L NULL  2.97030e+05 4.18144e+04 13.818  0.143 
OBS: 55697.150  L NULL  2.64972e+05 3.86967e+04 13.942  0.148 
OBS: 55698.160  L NULL  2.10475e+05 1.92459e+04 14.192  0.095 
OBS: 55699.190  L NULL  1.86552e+05 1.74338e+04 14.323  0.097 
OBS: 55702.170  L NULL  1.20226e+05 1.44216e+04 14.800  0.123 
OBS: 55703.160  L NULL  9.60285e+04 8.01145e+03 15.044  0.087 
OBS: 55705.140  L NULL  8.84708e+04 1.34822e+04 15.133  0.154 
OBS: 55706.250  L NULL  8.17335e+04 1.23688e+04 15.219  0.153 
OBS: 55707.170  L NULL  9.11171e+04 1.28270e+04 15.101  0.143 
OBS: 55708.160  L NULL  9.62055e+04 1.68261e+04 15.042  0.175 
OBS: 55709.160  L NULL  9.48855e+04 1.40576e+04 15.057  0.150 
OBS: 55710.160  L NULL  1.10459e+05 1.52021e+04 14.892  0.140 
OBS: 55711.170  L NULL  1.06463e+05 3.69061e+03 14.932  0.037 
OBS: 55712.160  L NULL  1.19895e+05 8.93025e+03 14.803  0.078 
OBS: 55715.190  L NULL  1.39444e+05 1.09394e+04 14.639  0.082 
OBS: 55734.200  L NULL  6.84857e+04 2.17857e+03 15.411  0.034 
OBS: 55735.190  L NULL  6.70502e+04 1.49863e+03 15.434  0.024 
OBS: 55679.180  N NULL  1.66878e+05 2.91866e+04 14.444  0.175 
OBS: 55687.190  N NULL  3.81944e+05 6.68011e+04 13.545  0.175 
OBS: 55688.190  N NULL  3.30826e+05 8.56593e+04 13.701  0.250 
OBS: 55693.190  N NULL  3.65763e+05 9.47054e+04 13.592  0.250 
OBS: 55695.180  N NULL  3.62076e+05 9.37507e+04 13.603  0.250 
OBS: 55696.140  N NULL  3.19154e+05 8.26370e+04 13.740  0.250 
OBS: 55699.190  N NULL  2.73653e+05 4.78612e+04 13.907  0.175 
OBS: 55703.160  N NULL  2.57040e+05 4.49556e+04 13.975  0.175 
OBS: 55707.170  N NULL  2.48199e+05 4.34094e+04 14.013  0.175 
OBS: 55710.160  N NULL  3.02831e+05 7.84106e+04 13.797  0.250 
OBS: 55712.160  N NULL  2.15774e+05 5.58695e+04 14.165  0.250 
OBS: 55715.190  N NULL  3.20037e+05 5.59737e+04 13.737  0.175 
OBS: 55734.200  N NULL  1.73301e+05 4.48719e+04 14.403  0.250 
END: 
