SURVEY:   CfAIR2 
SNID:      sn2010kg 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:     70.035000  # deg 
DEC:         7.350000  # deg 
REDSHIFT_HELIO: 0.016632 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.016444 +- 0.000100   # CMB 
MWEBV:      0.134 +-  0.022        # SFD98 * 0.86 
VPEC:      169.810 
VPEC_ERR:   250.000 
PEAKMJD:  55539.17             # at brightest obs 
HOSTGAL_LOGMASS:  10.00 +- 3.00  #  

# ----------------------------------- 
NOBS: 52 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 55532.160  L NULL  2.69898e+04 4.31419e+03 16.422  0.161 
OBS: 55533.160  L NULL  3.00608e+04 8.73640e+03 16.305  0.277 
OBS: 55534.260  L NULL  3.30826e+04 4.76163e+03 16.201  0.146 
OBS: 55535.290  L NULL  3.76357e+04 6.58239e+03 16.061  0.175 
OBS: 55536.180  L NULL  3.45462e+04 8.94488e+03 16.154  0.250 
OBS: 55537.290  L NULL  3.76704e+04 2.61987e+03 16.060  0.073 
OBS: 55538.260  L NULL  4.41367e+04 1.74081e+03 15.888  0.042 
OBS: 55539.170  L NULL  4.19952e+04 4.05162e+03 15.942  0.100 
OBS: 55540.170  L NULL  4.53733e+04 4.93045e+03 15.858  0.112 
OBS: 55541.260  L NULL  4.14572e+04 4.08353e+03 15.956  0.102 
OBS: 55542.200  L NULL  4.07756e+04 1.96104e+03 15.974  0.051 
OBS: 55566.210  L NULL  4.09261e+04 3.49613e+03 15.970  0.089 
OBS: 55567.210  L NULL  4.07756e+04 1.05578e+04 15.974  0.250 
OBS: 55569.200  L NULL  3.62076e+04 9.37507e+03 16.103  0.250 
OBS: 55570.200  L NULL  3.29003e+04 5.75418e+03 16.207  0.175 
OBS: 55571.200  L NULL  3.21514e+04 8.32482e+03 16.232  0.250 
OBS: 55572.190  L NULL  3.22998e+04 4.49335e+02 16.227  0.015 
OBS: 55573.180  L NULL  3.01439e+04 2.60521e+03 16.302  0.090 
OBS: 55574.180  L NULL  2.79512e+04 2.41570e+03 16.384  0.090 
OBS: 55576.210  L NULL  2.64972e+04 3.04209e+03 16.442  0.118 
OBS: 55577.170  L NULL  2.49345e+04 2.05536e+03 16.508  0.086 
OBS: 55578.130  L NULL  2.45245e+04 1.97271e+03 16.526  0.084 
OBS: 55598.130  L NULL  1.27057e+04 3.21635e+03 17.240  0.245 
OBS: 55602.120  L NULL  1.34772e+04 4.47013e+03 17.176  0.311 
OBS: 55603.160  L NULL  1.39959e+04 3.62389e+03 17.135  0.250 
OBS: 55605.110  L NULL  1.20337e+04 3.11584e+03 17.299  0.250 
OBS: 55618.110  L NULL  4.84842e+03 8.47976e+02 18.286  0.175 
OBS: 55532.160  M NULL  1.76198e+04 4.17740e+03 16.885  0.231 
OBS: 55533.160  M NULL  2.50496e+04 4.32694e+03 16.503  0.173 
OBS: 55534.260  M NULL  2.90001e+04 4.57363e+03 16.344  0.159 
OBS: 55535.290  M NULL  3.77398e+04 3.22394e+03 16.058  0.089 
OBS: 55536.180  M NULL  3.71193e+04 2.10903e+03 16.076  0.060 
OBS: 55537.290  M NULL  4.69029e+04 4.00670e+03 15.822  0.089 
OBS: 55538.260  M NULL  4.75554e+04 2.14957e+03 15.807  0.048 
OBS: 55539.170  M NULL  4.97050e+04 3.06658e+03 15.759  0.065 
OBS: 55540.170  M NULL  4.73805e+04 3.48223e+03 15.811  0.077 
OBS: 55541.260  M NULL  4.79071e+04 3.94900e+03 15.799  0.086 
OBS: 55542.200  M NULL  4.22280e+04 7.05916e+02 15.936  0.018 
OBS: 55566.210  M NULL  2.02116e+04 3.31724e+03 16.736  0.165 
OBS: 55567.210  M NULL  2.40547e+04 4.20711e+03 16.547  0.175 
OBS: 55569.200  M NULL  2.27405e+04 3.97726e+03 16.608  0.175 
OBS: 55570.200  M NULL  2.43445e+04 2.62052e+03 16.534  0.111 
OBS: 55571.200  M NULL  2.49115e+04 3.48076e+03 16.509  0.142 
OBS: 55572.190  M NULL  2.42326e+04 4.23822e+03 16.539  0.175 
OBS: 55573.180  M NULL  2.47059e+04 4.32099e+03 16.518  0.175 
OBS: 55574.180  M NULL  2.48886e+04 4.35295e+03 16.510  0.175 
OBS: 55576.210  M NULL  2.25944e+04 5.85025e+03 16.615  0.250 
OBS: 55578.130  M NULL  1.86380e+04 3.25975e+03 16.824  0.175 
OBS: 55595.210  M NULL  1.19564e+04 3.09581e+03 17.306  0.250 
OBS: 55598.130  M NULL  1.09951e+04 1.92302e+03 17.397  0.175 
OBS: 55601.250  M NULL  9.49730e+03 1.66105e+03 17.556  0.175 
OBS: 55607.110  M NULL  6.21727e+03 1.60981e+03 18.016  0.250 
END: 
