SURVEY:   CfAIR2 
SNID:      2007co 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    275.765000  # deg 
DEC:        29.897111  # deg 
REDSHIFT_HELIO: 0.026962 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.026563 +- 0.000100   # CMB 
MWEBV:      0.097 +-  0.016        # SFD98 * 0.86 
VPEC:      283.193 
VPEC_ERR:   250.000 
PEAKMJD:  54285.30             # at brightest obs 
HOSTGAL_LOGMASS:  10.3660 +- 3.818  #  

# ----------------------------------- 
NOBS: 140 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 54270.195  h NULL  1.93553e+04 2.69259e+02 16.783  0.015 
OBS: 54272.349  h NULL  1.80136e+04 2.16981e+02 16.861  0.013 
OBS: 54273.334  h NULL  1.64892e+04 1.98619e+02 16.957  0.013 
OBS: 54276.332  h NULL  1.47096e+04 2.04631e+02 17.081  0.015 
OBS: 54277.344  h NULL  1.39059e+04 2.45491e+02 17.142  0.019 
OBS: 54277.421  h NULL  1.39059e+04 2.19447e+02 17.142  0.017 
OBS: 54278.316  h NULL  1.31947e+04 2.70088e+02 17.199  0.022 
OBS: 54279.350  h NULL  1.22462e+04 2.50672e+02 17.280  0.022 
OBS: 54280.291  h NULL  1.07053e+04 2.69557e+02 17.426  0.027 
OBS: 54282.286  h NULL  9.51481e+03 2.57565e+02 17.554  0.029 
OBS: 54284.247  h NULL  9.27257e+03 3.74604e+02 17.582  0.043 
OBS: 54288.401  h NULL  7.75532e+03 1.95277e+02 17.776  0.027 
OBS: 54290.191  h NULL  7.00810e+03 1.96341e+02 17.886  0.030 
OBS: 54292.311  h NULL  5.95388e+03 1.49917e+02 18.063  0.027 
OBS: 54292.378  h NULL  6.11505e+03 1.82912e+02 18.034  0.032 
OBS: 54295.227  h NULL  5.01649e+03 2.12285e+02 18.249  0.045 
OBS: 54295.259  h NULL  5.53605e+03 3.85017e+02 18.142  0.073 
OBS: 54259.380  i NULL  1.69044e+04 2.50957e+02 16.930  0.016 
OBS: 54260.377  i NULL  1.83147e+04 2.54783e+02 16.843  0.015 
OBS: 54261.404  i NULL  1.92664e+04 2.68022e+02 16.788  0.015 
OBS: 54265.366  i NULL  2.13010e+04 2.56579e+02 16.679  0.013 
OBS: 54266.302  i NULL  2.14190e+04 2.38045e+02 16.673  0.012 
OBS: 54267.338  i NULL  2.15377e+04 3.60042e+02 16.667  0.018 
OBS: 54267.402  i NULL  2.18172e+04 2.62798e+02 16.653  0.013 
OBS: 54268.466  i NULL  2.15179e+04 3.79870e+02 16.668  0.019 
OBS: 54269.450  i NULL  2.08737e+04 3.48942e+02 16.701  0.018 
OBS: 54269.461  i NULL  2.11641e+04 4.13335e+02 16.686  0.021 
OBS: 54270.193  i NULL  2.02302e+04 2.43681e+02 16.735  0.013 
OBS: 54272.346  i NULL  1.83316e+04 2.20811e+02 16.842  0.013 
OBS: 54273.331  i NULL  1.72504e+04 1.91716e+02 16.908  0.012 
OBS: 54276.330  i NULL  1.44544e+04 2.01081e+02 17.100  0.015 
OBS: 54277.341  i NULL  1.33168e+04 1.85255e+02 17.189  0.015 
OBS: 54277.419  i NULL  1.35270e+04 2.26127e+02 17.172  0.018 
OBS: 54278.314  i NULL  1.31947e+04 2.32935e+02 17.199  0.019 
OBS: 54279.348  i NULL  1.17815e+04 2.30092e+02 17.322  0.021 
OBS: 54280.289  i NULL  1.17598e+04 2.40716e+02 17.324  0.022 
OBS: 54282.284  i NULL  1.15985e+04 3.24946e+02 17.339  0.030 
OBS: 54284.244  i NULL  1.14499e+04 2.99120e+02 17.353  0.028 
OBS: 54284.331  i NULL  1.15133e+04 2.57333e+02 17.347  0.024 
OBS: 54288.398  i NULL  1.03753e+04 1.92891e+02 17.460  0.020 
OBS: 54290.189  i NULL  1.02612e+04 2.10042e+02 17.472  0.022 
OBS: 54292.309  i NULL  9.50605e+03 1.58911e+02 17.555  0.018 
OBS: 54292.376  i NULL  9.61169e+03 1.78695e+02 17.543  0.020 
OBS: 54295.223  i NULL  7.99466e+03 1.56136e+02 17.743  0.021 
OBS: 54259.378  j NULL  1.31704e+04 1.95524e+02 17.201  0.016 
OBS: 54260.374  j NULL  1.34276e+04 2.11899e+02 17.180  0.017 
OBS: 54261.402  j NULL  1.36019e+04 2.27380e+02 17.166  0.018 
