SURVEY:   CfAIR2 
SNID:      2005na 
FILTERS:  abcdefghijklmnopqrsBCDEFGHIJKLMN 
RA:    105.403000  # deg 
DEC:        14.133300  # deg 
REDSHIFT_HELIO: 0.026322 +- 0.000100   # Helio 
REDSHIFT_FINAL: 0.026833 +- 0.000100   # CMB 
MWEBV:      0.067 +-  0.011        # SFD98 * 0.86 
VPEC:      16.314 
VPEC_ERR:   250.000 
PEAKMJD:  53768.22             # at brightest obs 
HOSTGAL_LOGMASS:  11.5500000 +- 3.0  #  

# ----------------------------------- 
NOBS: 119 
NVAR: 7 
VARLIST: MJD   FLT FIELD   FLUXCAL   FLUXCALERR    MAG   MAGERR 
OBS: 53745.150  M NULL  1.42167e+04 3.68108e+03 17.118  0.250 
OBS: 53765.210  M NULL  1.19124e+04 2.08345e+03 17.310  0.175 
OBS: 53768.220  M NULL  1.29181e+04 2.25935e+03 17.222  0.175 
OBS: 53771.180  M NULL  1.24280e+04 2.39039e+03 17.264  0.191 
OBS: 53745.150  L NULL  1.10053e+04 7.76232e+02 17.396  0.074 
OBS: 53747.210  L NULL  5.97585e+03 1.24852e+03 18.059  0.206 
OBS: 53748.150  L NULL  6.30376e+03 5.76418e+02 18.001  0.095 
OBS: 53762.140  L NULL  4.27760e+03 1.01904e+03 18.422  0.232 
OBS: 53765.210  L NULL  5.41502e+03 8.48234e+02 18.166  0.158 
OBS: 53766.220  L NULL  7.83430e+03 5.14041e+02 17.765  0.069 
OBS: 53768.220  L NULL  8.70964e+03 1.36432e+03 17.650  0.158 
OBS: 53771.180  L NULL  1.05877e+04 1.81743e+03 17.438  0.172 
OBS: 53772.180  L NULL  8.06121e+03 1.40989e+03 17.734  0.175 
OBS: 53786.220  L NULL  3.19154e+03 8.26370e+02 18.740  0.250 
OBS: 53790.240  L NULL  2.32916e+03 4.07365e+02 19.082  0.175 
OBS: 53793.160  L NULL  2.77460e+03 4.85270e+02 18.892  0.175 
OBS: 53797.190  L NULL  2.11252e+03 5.46984e+02 19.188  0.250 
OBS: 53745.150  N NULL  9.18756e+03 2.68106e+03 17.592  0.278 
OBS: 53759.170  N NULL  1.16735e+04 3.26823e+03 17.332  0.268 
OBS: 53762.140  N NULL  1.28588e+04 3.66083e+03 17.227  0.272 
OBS: 53766.220  N NULL  1.32312e+04 4.13079e+03 17.196  0.295 
OBS: 53767.230  N NULL  1.35145e+04 3.49925e+03 17.173  0.250 
OBS: 53768.220  N NULL  1.90020e+04 5.09702e+03 16.803  0.258 
OBS: 53772.180  N NULL  1.54739e+04 2.70635e+03 17.026  0.175 
OBS: 53786.220  N NULL  9.82653e+03 2.56715e+03 17.519  0.252 
OBS: 53790.240  N NULL  9.79039e+03 2.53498e+03 17.523  0.250 
OBS: 53793.160  N NULL  8.61390e+03 2.60628e+03 17.662  0.287 
OBS: 53745.285  f NULL  3.29003e+04 8.28420e+02 16.207  0.027 
