OBS:   56551.080  r  E2   1.9405e+01   2.5495e+01    1   -9  30.678 4.350 26.2 3.7 3.87 185.72 866.97  20130915 
OBS:   56551.082  i  E2  -1.4084e+01   2.0485e+01    1   -9  30.970 3.704 32.7 7.0 3.90 198.14 853.98  20130915 
OBS:   56551.085  z  E2  -4.0611e+01   1.9461e+01    1   -9  31.458 3.632 49.3 14.5 4.02 206.46 868.64  20130915 
OBS:   56557.069  g  E2   2.1810e+01   3.0023e+01    1   -9  30.652 5.702 20.3 2.5 4.05 204.11 865.83  20130921 
OBS:   56557.071  r  E2   2.3549e+00   2.5062e+01    1   -9  30.681 4.901 21.7 3.8 3.90 201.54 868.89  20130921 
OBS:   56557.073  i  E2  -3.7949e+00   2.5144e+01    1   -9  31.003 4.717 28.9 7.2 3.89 205.21 857.00  20130921 
OBS:   56557.076  z  E2  -7.5076e+00   2.6216e+01    1   -9  31.474 4.740 46.5 14.5 4.01 199.75 857.61  20130921 
OBS:   56563.050  g  E2   3.5450e+00   4.9257e+00    1   -9  30.769 3.237 7.2 2.8 3.81 193.79 875.62  20130927 
OBS:   56563.053  r  E2  -5.3597e+00   7.4954e+00    1   -9  30.808 2.968 11.2 4.2 3.77 190.72 883.57  20130927 
OBS:   56563.055  i  E2   3.5849e+00   9.8840e+00    1   -9  31.066 2.770 20.9 7.3 3.85 178.50 867.88  20130927 
OBS:   56563.057  z  E2   3.1595e+00   1.1598e+01    1   -9  31.559 2.735 40.4 15.5 4.05 165.07 879.70  20130927 
OBS:   56567.068  g  E2  -1.8045e+01   4.2988e+01    1   -9  28.298 3.109 7.8 0.3 3.87 200.11 862.47  20131001 
OBS:   56567.070  r  E2  -2.0147e+01   6.5144e+01  1025   -9  28.330 2.770 13.4 0.4 3.90 195.21 877.72  20131001 
OBS:   56567.072  i  E2  -8.1732e+00   8.9821e+01  1025   -9  28.652 2.690 24.3 0.8 3.92 200.50 889.41  20131001 
OBS:   56567.075  z  E2  -2.7993e+01   1.0529e+02  1025   -9  29.389 2.666 45.8 2.1 4.11 196.55 886.95  20131001 
OBS:   56575.014  g  E2   1.8404e-01   4.1596e+00    1   -9  30.765 1.920 10.6 2.8 3.90 167.18 873.14  20131009 
OBS:   56575.017  r  E2   5.1954e+00   6.0003e+00    1   -9  30.808 1.762 14.2 4.2 3.81 153.40 866.88  20131009 
OBS:   56575.019  i  E2  -3.2963e+00   7.2992e+00  4097   0.095  31.062 1.651 23.3 7.2 3.87 139.65 861.77  20131009 
OBS:   56575.021  z  E2  -1.8413e+01   8.1948e+00    1   -9  31.511 1.635 44.8 14.8 4.05 135.18 857.53  20131009 
OBS:   56579.013  g  E2   9.3444e+00   1.0101e+01    1   -9  30.772 2.427 23.6 2.8 4.03 195.54 860.47  20131013 
OBS:   56579.015  r  E2  -1.4294e+00   9.9097e+00    1   -9  30.801 2.213 23.8 4.2 3.89 191.63 859.97  20131013 
OBS:   56579.017  i  E2   1.4663e+01   1.0637e+01    1   -9  31.063 1.997 33.8 7.2 3.90 183.73 866.50  20131013 
OBS:   56579.020  z  E2  -1.1606e+01   1.1166e+01    1   -9  31.495 1.855 58.7 14.9 4.05 195.92 854.45  20131013 
OBS:   56590.011  g  E2  -1.1600e+01   6.2777e+00    1   -9  30.445 2.754 8.3 2.1 3.89 314.40 973.28  20131024 
OBS:   56590.013  r  E2   5.3616e+00   1.3090e+01    1   -9  30.102 2.726 12.9 2.2 3.87 303.98 984.49  20131024 
OBS:   56590.016  i  E2   5.1150e+01   2.7181e+01    1   -9  29.866 2.550 24.4 2.5 3.90 295.01 995.42  20131024 
OBS:   56590.018  z  E2  -2.2355e+01   2.8561e+01    1   -9  30.385 2.363 45.0 5.4 4.10 283.73 1007.26  20131024 
OBS:   56594.012  g  E2  -3.2172e+00   4.7642e+00    1   -9  30.820 2.933 8.5 2.9 3.78 198.80 864.84  20131028 
OBS:   56594.015  r  E2   3.1089e+00   6.5537e+00    1   -9  30.844 2.395 12.8 4.3 3.78 192.85 882.15  20131028 
OBS:   56594.017  i  E2  -8.3006e+00   9.2385e+00    1   -9  31.081 2.339 24.0 7.4 3.85 177.97 888.66  20131028 
OBS:   56594.019  z  E2   2.3961e+00   1.1166e+01    1   -9  31.500 2.212 47.6 14.7 4.05 181.00 895.14  20131028 
OBS:   56602.013  g  E2  -6.0323e+00   4.2520e+00    1   -9  30.842 2.152 10.5 3.0 3.91 185.49 875.17  20131105 
OBS:   56602.016  r  E2  -1.9244e+00   1.5526e+02    1   -9  30.835 2.255 12.3 4.3 3.82 178.07 887.67  20131105 
OBS:   56602.018  i  E2   2.1950e+00   7.8729e+00    1   -9  31.067 1.988 22.6 7.3 3.87 166.89 902.00  20131105 
OBS:   56602.020  z  E2  -3.1987e+00   9.9682e+00    1   -9  31.487 2.132 42.8 14.5 4.06 152.05 917.97  20131105 
OBS:   56606.023  g  E2   1.2750e+01   1.4904e+01  1025   -9  30.823 4.940 14.6 3.0 4.00 195.67 867.08  20131109 
OBS:   56606.025  r  E2  -6.5501e-01   1.4856e+01  1025   -9  30.829 4.484 15.6 4.3 3.82 183.18 881.75  20131109 
OBS:   56606.027  i  E2  -2.0645e+01   2.1344e+01  1025   -9  31.068 4.641 26.0 7.3 3.84 185.02 892.30  20131109 
OBS:   56606.030  z  E2  -2.0975e+01   2.5876e+01  1025   -9  31.489 4.565 49.3 14.5 4.02 170.90 907.83  20131109 
OBS:   56609.026  g  E2  -1.0846e+01   3.0903e+01   33   -9  30.810 2.034 23.2 2.9 4.03 199.83 867.48  20131112 
OBS:   56609.029  r  E2  -1.1908e+01   8.3969e+00    1   -9  30.820 1.824 22.3 4.3 3.86 185.22 883.24  20131112 
OBS:   56609.031  i  E2  -5.3639e+00   8.7595e+00    1   -9  31.050 1.721 30.6 7.2 3.90 171.74 895.97  20131112 
OBS:   56609.033  z  E2  -1.6474e+00   9.6533e+00    1   -9  31.464 1.699 51.3 14.2 4.08 168.27 910.55  20131112 
OBS:   56615.068  g  E2  -1.1986e+01   8.6279e+00    1   -9  30.787 2.078 23.6 2.9 4.04 198.44 859.57  20131118 
OBS:   56615.070  r  E2  -1.9129e+01   8.6156e+00    1   -9  30.784 1.850 23.1 4.1 3.90 195.93 866.23  20131118 
OBS:   56615.072  i  E2  -9.0281e+00   9.2533e+00    1   -9  31.008 1.824 29.7 7.0 3.91 191.02 864.72  20131118 
OBS:   56615.075  z  E2   9.8510e+00   1.1169e+01    1   -9  31.347 1.677 52.3 12.8 4.07 203.44 875.82  20131118 
OBS:   56625.148  g  E2  -1.2627e+01   4.7442e+00  1025   -9  32.271 2.240 46.9 10.7 1.04 166.22 848.27  20131128 
OBS:   56628.034  g  E2   8.8893e+00   4.5478e+00    1   -9  32.355 2.650 36.8 11.6 0.99 190.49 868.20  20131201 
OBS:   56628.036  r  E2   4.7265e+00   5.8023e+00    1   -9  30.833 2.241 11.1 4.3 3.79 185.32 878.61  20131201 
OBS:   56628.038  i  E2   1.3607e+01   7.7284e+00    1   -9  31.056 2.056 20.6 7.2 3.82 174.85 880.51  20131201 
OBS:   56628.041  z  E2  -1.7102e+01   1.2630e+01    1   -9  31.487 1.971 41.3 14.5 4.07 164.68 879.69  20131201 
OBS:   56635.083  g  E2   3.1437e+00   7.2989e+00    1   -9  30.864 2.957 14.1 3.1 4.01 204.05 868.36  20131208 
OBS:   56635.086  r  E2   1.0527e+01   8.9732e+00    1   -9  30.853 3.053 15.3 4.2 3.83 196.18 854.55  20131208 
OBS:   56635.088  i  E2  -2.0765e+01   1.0988e+01    1   -9  31.099 2.708 25.6 7.6 3.84 195.78 846.38  20131208 
OBS:   56635.091  z  E2  -1.0290e+01   1.2231e+01    1   -9  31.489 2.435 49.0 14.4 4.04 204.52 855.37  20131208 
OBS:   56642.041  g  E2   3.3963e+01   2.2285e+01    1   -9  32.317 3.660 136.1 11.2 0.99 200.90 867.71  20131215 
OBS:   56642.044  r  E2   5.0717e+00   1.8030e+01  1025   -9  32.315 3.451 110.6 16.2 1.01 203.44 881.30  20131215 
OBS:   56642.046  i  E2  -2.0181e+01   2.0316e+01    1   -9  32.371 2.979 158.0 23.8 0.98 190.84 867.41  20131215 
OBS:   56642.048  z  E2   7.1052e+01   8.4664e+01  1025   -9  32.197 3.265 399.6 27.6 0.98 188.62 866.05  20131215 
OBS:   56645.108  g  E2  -3.0151e+00   1.1927e+01    1   -9  30.813 2.392 28.4 2.9 4.06 180.75 881.21  20131218 
OBS:   56645.110  r  E2   9.0122e+00   1.1544e+01    1   -9  30.818 2.460 25.2 4.2 3.89 175.74 890.70  20131218 
OBS:   56645.112  i  E2   2.6604e+00   1.1414e+01    1   -9  31.057 2.342 30.7 7.2 3.90 181.22 897.04  20131218 
OBS:   56645.115  z  E2  -9.0288e+00   1.2224e+01    1   -9  31.428 2.362 46.5 13.9 4.04 191.37 899.49  20131218 
OBS:   56649.051  g  E2   6.0274e-02   3.3461e+00    1   -9  30.835 1.969 8.0 3.0 3.86 193.24 863.79  20131222 
OBS:   56649.053  r  E2  -1.0503e+00   5.3214e+00    1   -9  30.852 1.691 11.1 4.4 3.82 179.88 851.13  20131222 
OBS:   56649.055  i  E2  -5.8025e+00   7.1465e+00    1   -9  31.077 1.567 22.7 7.4 3.86 168.79 840.90  20131222 
OBS:   56649.058  z  E2  -1.1336e+01   8.0624e+00    1   -9  31.458 1.486 42.9 14.2 4.07 158.16 846.92  20131222 
OBS:   56656.047  g  E2   9.1131e-01   4.1548e+00    1   -9  30.835 2.117 10.1 2.9 3.91 176.46 861.47  20131229 
OBS:   56656.049  r  E2   4.6573e+00   4.9823e+00    1   -9  30.837 1.817 12.1 4.2 3.78 168.88 857.20  20131229 
OBS:   56656.051  i  E2  -2.1884e+00   6.8268e+00  4097   0.040  31.018 1.735 21.3 6.9 3.91 157.93 862.30  20131229 
OBS:   56656.054  z  E2  -1.9619e+01   8.4533e+00    1   -9  31.435 1.747 40.9 13.8 4.07 153.39 857.52  20131229 
OBS:   56667.046  g  E2   5.2561e+00   1.0220e+01    1   -9  30.788 2.598 21.4 2.7 4.05 202.46 869.25  20140109 
OBS:   56667.048  r  E2   8.6410e-01   8.7657e+00    1   -9  30.800 2.199 20.9 4.0 3.94 188.50 876.06  20140109 
OBS:   56667.050  i  E2   3.6918e-01   1.0740e+01    1   -9  31.038 2.171 31.6 7.0 3.90 188.96 871.13  20140109 
OBS:   56667.053  z  E2  -3.5941e+01   1.3712e+01    1   -9  31.439 2.323 55.8 14.0 4.07 192.23 885.74  20140109 
OBS:   56675.058  g  E2   1.3735e+01   1.4301e+01    1   -9  30.645 2.460 27.9 2.4 4.06 192.96 867.20  20140117 
OBS:   56675.060  r  E2   9.8124e+00   1.2430e+01    1   -9  30.705 2.244 27.4 3.7 3.94 179.88 877.60  20140117 
OBS:   56675.062  i  E2   1.1215e+01   1.3737e+01    1   -9  30.926 2.271 36.2 6.3 3.91 173.75 886.40  20140117 
OBS:   56675.065  z  E2   2.1421e+01   1.4105e+01    1   -9  31.244 2.090 54.4 11.6 4.08 175.00 896.10  20140117 
OBS:   56682.053  g  E2  -8.8312e+00   5.6260e+00    1   -9  30.695 2.811 9.4 2.6 3.90 191.77 878.31  20140124 
OBS:   56682.056  r  E2  -2.8080e-01   7.6920e+00    1   -9  30.742 2.559 13.2 4.0 3.82 183.85 884.78  20140124 
OBS:   56682.061  z  E2  -2.1366e+01   1.3351e+01    1   -9  31.332 2.293 48.3 12.8 4.06 168.48 897.40  20140124 
OBS:   56687.053  g  E2   6.7707e+00   6.9719e+00    1   -9  30.663 3.306 9.5 2.6 3.89 191.80 881.98  20140129 
OBS:   56687.056  r  E2  -5.1095e+00   9.0815e+00    1   -9  30.721 2.970 13.4 3.9 3.83 183.35 888.28  20140129 
OBS:   56687.058  i  E2   1.2381e+01   1.2391e+01    1   -9  30.962 2.894 23.8 6.6 3.87 172.22 894.73  20140129 
OBS:   56687.060  z  E2   3.5642e+00   2.1103e+01    1   -9  31.312 2.900 42.8 12.5 4.07 170.58 899.51  20140129 
OBS:   56695.031  g  E2  -5.2207e+00   1.2958e+01    1   -9  30.670 2.719 23.7 2.6 4.04 189.49 874.59  20140206 
OBS:   56695.033  r  E2   7.7902e+00   1.0048e+01    1   -9  30.726 2.155 23.0 3.9 3.92 190.61 881.71  20140206 
OBS:   56695.035  i  E2   3.7415e+01   1.0764e+01    0   -9  30.993 1.919 33.4 6.8 3.93 181.78 890.04  20140206 
OBS:   56695.038  z  E2  -9.6062e+00   1.2786e+01    1   -9  31.392 2.053 55.4 13.4 4.07 190.24 897.16  20140206 

# Begin Y2 obs 

OBS:   56887.211  g  E2  -1.4121e-01   3.6896e+00    1   -9  30.770 2.257 6.7 4.0 3.83 184.82 879.19  20140817 
OBS:   56887.213  r  E2  -2.6635e+00   4.9755e+00    1   -9  30.799 2.015 9.9 4.1 3.71 172.12 889.57  20140817 
OBS:   56887.215  i  E2   8.1541e+00   6.2921e+00    1   -9  31.045 1.925 17.3 7.8 3.79 159.02 880.49  20140817 
OBS:   56887.218  z  E2   8.6425e-01   7.7061e+00    1   -9  31.489 1.941 32.5 15.4 4.06 145.25 890.43  20140817 
OBS:   56891.377  g  E2  -1.3888e+00   4.3303e+00    1   -9  30.789 2.675 7.2 4.1 3.82 193.44 854.33  20140821 
OBS:   56891.380  r  E2  -1.3175e+01   6.5891e+00    1   -9  30.790 2.419 12.5 4.2 3.78 196.50 845.55  20140821 
OBS:   56891.382  i  E2  -4.9025e+00   1.0374e+01    1   -9  31.028 2.479 25.7 7.8 3.83 188.04 835.64  20140821 
OBS:   56891.384  z  E2  -2.0224e+01   1.3142e+01    1   -9  31.445 2.397 51.0 14.9 4.06 193.21 826.02  20140821 
OBS:   56903.120  g  E2   3.5079e+00   1.0784e+01    1   -9  30.565 2.804 16.8 3.3 4.03 211.77 858.17  20140902 
OBS:   56903.123  r  E2   2.5248e+00   1.2399e+01    1   -9  30.477 2.337 21.1 3.1 3.93 204.83 871.14  20140902 
OBS:   56903.125  i  E2  -1.6663e+01   1.6497e+01    1   -9  30.659 2.207 34.7 5.6 3.90 195.50 863.51  20140902 
OBS:   56903.127  z  E2   5.3020e+01   2.0565e+01    1   -9  31.133 2.479 56.7 11.4 4.05 205.95 862.12  20140902 
