SURVEY:    DES 
SNID:      1513071
IAUC:      DES16C2cva    # TRANSIENT_NAME in SNCAND table
SNTYPE:      0     #  
FILTERS:   griz 
PIXSIZE:   0.27    # arcsec 
NXPIX:     2048  
NYPIX:     4096  
FAKE:      0 
RA:        53.683437  deg
DECL:      -29.317135  deg
MWEBV:     0  # WARNING: see OPT_MWEBV in SNANA manual 
MWEBV_ERR: 0  
REDSHIFT_HELIO:  0.4034  +-  0.0010    # zSPEC(host) 
REDSHIFT_FINAL:  0.4029  +-  0.0010    # CMB

HOSTGAL_OBJID:   104781 
HOSTGAL_PHOTOZ:  0.5133 +-  0.0377
HOSTGAL_SPECZ:   0.4034 +-  0.0010
HOSTGAL_SNSEP:   0.09    # arcsec
HOSTGAL_MAG:     23.80 22.72 22.34 22.09    # Aper_4 
HOSTGAL_SB_FLUXCAL: 6.80 18.69 25.68 34.50    # griz FLUXCAL/asec^2 

PRIVATE(DES_snid):            1513071 
PRIVATE(DES_cand_type):         0   (OK)
PRIVATE(DES_transient_status):  8  
PRIVATE(DES_ccdnum):            40  # first CCDNUM in query 
PRIVATE(DES_numepochs):         11  # read from SNCAND 
PRIVATE(DES_numepochs_ml):      11  # read from SNCAND 
PRIVATE(DES_numepochs_ml_Y0):      0  # computed 
PRIVATE(DES_numepochs_ml_Y1):      0  # computed 
PRIVATE(DES_numepochs_ml_Y2):      0  # computed 
PRIVATE(DES_numepochs_ml_Y3):      0  # computed 
PRIVATE(DES_numepochs_ml_Y4):      11  # computed 
PRIVATE(DES_numepochs_ml_Y5):      0  # computed 
PRIVATE(DES_numepochs_ml_Y6):      0  # computed 
PRIVATE(DES_mjd_trigger):       57694.184 # computed
PRIVATE(DES_mjd_latest_ml):     57740.121 # computed 
PRIVATE(DES_latest_nite_ml):    20161217   # read from SNCAND
PRIVATE(DES_nobs_offccd):       0  # computed 
PRIVATE(DES_nobs_photerr):      3  # (Nobs with PHOTLAG & 1016) 
PRIVATE(DES_hostgal_dlr):       0.13   
PRIVATE(DES_hostgal_gradient_g):   -1.96 
PRIVATE(DES_hostgal_gradient_r):   -6.08 
PRIVATE(DES_hostgal_gradient_i):  -10.34 
PRIVATE(DES_hostgal_gradient_z):  -15.43 


# ------------------ 
NOBS: 533 
NVAR: 15 
VARLIST: MJD  FLT  FIELD FLUXCAL  FLUXCALERR PHOTFLAG PHOTPROB ZPFLUX PSF SKYSIG SKYSIG_T GAIN XPIX YPIX  NITE  

# Begin Y1 obs 

OBS:   56536.218  g  C2   9.2334e+00   6.8591e+00    1   -9  29.905 2.399 7.3 1.3 3.67 834.92 1305.23  20130831 
OBS:   56536.229  r  C2   7.4707e+00   9.6236e+00    1   -9  30.227 2.683 11.4 2.4 3.79 832.93 1335.61  20130831 
OBS:   56536.231  i  C2  -1.1933e+01   9.5468e+00    1   -9  30.797 2.589 19.5 5.6 3.92 836.29 1322.65  20130831 
OBS:   56536.233  z  C2   1.2451e+01   1.1100e+01    1   -9  31.259 2.328 39.3 11.3 3.99 839.06 1320.92  20130831 
OBS:   56543.234  g  C2   1.2971e+00   3.1413e+00    1   -9  30.803 2.317 7.1 2.9 3.56 778.41 1322.85  20130907 
OBS:   56543.236  r  C2   4.5648e+00   4.5414e+00    1   -9  30.821 2.119 11.3 4.1 3.74 783.70 1314.03  20130907 
OBS:   56543.238  i  C2   1.1985e+01   6.9419e+00    1   -9  31.051 2.087 22.4 7.1 3.95 779.68 1304.80  20130907 
OBS:   56543.241  z  C2  -2.2773e+00   9.1256e+00    1   -9  31.414 2.012 43.7 13.0 3.96 787.55 1299.97  20130907 
OBS:   56547.254  g  C2  -4.4289e+00   3.8412e+00    1   -9  30.838 2.866 7.3 3.0 3.62 785.11 1369.61  20130911 
OBS:   56547.256  r  C2  -4.3107e+00   5.8151e+00    1   -9  30.837 2.977 10.3 4.1 3.69 801.54 1367.37  20130911 
OBS:   56547.259  i  C2  -1.0297e+00   6.7342e+00    1   -9  31.085 2.595 17.1 7.3 3.90 812.16 1370.13  20130911 
OBS:   56547.261  z  C2  -9.3313e+00   8.2085e+00    1   -9  31.517 2.435 33.8 14.3 3.93 811.84 1362.48  20130911 
OBS:   56551.216  g  C2  -3.8333e+00   2.0141e+01    1   -9  30.766 4.288 25.1 2.8 3.82 767.01 1368.79  20130915 
OBS:   56551.218  r  C2   2.3368e+01   1.5572e+01    1   -9  30.786 3.806 21.7 3.9 3.82 783.22 1370.37  20130915 
OBS:   56551.221  i  C2  -2.1043e+01   1.4507e+01    1   -9  31.084 3.901 24.2 7.3 3.92 794.33 1357.70  20130915 
OBS:   56551.223  z  C2   3.1834e-01   1.3588e+01    1   -9  31.540 3.592 37.3 14.6 3.96 801.21 1370.55  20130915 
OBS:   56558.232  g  C2  -1.0886e+00   9.8799e+00    1   -9  30.790 2.378 24.9 2.9 3.82 794.88 1394.24  20130922 
OBS:   56558.234  r  C2   1.7930e+01   9.0608e+00    1   -9  30.804 2.205 23.5 4.0 3.82 784.36 1388.93  20130922 
OBS:   56558.236  i  C2  -8.3503e+00   8.4741e+00    1   -9  31.071 2.070 29.0 9.3 3.98 778.64 1398.66  20130922 
OBS:   56558.239  z  C2   7.0722e-01   9.1813e+00    1   -9  31.549 2.028 49.7 15.9 3.91 779.81 1396.90  20130922 
OBS:   56563.178  g  C2  -3.9904e+00   3.5256e+00    1   -9  30.805 2.454 7.4 2.9 3.60 795.87 1396.60  20130927 
OBS:   56563.181  r  C2   2.2590e+00   5.4659e+00    1   -9  30.801 2.568 11.0 4.0 3.71 802.77 1385.32  20130927 
OBS:   56563.183  i  C2  -2.1173e+00   6.5473e+00    1   -9  31.061 2.257 19.4 7.1 3.90 799.04 1378.98  20130927 
OBS:   56563.185  z  C2   8.3345e+00   9.3109e+00    1   -9  31.563 2.462 40.2 14.9 3.95 812.00 1383.20  20130927 
OBS:   56567.206  g  C2  -3.6637e+00   3.2985e+00    1   -9  30.848 2.540 6.8 3.0 3.55 827.66 1340.15  20131001 
OBS:   56567.208  r  C2  -5.0167e-01   4.7301e+00    1   -9  30.818 2.441 9.9 4.1 3.70 838.01 1331.95  20131001 
OBS:   56567.210  i  C2  -2.9588e+00   6.0557e+00    1   -9  31.054 2.241 17.6 7.1 3.91 824.01 1331.97  20131001 
OBS:   56567.213  z  C2  -1.3087e+01   7.2086e+00    1   -9  31.477 2.060 34.3 13.8 3.93 841.23 1342.83  20131001 
OBS:   56575.178  g  C2  -3.1323e+00   2.8310e+00    1   -9  30.813 1.835 7.1 2.9 3.55 777.09 1374.33  20131009 
OBS:   56575.180  r  C2  -3.0278e+00   3.8004e+00    1   -9  30.814 1.719 10.4 4.0 3.68 784.89 1371.79  20131009 
OBS:   56575.182  i  C2   9.5887e-01   5.0074e+00    1   -9  31.057 1.689 18.9 7.1 3.88 772.39 1361.89  20131009 
OBS:   56575.185  z  C2  -4.5405e+00   6.1395e+00    1   -9  31.514 1.644 38.5 14.3 3.99 774.50 1362.40  20131009 
OBS:   56579.167  g  C2  -9.1106e+00   7.3633e+00    1   -9  30.805 2.158 20.0 2.9 3.79 796.32 1372.71  20131013 
OBS:   56579.169  r  C2  -1.3416e+01   7.1745e+00    1   -9  30.801 1.980 20.4 4.0 3.82 790.77 1370.96  20131013 
OBS:   56579.172  i  C2   7.0219e+00   7.8834e+00    1   -9  31.054 1.902 28.8 7.1 3.98 781.98 1360.11  20131013 
OBS:   56579.174  z  C2  -1.1216e+01   8.6193e+00    1   -9  31.499 1.757 51.8 14.1 3.96 795.25 1368.66  20131013 
OBS:   56589.335  g  C2   0.0000e+00   3.3333e+04  1065   -9  29.819 3.372 173.5 0.9 0.98 1145.91 3660.23  20131023 
OBS:   56589.338  r  C2   0.0000e+00   3.3333e+04  1065   -9  30.296 3.018 219.4 3.8 0.96 1147.92 3660.96  20131023 
OBS:   56589.340  i  C2   0.0000e+00   3.3333e+04  1065   -9  29.975 3.120 288.3 2.9 0.96 1156.62 3672.85  20131023 
OBS:   56590.325  g  C2  -2.8073e+01   9.2302e+00    1   -9  30.625 2.749 16.6 2.5 3.78 770.01 1368.00  20131024 
OBS:   56590.330  r  C2   1.5608e+01   1.2887e+01    1   -9  30.413 2.361 21.8 2.8 3.85 767.96 1375.70  20131024 
OBS:   56590.332  i  C2  -9.9647e+00   1.4201e+01    1   -9  30.700 2.408 29.9 5.1 4.00 759.94 1375.91  20131024 
OBS:   56590.334  z  C2   7.3359e+00   1.4702e+01    1   -9  31.289 2.390 50.2 11.6 3.97 767.33 1385.87  20131024 
OBS:   56594.090  g  C2   7.2679e-01   6.3085e+00    1   -9  30.803 3.992 8.0 2.9 3.66 799.86 1375.32  20131028 
OBS:   56594.093  r  C2  -9.3683e-01   9.4765e+00    1   -9  30.784 3.676 13.4 3.9 3.74 809.55 1378.87  20131028 
OBS:   56594.095  i  C2  -5.5515e+00   1.2226e+01    1   -9  31.060 3.179 25.7 7.1 3.91 806.32 1371.28  20131028 
OBS:   56594.098  z  C2  -2.4490e+00   1.5846e+01    1   -9  31.467 2.978 53.2 13.8 3.96 811.45 1360.71  20131028 
OBS:   56602.105  g  C2   9.7987e-01   2.7744e+00    1   -9  30.806 1.626 7.5 2.9 3.63 782.95 1385.02  20131105 
OBS:   56602.107  r  C2   7.1372e-02   3.6731e+00    1   -9  30.830 1.502 11.0 4.1 3.73 768.66 1374.25  20131105 
OBS:   56602.109  i  C2  -3.8581e+00   5.1568e+00    1   -9  31.059 1.601 20.9 7.1 3.98 782.71 1365.60  20131105 
OBS:   56602.112  z  C2  -9.4209e+00   6.6402e+00    1   -9  31.486 1.572 42.9 14.0 3.95 791.31 1380.80  20131105 
OBS:   56606.095  g  C2   2.8048e+01   1.6177e+01  1025   -9  30.732 5.348 13.8 2.7 3.80 797.77 1396.91  20131109 
OBS:   56606.097  r  C2  -3.4465e+00   1.6752e+01  1025   -9  30.767 5.148 14.5 4.6 3.75 808.40 1404.12  20131109 
OBS:   56606.099  i  C2  -1.6127e+01   2.1390e+01  1025   -9  31.034 4.914 24.8 8.1 3.88 817.87 1418.72  20131109 
OBS:   56606.102  z  C2  -2.9129e+00   2.6642e+01  1025   -9  31.431 4.689 49.6 14.6 3.90 826.31 1432.55  20131109 
OBS:   56609.055  g  C2  -1.2046e+01   9.2631e+00    1   -9  30.784 2.148 24.3 2.7 3.84 801.62 1368.72  20131112 
OBS:   56609.057  r  C2  -7.1882e+00   7.9765e+00    1   -9  30.779 1.913 23.1 3.8 3.85 806.26 1365.47  20131112 
OBS:   56609.059  i  C2  -4.4037e+00   8.1572e+00    1   -9  31.019 1.730 31.8 6.9 4.01 801.29 1359.32  20131112 
OBS:   56609.062  z  C2   1.6695e+01   9.6297e+00    1   -9  31.415 1.698 56.3 13.0 3.97 812.50 1349.03  20131112 
OBS:   56615.037  g  C2  -9.7777e+00   2.4326e+01    1   -9  29.763 2.148 26.5 1.1 3.85 842.19 1356.21  20131118 
OBS:   56615.039  r  C2   1.3041e+01   1.2172e+01    1   -9  30.606 2.018 29.2 3.3 3.87 832.98 1362.08  20131118 
OBS:   56615.041  i  C2   1.6731e+01   1.6194e+01    1   -9  30.695 2.009 41.8 5.1 4.05 843.08 1354.30  20131118 
OBS:   56615.044  z  C2  -5.5922e+01   3.1382e+01    1   -9  30.771 2.007 78.8 7.2 3.87 841.65 1345.98  20131118 
OBS:   56625.198  r  C2  -2.4945e+00   3.5822e+00  1025   -9  32.282 1.773 41.5 15.2 1.01 761.99 1378.44  20131128 
OBS:   56628.062  g  C2  -7.6496e-01   3.6857e+00    1   -9  30.849 2.584 7.6 3.0 3.64 780.99 1388.40  20131201 
OBS:   56628.065  r  C2   1.6179e+00   4.8217e+00    1   -9  30.795 2.339 10.6 4.8 3.72 795.24 1406.18  20131201 
OBS:   56628.067  i  C2   4.7130e+00   6.3778e+00    1   -9  31.025 2.089 19.9 8.0 3.92 785.14 1421.71  20131201 
OBS:   56628.069  z  C2  -4.7830e+00   8.5300e+00    1   -9  31.480 2.007 43.3 15.2 3.95 786.07 1433.47  20131201 
OBS:   56635.114  g  C2  -1.9539e-01   4.5458e+00    1   -9  30.904 2.336 11.7 3.2 3.76 780.81 1391.73  20131208 
OBS:   56635.116  r  C2  -5.4555e+00   5.2736e+00    1   -9  30.856 2.243 13.0 4.2 3.78 768.27 1408.18  20131208 
OBS:   56635.118  i  C2   2.4716e+00   7.3597e+00    1   -9  31.089 2.218 23.2 7.3 3.93 780.35 1404.68  20131208 
OBS:   56635.121  z  C2   1.3760e+01   1.0779e+01    1   -9  31.513 2.329 48.6 14.3 3.93 761.87 1414.77  20131208 
OBS:   56645.064  g  C2  -8.4297e+00   7.3073e+00    1   -9  30.873 1.927 23.5 3.1 3.86 779.87 1367.92  20131218 
OBS:   56645.067  r  C2   9.2108e+00   7.3633e+00    1   -9  30.831 1.870 22.6 4.1 3.84 779.47 1359.35  20131218 
OBS:   56645.069  i  C2   5.0403e-01   7.5842e+00    1   -9  31.059 1.902 27.6 7.1 4.02 776.56 1358.64  20131218 
OBS:   56645.071  z  C2  -1.0669e+01   7.7071e+00    1   -9  31.450 1.835 41.3 13.5 3.97 786.56 1368.54  20131218 
OBS:   56649.146  g  C2   3.4276e+00   5.0698e+00    1   -9  30.864 2.501 11.9 3.1 3.78 779.26 1368.83  20131222 
OBS:   56649.148  r  C2  -4.3354e+00   5.6104e+00    1   -9  30.841 2.285 13.5 4.2 3.79 778.98 1371.65  20131222 
OBS:   56649.151  i  C2  -5.3075e-01   7.4519e+00    1   -9  31.060 2.321 21.6 7.1 3.95 767.67 1370.72  20131222 
OBS:   56649.153  z  C2  -2.1375e+01   1.0120e+01    1   -9  31.454 2.448 40.4 13.6 3.95 773.79 1375.93  20131222 
OBS:   56653.161  g  C2  -6.7473e+00   4.9584e+00    1   -9  30.830 3.646 7.1 3.0 3.60 777.25 1377.66  20131226 
OBS:   56653.163  r  C2   1.7740e+00   7.5447e+00    1   -9  30.812 3.643 10.3 4.0 3.69 786.62 1384.36  20131226 
OBS:   56653.165  i  C2  -1.5822e+00   1.1512e+01    1   -9  31.036 3.704 19.6 7.0 3.88 779.02 1398.21  20131226 
OBS:   56653.168  z  C2   1.9310e+01   1.6776e+01    1   -9  31.437 3.891 38.6 13.3 3.98 787.48 1409.69  20131226 
OBS:   56660.075  g  C2  -6.4857e+00   2.8641e+00    1   -9  30.850 2.059 7.4 3.0 3.62 783.87 1377.71  20140102 
OBS:   56660.077  r  C2  -2.8392e-01   3.9029e+00    1   -9  30.837 1.876 10.4 4.1 3.72 776.23 1393.35  20140102 
OBS:   56660.080  i  C2  -2.9519e+00   5.4458e+00    1   -9  31.048 1.713 20.7 7.0 3.99 762.52 1403.50  20140102 
OBS:   56660.082  z  C2  -1.2066e+01   8.1455e+00    1   -9  31.422 1.832 43.3 13.1 3.95 770.42 1412.92  20140102 
OBS:   56667.103  g  C2  -6.0241e-01   6.9889e+00    1   -9  30.796 2.042 20.2 2.9 3.83 789.53 1377.27  20140109 
OBS:   56667.105  r  C2   9.6925e+00   7.2049e+00    1   -9  30.809 1.972 20.4 3.9 3.84 801.50 1378.52  20140109 
OBS:   56667.107  i  C2   3.0235e+00   8.2585e+00    1   -9  31.045 1.878 30.3 7.0 3.99 797.90 1378.55  20140109 
OBS:   56667.110  z  C2   3.6612e+00   9.3744e+00    1   -9  31.451 1.703 56.2 13.3 3.97 797.81 1384.73  20140109 
OBS:   56675.086  g  C2   9.3529e+00   1.0590e+01    1   -9  30.744 2.185 26.0 2.6 3.82 795.80 1379.62  20140117 
OBS:   56675.089  r  C2  -7.7064e+00   9.2998e+00    1   -9  30.726 2.002 24.8 3.6 3.82 800.61 1372.38  20140117 
OBS:   56675.091  i  C2  -8.0353e+00   9.9312e+00    1   -9  30.972 2.037 31.8 6.4 3.99 793.24 1363.66  20140117 
OBS:   56675.093  z  C2   1.2232e+00   9.5260e+00    1   -9  31.311 1.666 50.9 11.7 3.97 787.84 1355.12  20140117 
OBS:   56681.121  g  C2  -4.4872e+00   3.3349e+00    1   -9  30.806 2.304 7.4 2.9 3.61 796.09 1383.54  20140123 
OBS:   56681.123  r  C2  -7.4019e+00   4.4702e+00    1   -9  30.780 2.079 10.7 3.9 3.75 782.97 1386.75  20140123 
OBS:   56681.125  i  C2   1.0432e+01   6.4955e+00    1   -9  31.014 2.097 19.7 6.8 3.91 772.30 1385.39  20140123 
OBS:   56681.128  z  C2  -2.1120e+00   8.6942e+00    1   -9  31.400 2.020 40.5 12.9 3.96 779.00 1382.66  20140123 
OBS:   56685.171  g  C2  -3.0929e+00   5.5309e+00    1   -9  30.726 3.323 7.9 2.6 3.70 809.36 1392.86  20140127 
OBS:   56685.174  r  C2   9.6957e+00   8.3862e+00    1   -9  30.734 3.271 12.4 3.6 3.77 820.93 1399.20  20140127 
OBS:   56685.176  i  C2   1.3423e+01   1.1863e+01    1   -9  30.978 2.830 26.5 6.5 3.94 828.72 1407.86  20140127 
OBS:   56685.178  z  C2  -2.2119e+01   1.5484e+01    1   -9  31.351 2.693 53.6 12.2 3.96 837.80 1407.20  20140127 
OBS:   56692.045  g  C2  -2.9387e+00   3.4806e+00    1   -9  30.781 1.807 9.4 2.8 3.71 787.47 1366.22  20140203 
OBS:   56692.047  r  C2  -1.4863e+00   4.4298e+00    1   -9  30.777 1.642 12.5 3.9 3.78 787.31 1383.00  20140203 
OBS:   56692.049  i  C2   6.2128e-01   5.8381e+00    1   -9  31.015 1.545 23.5 6.8 3.95 778.02 1375.73  20140203 
OBS:   56692.052  z  C2   3.3801e-02   7.3551e+00    1   -9  31.405 1.503 46.0 12.9 3.95 787.56 1394.31  20140203 
OBS:   56698.046  g  C2   4.1666e+00   8.8992e+00    1   -9  30.804 2.369 21.4 2.9 3.87 797.43 1390.04  20140209 
OBS:   56698.049  r  C2  -4.8587e+00   7.8808e+00    1   -9  30.775 2.076 20.6 3.9 3.88 788.15 1387.01  20140209 
OBS:   56698.051  i  C2   1.4745e+00   8.2661e+00    1   -9  31.019 1.949 28.4 6.8 3.99 778.34 1386.84  20140209 
OBS:   56698.053  z  C2   1.2101e+01   9.6259e+00    1   -9  31.435 1.887 50.5 13.3 3.95 773.32 1389.37  20140209 

# Begin Y2 obs 

OBS:   56890.400  g  C2  -1.7389e+00   4.8799e+00    1   -9  30.842 3.275 7.9 2.5 3.64 779.85 1372.33  20140820 
OBS:   56890.403  r  C2   3.7954e-01   7.2434e+00    1   -9  30.794 2.999 12.7 3.4 3.74 774.70 1368.20  20140820 
OBS:   56890.405  i  C2  -5.2561e-01   1.0335e+01    1   -9  31.039 2.856 24.0 7.0 3.91 760.56 1362.44  20140820 
OBS:   56890.408  z  C2  -1.2645e+00   1.2279e+01    1   -9  31.488 2.612 47.7 14.6 3.93 750.78 1359.59  20140820 
OBS:   56894.313  r  C2  -1.8689e+00   2.0450e+01  1025   -9  30.804 6.211 11.8 3.4 3.69 807.63 1393.01  20140824 
OBS:   56894.315  i  C2   6.5973e+00   2.3520e+01  1025   -9  31.022 5.569 21.8 6.9 3.89 817.51 1395.93  20140824 
OBS:   56894.318  z  C2   2.0723e+01   2.8567e+01  1025   -9  31.506 5.267 46.1 14.8 3.90 821.64 1386.33  20140824 
OBS:   56904.282  g  C2   2.0607e-01   5.3828e+00    1   -9  30.801 2.869 10.0 2.4 3.73 781.48 1368.86  20140903 
OBS:   56904.284  r  C2  -4.9200e+00   6.0374e+00    1   -9  30.791 2.677 11.7 3.4 3.73 796.28 1372.97  20140903 
OBS:   56904.286  i  C2   4.1970e+00   7.6238e+00    1   -9  31.030 2.562 19.2 7.0 3.91 789.90 1371.79  20140903 
OBS:   56904.289  z  C2   7.6783e-01   9.7421e+00    1   -9  31.455 2.542 36.8 14.1 3.96 799.19 1372.09  20140903 
OBS:   56912.357  g  C2  -3.3705e-01   9.4861e+00    1   -9  30.841 2.279 24.3 2.5 3.84 782.98 1393.55  20140911 
OBS:   56912.360  r  C2   4.7691e+00   8.2198e+00    1   -9  30.801 2.038 22.6 3.4 3.85 792.01 1380.88  20140911 
OBS:   56912.362  i  C2  -6.8811e-01   8.3063e+00    1   -9  31.052 1.990 28.9 7.1 3.99 775.87 1391.28  20140911 
OBS:   56912.364  z  C2  -6.7859e+00   8.6470e+00    1   -9  31.518 1.870 49.5 15.0 3.92 785.51 1389.30  20140911 
OBS:   56920.291  g  C2   1.7637e+00   2.9065e+00    1   -9  30.806 2.059 7.2 2.4 3.61 790.27 1395.22  20140919 
OBS:   56920.294  r  C2  -2.1549e+00   3.8458e+00    1   -9  30.795 1.828 10.1 3.4 3.69 791.29 1391.07  20140919 
OBS:   56920.296  i  C2  -4.3287e+00   4.6500e+00    1   -9  31.031 1.724 16.2 7.0 3.89 794.33 1395.39  20140919 
OBS:   56920.298  z  C2  -1.1451e-01   5.5459e+00    1   -9  31.478 1.674 31.6 14.4 3.96 799.45 1386.78  20140919 
OBS:   56927.221  g  C2  -5.0250e-01   3.5966e+00    1   -9  30.769 2.388 7.8 2.3 3.68 792.75 1384.00  20140926 
OBS:   56927.224  r  C2   8.9215e-01   4.5863e+00    1   -9  30.767 2.012 11.5 3.3 3.73 795.65 1399.31  20140926 
OBS:   56927.226  i  C2  -2.7008e+00   5.9601e+00    1   -9  31.019 1.856 20.6 6.9 4.00 787.89 1397.66  20140926 
OBS:   56927.228  z  C2  -4.5647e+00   8.1850e+00    1   -9  31.450 1.916 42.2 14.1 3.95 785.66 1397.94  20140926 
