#  target                ra         dec       mjd  filter  aper       flux  fluxerr         mag   magerr  magsys       zp      sky skyerr  image
crusher            39.96895    -1.59803  57382.973   f435w  0.30     0.0706   0.0824     28.5428   1.2670     ab   25.6650   0.0000 0.0022  abell370_f435w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.973   f435w  0.40     0.0561   0.1189     28.7922   2.3002     ab   25.6650   0.0000 0.0022  abell370_f435w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.973   f435w  0.50     0.0254   0.1154     29.6518   4.9259     ab   25.6650   0.0000 0.0022  abell370_f435w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57382.973   f435w   inf     0.0260   0.0231     29.6281   0.9641     ab   25.6650   0.0000 0.0022  abell370_f435w_e09-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.558   f435w  0.30     0.7764   0.1327     25.9398   0.1856     ab   25.6650   0.0000 0.0031  abell370_f435w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.558   f435w  0.40     0.7427   0.1671     25.9880   0.2443     ab   25.6650   0.0000 0.0031  abell370_f435w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.558   f435w  0.50     0.6578   0.1719     26.1198   0.2837     ab   25.6650   0.0000 0.0031  abell370_f435w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57385.558   f435w   inf     0.6606   0.0238     26.1151   0.0391     ab   25.6650   0.0000 0.0031  abell370_f435w_e10-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.468   f435w  0.30     6.1452   0.2531     23.6937   0.0447     ab   25.6650   0.0000 0.0031  abell370_f435w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.468   f435w  0.40     5.8950   0.1893     23.7388   0.0349     ab   25.6650   0.0000 0.0031  abell370_f435w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.468   f435w  0.50     5.5168   0.1840     23.8108   0.0362     ab   25.6650   0.0000 0.0031  abell370_f435w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57389.468   f435w   inf     4.9078   0.0447     23.9378   0.0099     ab   25.6650   0.0000 0.0031  abell370_f435w_e11-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.384   f435w  0.30     0.5605   0.1273     26.2935   0.2466     ab   25.6650  -0.0001 0.0032  abell370_f435w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.384   f435w  0.40     0.5254   0.1704     26.3637   0.3521     ab   25.6650  -0.0001 0.0032  abell370_f435w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.384   f435w  0.50     0.6190   0.1957     26.1858   0.3433     ab   25.6650  -0.0001 0.0032  abell370_f435w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57435.384   f435w   inf     0.4845   0.0338     26.4517   0.0756     ab   25.6650  -0.0001 0.0032  abell370_f435w_e23-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.665   f606w  0.30    54.7522   1.8994     22.1470   0.0377     ab   26.4930   0.0000 0.0056  abell370_f606w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.665   f606w  0.40    53.3781   1.2202     22.1746   0.0248     ab   26.4930   0.0000 0.0056  abell370_f606w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.665   f606w  0.50    51.6034   0.6416     22.2113   0.0135     ab   26.4930   0.0000 0.0056  abell370_f606w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57400.665   f606w   inf    41.0931   1.6226     22.4586   0.0429     ab   26.4930   0.0000 0.0056  abell370_f606w_e13-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.442   f606w  0.30    61.9091   2.1466     22.0136   0.0376     ab   26.4930   0.0001 0.0055  abell370_f606w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.442   f606w  0.40    60.0367   1.3467     22.0470   0.0244     ab   26.4930   0.0001 0.0055  abell370_f606w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.442   f606w  0.50    57.9923   0.6942     22.0846   0.0130     ab   26.4930   0.0001 0.0055  abell370_f606w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57404.442   f606w   inf    52.7384   2.0284     22.1877   0.0418     ab   26.4930   0.0001 0.0055  abell370_f606w_e14-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.538   f606w  0.30    49.9028   1.7375     22.2477   0.0378     ab   26.4930   0.0001 0.0056  abell370_f606w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.538   f606w  0.40    48.4619   1.0850     22.2795   0.0243     ab   26.4930   0.0001 0.0056  abell370_f606w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.538   f606w  0.50    46.7408   0.5437     22.3188   0.0126     ab   26.4930   0.0001 0.0056  abell370_f606w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57410.538   f606w   inf    39.7335   1.5636     22.4951   0.0427     ab   26.4930   0.0001 0.0056  abell370_f606w_e17-e100_sub_masked.fits
crusher            39.96895    -1.59803  57411.457   f606w  0.30    46.1841   1.6030     22.3318   0.0377     ab   26.4930   0.0001 0.0056  abell370_f606w_e18-e100_sub_masked.fits
crusher            39.96895    -1.59803  57411.457   f606w  0.40    44.8504   1.0263     22.3636   0.0248     ab   26.4930   0.0001 0.0056  abell370_f606w_e18-e100_sub_masked.fits
crusher            39.96895    -1.59803  57411.457   f606w  0.50    43.7396   0.5328     22.3908   0.0132     ab   26.4930   0.0001 0.0056  abell370_f606w_e18-e100_sub_masked.fits
crusher            39.96895    -1.59803  57411.457   f606w   inf    33.3000   1.3327     22.6869   0.0434     ab   26.4930   0.0001 0.0056  abell370_f606w_e18-e100_sub_masked.fits
crusher            39.96895    -1.59803  57412.452   f606w  0.30    43.4432   1.5171     22.3982   0.0379     ab   26.4930  -0.0000 0.0056  abell370_f606w_e19-e100_sub_masked.fits
crusher            39.96895    -1.59803  57412.452   f606w  0.40    42.3665   0.9833     22.4254   0.0252     ab   26.4930  -0.0000 0.0056  abell370_f606w_e19-e100_sub_masked.fits
crusher            39.96895    -1.59803  57412.452   f606w  0.50    41.0362   0.5761     22.4601   0.0152     ab   26.4930  -0.0000 0.0056  abell370_f606w_e19-e100_sub_masked.fits
crusher            39.96895    -1.59803  57412.452   f606w   inf    32.7168   1.2843     22.7061   0.0426     ab   26.4930  -0.0000 0.0056  abell370_f606w_e19-e100_sub_masked.fits
crusher            39.96895    -1.59803  55289.673   f814w  0.30    -0.0000   0.0000     38.2026  -9.0000     ab   25.9405   0.0000 0.0000  abell370_f814w_e00-e100_sub_masked.fits
