INSTRUMENT: WFIRST_PRISM # used only for screen comments

MAGREF_LIST: 20 25 # used to define SNR1 and SNR2
TEXPOSE_LIST: 10 20 50 100 200 400 600 800 1000 1250 1500 2000 4000 6000 8000 10000 15000 20000 40000 60000 80000 100000 200000 400000 600000 800000

#LAMMIN LAMMAX SMEAR SNR1 SNR2 SNR1 SNR2 SNR1 SNR2
#SPECBIN: 7431.5 7450.5 19.584 0.025 0.0005 0.057 0.001 0.157 0.002 0.293 0.003 0.48 0.005 0.715 0.0075 0.888 0.009 1.032 0.0105 1.157 0.01205 1.296 0.01305 1.422 0.0145 1.645 0.0175 2.332 0.0245 2.858 0.0295 3.301 0.033 3.692 0.037 4.522 0.046 5.222 0.053 7.387 0.075 9.048 0.091 10.448 0.106 11.681 0.118 16.52 0.167 23.363 0.236 28.614 0.289 33.041 0.334
SPECBIN: 7450.5 7469.5 19.584 0.098 0.001 0.227 0.0025 0.616 0.0065 1.142 0.012 1.858 0.019 2.758 0.029 3.419 0.036 3.975 0.041 4.455 0.046 4.988 0.052 5.474 0.057 6.33 0.066 8.972 0.094 10.993 0.115 12.699 0.133 14.201 0.148 17.395 0.182 20.09 0.21 28.415 0.297 34.803 0.363 40.189 0.419 44.933 0.469 63.547 0.663 89.87 0.938 110.068 1.149 127.096 1.327
SPECBIN: 7469.5 7489 19.584 0.273 0.003 0.63 0.0065 1.681 0.017 3.056 0.033 4.903 0.054 7.233 0.08 8.95 0.1 10.397 0.116 11.647 0.13 13.036 0.145 14.303 0.16 16.535 0.185 23.43 0.262 28.706 0.321 33.158 0.371 37.079 0.414 45.419 0.508 52.452 0.586 74.187 0.829 90.864 1.016 104.923 1.173 117.309 1.312 165.905 1.855 234.627 2.623 287.36 3.213 331.815 3.71
SPECBIN: 7489 7508.5 19.584 0.55 0.006 1.258 0.013 3.273 0.035 5.799 0.066 9.14 0.109 13.382 0.162 16.525 0.201 19.179 0.234 21.474 0.262 24.026 0.294 26.355 0.322 30.459 0.373 43.143 0.529 52.852 0.648 61.045 0.748 68.262 0.837 83.61 1.025 96.555 1.184 136.563 1.675 167.26 2.051 193.138 2.368 215.936 2.648 305.386 3.745 431.884 5.296 528.95 6.487 610.78 7.49
SPECBIN: 7508.5 7528 19.584 0.837 0.0085 1.901 0.02 4.828 0.054 8.366 0.101 13 0.166 18.924 0.248 23.333 0.307 27.063 0.358 30.289 0.401 33.88 0.449 37.157 0.493 42.936 0.57 60.797 0.808 74.472 0.99 86.014 1.143 96.18 1.279 117.802 1.566 136.038 1.809 192.4 2.559 235.646 3.134 272.104 3.619 304.224 4.046 430.243 5.722 608.459 8.092 745.209 9.911 860.494 11.444
SPECBIN: 7528 7548 19.740 1.033 0.011 2.334 0.024 5.839 0.067 9.986 0.125 15.398 0.206 22.344 0.306 27.527 0.38 31.915 0.442 35.714 0.496 39.942 0.555 43.801 0.609 50.607 0.705 71.649 0.999 87.761 1.225 101.36 1.415 113.338 1.582 138.815 1.938 160.303 2.238 226.715 3.166 277.673 3.877 320.632 4.477 358.479 5.006 506.972 7.079 716.97 10.012 878.107 12.262 1013.951 14.159
SPECBIN: 7548 7568 19.914 1.123 0.0115 2.53 0.027 6.287 0.073 10.694 0.136 16.437 0.224 23.822 0.333 29.339 0.414 34.011 0.481 38.056 0.539 42.559 0.604 46.67 0.663 53.919 0.767 76.333 1.087 93.497 1.332 107.984 1.539 120.744 1.721 147.885 2.108 170.776 2.434 241.526 3.443 295.813 4.217 341.578 4.87 381.898 5.445 540.091 7.7 763.807 10.89 935.47 13.337 1080.189 15.4
SPECBIN: 7568 7588 20.088 1.154 0.012 2.598 0.027 6.441 0.075 10.936 0.14 16.791 0.23 24.326 0.343 29.955 0.425 34.724 0.495 38.853 0.554 43.45 0.621 47.645 0.681 55.046 0.788 77.927 1.117 95.448 1.369 110.237 1.582 123.264 1.769 150.97 2.167 174.339 2.502 246.565 3.539 301.984 4.335 348.703 5.006 389.864 5.597 551.356 7.915 779.739 11.194 954.983 13.71 1102.72 15.831
SPECBIN: 7588 7608 20.261 1.166 0.012 2.624 0.028 6.5 0.076 11.028 0.142 16.926 0.232 24.517 0.346 30.19 0.43 34.996 0.5 39.156 0.56 43.788 0.627 48.017 0.689 55.474 0.796 78.533 1.129 96.19 1.383 111.094 1.598 124.222 1.787 152.143 2.189 175.694 2.528 248.48 3.576 304.33 4.38 351.413 5.058 392.893 5.655 555.64 7.998 785.797 11.311 962.402 13.853 1111.287 15.996
SPECBIN: 7608 7628.5 20.435 1.175 0.012 2.644 0.028 6.544 0.076 11.098 0.143 17.029 0.234 24.663 0.349 30.368 0.433 35.202 0.504 39.387 0.565 44.046 0.632 48.3 0.694 55.801 0.803 78.995 1.138 96.756 1.394 111.747 1.611 124.952 1.801 153.038 2.206 176.727 2.548 249.941 3.604 306.119 4.415 353.479 5.098 395.203 5.699 558.906 8.06 790.417 11.399 968.06 13.961 1117.821 16.121
SPECBIN: 7628.5 7649 20.609 1.183 0.012 2.661 0.028 6.584 0.077 11.161 0.144 17.12 0.236 24.793 0.351 30.528 0.436 35.387 0.507 39.594 0.569 44.277 0.637 48.552 0.699 56.093 0.808 79.407 1.146 97.261 1.404 112.331 1.622 125.605 1.814 153.837 2.222 177.649 2.566 251.246 3.629 307.717 4.445 355.323 5.133 397.265 5.739 561.823 8.117 794.542 11.479 973.112 14.059 1123.654 16.234
SPECBIN: 7649 7669.5 20.791 1.191 0.012 2.68 0.028 6.627 0.077 11.228 0.145 17.219 0.238 24.934 0.354 30.7 0.439 35.586 0.511 39.816 0.573 44.525 0.641 48.825 0.704 56.407 0.814 79.852 1.154 97.806 1.414 112.96 1.634 126.308 1.827 154.698 2.238 178.644 2.585 252.652 3.657 309.44 4.479 357.313 5.172 399.49 5.782 564.969 8.177 798.99 11.565 978.56 14.164 1129.945 16.355
SPECBIN: 7669.5 7690.5 20.965 1.2 0.0125 2.7 0.028 6.671 0.078 11.297 0.146 17.32 0.239 25.076 0.357 30.875 0.443 35.788 0.515 40.042 0.577 44.778 0.646 49.101 0.709 56.727 0.82 80.304 1.163 98.359 1.425 113.598 1.646 127.022 1.841 155.572 2.255 179.653 2.605 254.08 3.684 311.188 4.512 359.331 5.211 401.746 5.826 568.16 8.239 803.503 11.652 984.088 14.271 1136.328 16.479
