  SN    |    MJD|f|  omag|_omag|  Phase
SN2012ht|56338.2|B|16.263|0.032| 42.500
SN2012ht|56339.2|B|16.277|0.034| 43.500
SN2012ht|56342.2|B|16.331|0.034| 46.500
SN2012ht|56345.3|B|16.417|0.034| 49.600
SN2012ht|56352.2|B|16.568|0.036| 56.500
SN2012ht|56353.2|B|16.573|0.034| 57.500
SN2012ht|56358.2|B|16.659|0.036| 62.500
SN2012ht|56365.2|B|16.776|0.031| 69.500
SN2012ht|56380.2|B|16.988|0.036| 84.500
SN2012ht|56398.1|B|17.298|0.035|102.400
SN2012ht|56424.0|B|17.787|0.037|128.300
SN2012ht|56282.3|V|15.534|0.038|-13.400
SN2012ht|56283.3|V|15.112|0.041|-12.400
SN2012ht|56285.3|V|14.349|0.041|-10.400
SN2012ht|56286.3|V|14.092|0.040| -9.400
SN2012ht|56289.3|V|13.518|0.044| -6.400
SN2012ht|56290.3|V|13.395|0.042| -5.400
SN2012ht|56291.3|V|13.274|0.043| -4.400
SN2012ht|56292.3|V|13.252|0.042| -3.400
SN2012ht|56295.3|V|13.070|0.040| -0.400
SN2012ht|56297.3|V|13.056|0.038|  1.600
SN2012ht|56299.3|V|13.091|0.040|  3.600
SN2012ht|56300.3|V|13.148|0.038|  4.600
SN2012ht|56301.3|V|13.161|0.031|  5.600
SN2012ht|56304.3|V|13.308|0.038|  8.600
SN2012ht|56305.3|V|13.406|0.039|  9.600
SN2012ht|56306.3|V|13.470|0.029| 10.600
SN2012ht|56307.3|V|13.552|0.042| 11.600
SN2012ht|56308.3|V|13.623|0.041| 12.600
SN2012ht|56309.3|V|13.699|0.041| 13.600
SN2012ht|56310.3|V|13.765|0.040| 14.600
SN2012ht|56311.3|V|13.834|0.035| 15.600
SN2012ht|56314.3|V|14.053|0.041| 18.600
SN2012ht|56315.3|V|14.112|0.033| 19.600
SN2012ht|56316.2|V|14.215|0.033| 20.500
SN2012ht|56317.3|V|14.244|0.042| 21.600
SN2012ht|56318.2|V|14.325|0.044| 22.500
SN2012ht|56319.2|V|14.322|0.044| 23.500
SN2012ht|56320.2|V|14.458|0.043| 24.500
SN2012ht|56322.3|V|14.672|0.041| 26.600
SN2012ht|56324.2|V|14.730|0.032| 28.500
SN2012ht|56325.2|V|14.780|0.041| 29.500
SN2012ht|56326.3|V|14.871|0.031| 30.600
SN2012ht|56327.3|V|14.936|0.040| 31.600
SN2012ht|56328.3|V|14.942|0.038| 32.600
SN2012ht|56329.2|V|15.058|0.030| 33.500
SN2012ht|56330.2|V|15.092|0.031| 34.500
SN2012ht|56331.2|V|15.111|0.031| 35.500
SN2012ht|56332.2|V|15.153|0.030| 36.500
SN2012ht|56336.3|V|15.295|0.039| 40.600
SN2012ht|56337.3|V|15.362|0.040| 41.600
SN2012ht|56338.2|V|15.354|0.031| 42.500
SN2012ht|56339.2|V|15.406|0.030| 43.500
SN2012ht|56342.2|V|15.471|0.040| 46.500
SN2012ht|56345.3|V|15.578|0.040| 49.600
SN2012ht|56352.2|V|15.820|0.044| 56.500
SN2012ht|56353.2|V|15.799|0.041| 57.500
SN2012ht|56358.2|V|16.002|0.040| 62.500
SN2012ht|56365.2|V|16.157|0.031| 69.500
SN2012ht|56380.2|V|16.482|0.036| 84.500
SN2012ht|56398.1|V|16.957|0.037|102.400
SN2012ht|56424.0|V|17.510|0.037|128.300
SN2012ht|56282.3|u|16.868|0.032|-13.400
SN2012ht|56283.3|u|16.102|0.033|-12.400
SN2012ht|56285.3|u|15.021|0.035|-10.400
SN2012ht|56286.3|u|14.629|0.034| -9.400
SN2012ht|56289.3|u|13.991|0.033| -6.400
SN2012ht|56290.3|u|13.896|0.038| -5.400
SN2012ht|56291.3|u|13.751|0.056| -4.400
SN2012ht|56291.3|u|13.777|0.039| -4.400
SN2012ht|56292.3|u|13.765|0.038| -3.400
SN2012ht|56295.3|u|13.790|0.032| -0.400
SN2012ht|56297.3|u|13.814|0.032|  1.600
SN2012ht|56299.3|u|14.054|0.032|  3.600
SN2012ht|56300.3|u|14.120|0.035|  4.600
SN2012ht|56301.3|u|14.223|0.033|  5.600
SN2012ht|56305.3|u|14.652|0.031|  9.600
SN2012ht|56306.3|u|14.793|0.028| 10.600
SN2012ht|56307.3|u|14.889|0.034| 11.600
SN2012ht|56310.3|u|15.401|0.034| 14.600
SN2012ht|56311.3|u|15.521|0.030| 15.600
SN2012ht|56315.3|u|16.062|0.030| 19.600
SN2012ht|56316.3|u|16.130|0.028| 20.600
SN2012ht|56317.3|u|16.229|0.031| 21.600
SN2012ht|56318.2|u|16.338|0.032| 22.500
SN2012ht|56319.2|u|16.454|0.036| 23.500
SN2012ht|56320.2|u|16.486|0.033| 24.500
SN2012ht|56320.3|u|16.460|0.034| 24.600
SN2012ht|56322.3|u|16.590|0.032| 26.600
SN2012ht|56324.2|u|16.740|0.034| 28.500
SN2012ht|56325.2|u|16.746|0.030| 29.500
SN2012ht|56326.3|u|16.846|0.026| 30.600
SN2012ht|56327.3|u|16.881|0.028| 31.600
SN2012ht|56329.2|u|16.941|0.026| 33.500
SN2012ht|56330.2|u|16.968|0.026| 34.500
SN2012ht|56331.2|u|17.005|0.026| 35.500
SN2012ht|56336.3|u|17.163|0.028| 40.600
SN2012ht|56337.3|u|17.167|0.029| 41.600
SN2012ht|56338.2|u|17.212|0.026| 42.500
SN2012ht|56339.2|u|17.261|0.026| 43.500
SN2012ht|56342.2|u|17.312|0.029| 46.500
SN2012ht|56352.2|u|17.530|0.034| 56.500
SN2012ht|56353.2|u|17.566|0.033| 57.500
SN2012ht|56358.2|u|17.766|0.053| 62.500
