  SN    |    MJD|f|  omag|_omag|  Phase
SN2015F |57096.0|g|14.728|0.009|-10.900
SN2015F |57097.1|g|14.386|0.007| -9.800
SN2015F |57098.1|g|14.167|0.007| -8.800
SN2015F |57100.1|g|13.801|0.005| -6.800
SN2015F |57101.0|g|13.642|0.005| -5.900
SN2015F |57102.0|g|13.556|0.005| -4.900
SN2015F |57103.2|g|13.448|0.005| -3.700
SN2015F |57104.1|g|13.428|0.008| -2.800
SN2015F |57111.0|g|13.442|0.010|  4.100
SN2015F |57112.0|g|13.478|0.005|  5.100
SN2015F |57113.0|g|13.542|0.005|  6.100
SN2015F |57117.0|g|13.830|0.006| 10.100
SN2015F |57119.0|g|14.027|0.006| 12.100
SN2015F |57120.0|g|14.139|0.006| 13.100
SN2015F |57121.0|g|14.237|0.006| 14.100
SN2015F |57122.0|g|14.357|0.008| 15.100
SN2015F |57123.0|g|14.467|0.008| 16.100
SN2015F |57125.1|g|14.662|0.005| 18.200
SN2015F |57126.1|g|14.761|0.005| 19.200
SN2015F |57127.0|g|14.864|0.005| 20.100
SN2015F |57129.1|g|15.046|0.006| 22.200
SN2015F |57130.1|g|15.161|0.008| 23.200
SN2015F |57131.1|g|15.229|0.007| 24.200
SN2015F |57134.0|g|15.453|0.007| 27.100
SN2015F |57135.0|g|15.540|0.010| 28.100
SN2015F |57136.0|g|15.603|0.007| 29.100
SN2015F |57137.0|g|15.664|0.008| 30.100
SN2015F |57138.0|g|15.719|0.005| 31.100
SN2015F |57139.0|g|15.777|0.007| 32.100
SN2015F |57141.1|g|15.872|0.009| 34.200
SN2015F |57143.1|g|15.960|0.007| 36.200
SN2015F |57146.1|g|16.049|0.010| 39.200
SN2015F |57148.0|g|16.107|0.007| 41.100
SN2015F |57152.1|g|16.181|0.007| 45.200
SN2015F |57154.0|g|16.228|0.008| 47.100
SN2015F |57157.0|g|16.275|0.011| 50.100
SN2015F |57159.0|g|16.319|0.009| 52.100
SN2015F |57161.1|g|16.356|0.009| 54.200
SN2015F |57163.0|g|16.391|0.009| 56.100
SN2015F |57175.9|g|16.573|0.013| 69.000
SN2015F |57178.0|g|16.616|0.009| 71.100
SN2015F |57180.0|g|16.671|0.010| 73.100
SN2015F |57182.0|g|16.689|0.010| 75.100
SN2015F |57092.1|r|16.198|0.010|-14.800
SN2015F |57093.1|r|15.657|0.007|-13.800
SN2015F |57094.0|r|15.208|0.008|-12.900
SN2015F |57095.1|r|14.801|0.010|-11.800
SN2015F |57096.0|r|14.488|0.010|-10.900
SN2015F |57097.1|r|14.186|0.009| -9.800
SN2015F |57098.1|r|13.956|0.008| -8.800
SN2015F |57100.1|r|13.628|0.006| -6.800
SN2015F |57101.0|r|13.484|0.005| -5.900
SN2015F |57102.0|r|13.416|0.005| -4.900
SN2015F |57103.2|r|13.325|0.005| -3.700
SN2015F |57104.1|r|13.292|0.014| -2.800
SN2015F |57110.0|r|13.208|0.005|  3.100
SN2015F |57111.0|r|13.222|0.010|  4.100
SN2015F |57112.0|r|13.250|0.005|  5.100
SN2015F |57113.0|r|13.312|0.006|  6.100
SN2015F |57117.0|r|13.554|0.006| 10.100
SN2015F |57119.0|r|13.671|0.007| 12.100
SN2015F |57120.0|r|13.718|0.010| 13.100
SN2015F |57121.0|r|13.767|0.005| 14.100
SN2015F |57122.0|r|13.801|0.008| 15.100
SN2015F |57123.0|r|13.808|0.006| 16.100
SN2015F |57125.1|r|13.853|0.005| 18.200
SN2015F |57126.1|r|13.884|0.005| 19.200
SN2015F |57127.0|r|13.916|0.005| 20.100
SN2015F |57129.1|r|13.996|0.006| 22.200
SN2015F |57130.1|r|14.048|0.009| 23.200
SN2015F |57131.1|r|14.094|0.009| 24.200
SN2015F |57134.0|r|14.269|0.006| 27.100
SN2015F |57135.0|r|14.352|0.008| 28.100
SN2015F |57136.0|r|14.436|0.008| 29.100
SN2015F |57137.0|r|14.508|0.006| 30.100
SN2015F |57138.0|r|14.594|0.005| 31.100
SN2015F |57139.0|r|14.662|0.007| 32.100
SN2015F |57141.1|r|14.791|0.009| 34.200
SN2015F |57143.1|r|14.887|0.005| 36.200
SN2015F |57146.1|r|15.022|0.006| 39.200
SN2015F |57148.0|r|15.083|0.006| 41.100
SN2015F |57152.0|r|15.226|0.006| 45.100
SN2015F |57154.0|r|15.307|0.009| 47.100
SN2015F |57157.0|r|15.374|0.010| 50.100
SN2015F |57159.0|r|15.463|0.008| 52.100
SN2015F |57161.1|r|15.560|0.009| 54.200
SN2015F |57163.0|r|15.590|0.007| 56.100
SN2015F |57175.9|r|15.996|0.011| 69.000
SN2015F |57178.0|r|16.079|0.009| 71.100
SN2015F |57180.0|r|16.147|0.009| 73.100
SN2015F |57182.0|r|16.213|0.012| 75.100
SN2015F |57092.1|i|16.532|0.012|-14.800
SN2015F |57093.1|i|15.893|0.008|-13.800
SN2015F |57094.0|i|15.398|0.008|-12.900
SN2015F |57095.1|i|14.962|0.013|-11.800
SN2015F |57096.0|i|14.620|0.012|-10.900
SN2015F |57097.1|i|14.342|0.012| -9.800
SN2015F |57098.1|i|14.104|0.008| -8.800
SN2015F |57099.0|i|13.931|0.012| -7.900
SN2015F |57100.1|i|13.804|0.008| -6.800
SN2015F |57101.0|i|13.681|0.005| -5.900
SN2015F |57102.0|i|13.607|0.005| -4.900
SN2015F |57103.2|i|13.579|0.005| -3.700
SN2015F |57104.1|i|13.600|0.012| -2.800
SN2015F |57110.0|i|13.752|0.007|  3.100
SN2015F |57111.0|i|13.768|0.013|  4.100
SN2015F |57112.0|i|13.800|0.006|  5.100
SN2015F |57113.0|i|13.863|0.007|  6.100
SN2015F |57117.0|i|14.099|0.007| 10.100
SN2015F |57118.0|i|14.136|0.009| 11.100
SN2015F |57119.0|i|14.159|0.007| 12.100
SN2015F |57120.0|i|14.154|0.009| 13.100
SN2015F |57121.0|i|14.128|0.006| 14.100
SN2015F |57122.0|i|14.115|0.008| 15.100
SN2015F |57123.0|i|14.096|0.010| 16.100
SN2015F |57125.1|i|14.049|0.005| 18.200
SN2015F |57127.0|i|14.052|0.006| 20.100
SN2015F |57129.1|i|14.090|0.008| 22.200
SN2015F |57130.1|i|14.117|0.012| 23.200
SN2015F |57131.1|i|14.123|0.009| 24.200
SN2015F |57134.0|i|14.207|0.005| 27.100
SN2015F |57135.0|i|14.270|0.011| 28.100
SN2015F |57136.0|i|14.346|0.008| 29.100
SN2015F |57137.0|i|14.427|0.006| 30.100
SN2015F |57138.1|i|14.500|0.005| 31.200
SN2015F |57139.0|i|14.580|0.008| 32.100
SN2015F |57141.1|i|14.738|0.011| 34.200
SN2015F |57143.1|i|14.841|0.006| 36.200
SN2015F |57146.1|i|15.000|0.007| 39.200
SN2015F |57148.0|i|15.089|0.006| 41.100
SN2015F |57152.1|i|15.254|0.008| 45.200
SN2015F |57154.0|i|15.341|0.011| 47.100
SN2015F |57157.0|i|15.501|0.013| 50.100
SN2015F |57159.0|i|15.550|0.010| 52.100
SN2015F |57161.1|i|15.622|0.010| 54.200
SN2015F |57163.0|i|15.686|0.008| 56.100
SN2015F |57175.9|i|16.125|0.013| 69.000
SN2015F |57178.0|i|16.247|0.011| 71.100
SN2015F |57180.0|i|16.270|0.011| 73.100
SN2015F |57182.0|i|16.370|0.015| 75.100
SN2015F |57092.0|Y|15.799|0.015|-14.900
SN2015F |57093.1|Y|15.254|0.014|-13.800
SN2015F |57094.1|Y|14.816|0.018|-12.800
SN2015F |57095.1|Y|14.479|0.014|-11.800
SN2015F |57109.1|Y|13.766|0.014|  2.200
SN2015F |57111.2|Y|13.854|0.017|  4.300
SN2015F |57112.0|Y|13.902|0.023|  5.100
SN2015F |57113.0|Y|13.958|0.021|  6.100
SN2015F |57115.0|Y|14.022|0.016|  8.100
SN2015F |57116.0|Y|14.013|0.014|  9.100
SN2015F |57117.0|Y|14.002|0.014| 10.100
SN2015F |57120.0|Y|13.895|0.016| 13.100
SN2015F |57141.0|Y|13.569|0.014| 34.100
SN2015F |57142.0|Y|13.622|0.017| 35.100
SN2015F |57144.0|Y|13.722|0.014| 37.100
SN2015F |57169.9|Y|15.163|0.014| 63.000
SN2015F |57170.9|Y|15.204|0.016| 64.000
SN2015F |57172.9|Y|15.334|0.014| 66.000
SN2015F |57092.0|J|15.667|0.015|-14.900
SN2015F |57093.1|J|15.140|0.014|-13.800
SN2015F |57094.1|J|14.684|0.016|-12.800
SN2015F |57095.1|J|14.334|0.013|-11.800
SN2015F |57109.1|J|13.517|0.014|  2.200
SN2015F |57111.2|J|13.692|0.016|  4.300
SN2015F |57112.0|J|13.817|0.014|  5.100
SN2015F |57113.0|J|13.957|0.014|  6.100
SN2015F |57114.0|J|14.128|0.014|  7.100
SN2015F |57115.0|J|14.299|0.015|  8.100
SN2015F |57116.0|J|14.478|0.014|  9.100
SN2015F |57117.0|J|14.611|0.014| 10.100
SN2015F |57120.0|J|14.713|0.016| 13.100
SN2015F |57141.0|J|14.736|0.014| 34.100
SN2015F |57142.0|J|14.794|0.015| 35.100
SN2015F |57144.0|J|14.998|0.015| 37.100
SN2015F |57170.0|J|16.898|0.022| 63.100
SN2015F |57171.0|J|16.927|0.028| 64.100
SN2015F |57173.0|J|17.048|0.024| 66.100
SN2015F |57092.0|H|15.481|0.018|-14.900
SN2015F |57093.1|H|14.976|0.017|-13.800
SN2015F |57094.1|H|14.546|0.019|-12.800
SN2015F |57095.1|H|14.261|0.017|-11.800
SN2015F |57109.1|H|13.602|0.017|  2.200
SN2015F |57110.0|H|13.627|0.017|  3.100
SN2015F |57111.2|H|13.626|0.019|  4.300
SN2015F |57112.0|H|13.655|0.019|  5.100
SN2015F |57113.0|H|13.696|0.017|  6.100
SN2015F |57114.0|H|13.708|0.017|  7.100
SN2015F |57115.0|H|13.723|0.018|  8.100
SN2015F |57116.0|H|13.728|0.017|  9.100
SN2015F |57117.0|H|13.725|0.017| 10.100
SN2015F |57120.0|H|13.603|0.019| 13.100
SN2015F |57141.0|H|13.979|0.018| 34.100
SN2015F |57142.0|H|14.008|0.017| 35.100
SN2015F |57144.0|H|14.121|0.017| 37.100
SN2015F |57170.0|H|15.284|0.018| 63.100
SN2015F |57171.0|H|15.343|0.019| 64.100
SN2015F |57173.0|H|15.471|0.021| 66.100
